Date,XLY,XLP,IWM,IWB,50,59
2016-4-5,-0.00853776,-0.006734096,-0.01140882,-0.003404689,0.016361877,-0.005622638
2016-4-6,0.009425578,0.007852017,0.011227207,-0.009931052,-0.000773096,0.010229424
2016-4-7,-0.011347125,-0.010859532,-0.013616749,0.010979831,-0.011668744,0.012722403
2016-4-8,-0.001539657,0.005444468,0.003948663,-0.011775196,-0.023754086,0.000971975
2016-4-11,-0.003731257,-0.007140227,-0.003120826,0.002648361,-0.004014457,-0.014022731
2016-4-12,0.00757627,0.006203685,0.010699136,-0.002029729,0.00960776,-0.020236219
2016-4-13,0.013973792,-0.007713362,0.021328147,0.009232891,0.003976148,-0.008413309
2016-4-14,0,-0.004542832,-0.00124739,0.010621687,-0.000793966,-0.03507925
2016-4-15,0.00277155,0.006241151,0.002493163,-8.66E-05,0.017323268,-0.014454685
2016-4-18,0.009390945,0.005640102,0.007530536,-0.000779795,0.003117695,-0.01035169
2016-4-19,-0.005498649,-0.000562421,0.000794013,0.006996402,0,0.008218735
2016-4-20,0.001252292,-0.011318833,0.00149806,0.002664705,-0.006245141,-0.017229428
2016-4-21,-0.003510314,-0.017994361,-0.005031988,0.001458286,-0.003923112,-0.033502121
2016-4-22,-0.002011812,0.003663263,0.009863572,-0.005156475,-0.015049789,-0.008648296
2016-4-25,0.00113207,0.006904561,-0.007123657,0.00051684,0.004777079,0.016479774
2016-4-26,0.002385493,-0.0040217,0.009749266,-0.00232788,0.003963541,-0.025203516
2016-4-27,-0.001003642,0.004785873,0.003490143,0.002500097,0.000790826,0.023344434
2016-4-28,-0.010854547,0.000954599,-0.011475759,0.002407976,0.003944778,-0.005972396
2016-4-29,0.005063283,-0.002101146,-0.009027369,-0.009493431,-0.001576044,0.007088259
2016-5-2,0.013917726,0.011407121,0.008851196,-0.005652405,-0.015898586,-0.002232975
2016-5-3,-0.009256967,-0.001892301,-0.016526466,0.007731399,-0.012903405,0.01699339
2016-5-4,-0.00453442,0.003025715,-0.008276476,-0.009215082,-0.013894788,0.032080603
2016-5-5,-0.006459615,0.000188892,-0.003982505,-0.00586862,-0.010757241,0.00070922
2016-5-6,0.007342744,0.005084374,0.005877906,-0.000175785,0.001662511,-0.018244112
2016-5-9,0.002771278,0.005432151,0.002880966,0.003158165,-0.008340332,-0.002892265
2016-5-10,0.012748406,0.009852285,0.010018856,0.001050575,0,0.029959445
2016-5-11,-0.020324261,-0.007985998,-0.012449094,0.012607097,0.005012542,-0.016295082
2016-5-12,0.001899303,0.00539291,-0.005331485,-0.009811126,-0.00250313,0.017699577
2016-5-13,-0.011962421,-0.012691348,-0.006636144,0,-0.000835771,0.001752849
2016-5-16,0.006253656,0.006365721,0.012598246,-0.008675477,-0.010929071,0.00140007
2016-5-17,-0.011387975,-0.019791377,-0.015978618,0.010506021,0.007578984,0.002096437
2016-5-18,-0.005807491,-0.011680467,0.005202917,-0.009538353,0.007521974,-0.000349101
2016-5-19,-0.000906336,0.009774963,-0.008043953,8.79E-05,-0.001666667,0.016620881
2016-5-20,0.006585246,-0.005163028,0.016655636,-0.003434819,-0.005016733,0.016349138
2016-5-23,-0.003480931,0.000958098,-0.001174029,0.006419628,0.005850414,0.002699057
2016-5-24,0.011939452,0.008392272,0.020394222,-0.001754826,0.032789823,0.02001401
2016-5-25,0.005472416,0.001518193,0.005826827,0.013172517,-0.010539214,-0.005630086
2016-5-26,0.002028513,0.003974665,-0.001144981,0.006909119,0.010539214,-0.012364401
