Date,SPY,EWU,EWA,EWH,50,52
2016-4-5,-0.010038149,-0.020097829,-0.02998079,-0.014485486,0.016361877,-0.004332873
2016-4-6,0.010862121,0.01430455,0.021506224,0.014998912,-0.000773096,-0.001277955
2016-4-7,-0.012038043,-0.014959685,-0.020962854,-0.010838731,-0.011668744,0.004083722
2016-4-8,0.002693069,0.017538661,0.010267641,0.010838731,-0.023754086,0.007106629
2016-4-11,-0.00234997,0.005138017,0.000537415,0.005120457,-0.004014457,0.014312862
2016-4-12,0.009269712,0.015888485,0.030690273,0.008644819,0.00960776,-0.005249356
2016-4-13,0.010050337,0.012531495,0.015512175,0.020050787,0.003976148,0.00500001
2016-4-14,4.80E-05,-0.001245989,0.010209469,0.000992066,-0.000793966,-0.013557828
2016-4-15,-0.00110625,-0.00312224,0.009603092,-0.005967368,0.017323268,0.005294352
2016-4-18,0.007002041,0.008717393,0.01249715,0.004975302,0.003117695,0.000502765
2016-4-19,0.003149262,0.017819241,0.015282587,0.007416407,0,0.006762706
2016-4-20,0.000952494,-0.003049617,0.000977962,-0.003454139,-0.006245141,0.029030329
2016-4-21,-0.005392952,-0.007357625,-0.006374074,-0.002970202,-0.003923112,-0.028032325
2016-4-22,0,0.00123009,-0.003449222,-0.00049591,-0.015049789,0.012391732
2016-4-25,-0.001724166,-0.003694657,-0.00544429,0.002476938,0.004777079,0.008827914
2016-4-26,0.001484803,0.008599685,0.007416716,0.002964539,0.003963541,0.00487093
2016-4-27,0.002056199,0.002443457,-0.02443405,-0.001481067,0.000790826,0.004363643
2016-4-28,-0.009117216,-0.003667493,0.003024255,-0.00594646,0.003944778,-0.005335933
2016-4-29,-0.005413399,-0.001225568,0.003015083,-0.017043108,-0.001576044,-0.005120089
2016-5-2,0.007917043,0.005502913,0.00749812,0.001010614,-0.015898586,0.000977278
2016-5-3,-0.008741375,-0.02157249,-0.012528356,-0.019378409,-0.012903405,-0.01129678
2016-5-4,-0.005593879,-0.01569888,-0.015756262,-0.007753997,-0.013894788,0.006646178
