Date,SPY,EWM,EWO,EWN,50,55
2016-4-6,0.010862121,0.020455151,0.016103311,0.011145611,-0.000773096,0.003929278
2016-4-7,-0.012038043,-0.02621221,-0.02327186,-0.014055585,-0.011668744,-0.007874056
2016-4-8,0.002693069,0.014899888,0.018146922,0.011589429,-0.023754086,-0.015936592
2016-4-11,-0.00234997,0.007932,0.000642006,0.001233881,-0.004014457,-0.00806456
2016-4-12,0.009269712,0.011223684,0.003204191,0.008594332,0.00960776,-0.003244123
2016-4-13,0.010050337,-0.001116805,0.009551101,0.009328636,0.003976148,0.003244123
2016-4-14,4.80E-05,-0.005602337,0.006317247,-0.001616105,-0.000793966,0.003233633
2016-4-15,-0.00110625,-0.00563372,-0.006951047,0.002423369,0.017323268,0.004830927
2016-4-18,0.007002041,-0.001130665,0.004428974,0.005631542,0.003117695,0.006405146
2016-4-19,0.003149262,0.015712901,0.020000627,0.017101242,0,0.003982482
2016-4-20,0.000952494,-0.00782547,-0.007453396,-0.008315281,-0.006245141,-0.003184716
2016-4-21,-0.005392952,-0.014697854,-0.006254034,-0.011597788,-0.003923112,-0.000797766
2016-4-22,0,0.002275389,0.008122469,-0.003223265,-0.015049789,-0.005602256
2016-4-25,-0.001724166,-0.004555846,-0.010006221,-0.004448948,0.004777079,0.00160385
2016-4-26,0.001484803,-0.006872954,0.001883752,0.002429129,0.003963541,0.001601281
2016-4-27,0.002056199,0.003442382,0.007500045,0.007252266,0.000790826,0.003194891
2016-4-28,-0.009117216,-0.006896654,-0.003742959,-0.004022537,0.003944778,0.007151401
2016-4-29,-0.005413399,-0.013937445,0.014888568,-0.003634174,-0.001576044,-0.003966685
2016-5-2,0.007917043,-0.001170267,0.004301135,0.010062465,-0.015898586,-0.010387628
2016-5-3,-0.008741375,-0.034547762,-0.024830541,-0.016555978,-0.012903405,-0.003218024
2016-5-4,-0.005593879,-0.004860276,-0.012014054,-0.00982,-0.013894788,-0.002420332
2016-5-5,-0.000194957,-0.004884111,-0.006381684,-0.004120324,-0.010757241,-0.006483005
2016-5-6,0.003652243,0.006101421,0,0.005763695,0.001662511,-0.003257332
2016-5-9,0.000826019,-0.022141204,-0.012238477,0.000410506,-0.008340332,-0.013136478
2016-5-10,0.012357188,0.009901037,0.007747049,0.010206245,0,0
2016-5-11,-0.009398855,0.008583686,-0.007099153,-0.005294329,0.005012542,0.00658981
2016-5-12,0.000290596,-0.00244494,-0.003893619,-0.008200096,-0.00250313,-0.00658981
2016-5-13,-0.008752384,-0.01479675,-0.018373176,-0.011177911,-0.000835771,-0.002482417
2016-5-16,0.009816944,0.001241588,0.009228784,0.012000949,-0.010929071,-0.008319516
2016-5-17,-0.009377534,0.002478135,-0.001313165,-0.013667687,0.007578984,0.001669449
2016-5-18,0.000292936,-0.004962756,-0.005930849,0.003746155,0.007521974,0.013256201
2016-5-19,-0.003470901,-0.003738297,-0.007296874,-0.00583334,-0.001666667,-0.006606135
2016-5-20,0.006297339,0.001247685,0.002659648,0.010806411,-0.005016733,-0.005816385
2016-5-23,-0.001363438,-0.002496963,0.00397605,-0.000413476,0.005850414,0.008298803
2016-5-24,0.012878971,0,0.012487906,0.018845251,0.032789823,0.02045061
2016-5-25,0.006760217,0.007472195,0.012333746,0.008486663,-0.010539214,-0.004056801
2016-5-26,0.000286658,0.006184171,0.006430865,0.006417976,0.010539214,0.008903337
2016-5-27,0.004290054,-0.006184171,-0.007721989,0.000399757,0.002416433,-0.000806127
2016-5-31,-0.001904469,-0.017522496,-0.003883471,-0.004406219,0.00721446,0.011227063
2016-6-1,0.002047046,-0.007604548,-0.009775244,0.005205336,0.008747571,0.00873368
2016-6-2,0.00303909,0.003809435,0.006527345,0.001596031,0,0
2016-6-3,-0.002991523,0.025032692,0.00971202,0.005566647,0.008671714,0.003944778
2016-6-6,0.005075667,0.0171572,0.001931176,0,0,0.000787092
2016-6-7,0.001560002,0,0.008325403,0.005141476,0.00235202,0.001572327
2016-6-8,0.003254408,0.006056913,0.003183591,-0.000394552,0.001564946,-0.001572327
2016-6-9,-0.00136655,-0.013374034,-0.008940012,-0.014709185,0.0015625,0.000786473
2016-6-10,-0.009522592,-0.01977808,-0.02928949,-0.034633631,0.013183595,0.007830894
2016-6-13,-0.007741682,-0.001249277,-0.020688102,-0.017988408,0.005378422,0.00622086
2016-6-14,-0.001968846,-0.00375709,-0.01563056,-0.015741692,-0.023256862,-0.00622086
2016-6-15,-0.001394859,0,0.006145487,-0.004297391,0.006254907,-0.002342836
2016-6-16,0.002979889,0,-0.004776595,0.007294672,0.001557633,-0.00627453
2016-6-17,-0.003731161,-0.001255385,0.022989583,0.002561935,-0.014106817,-0.011871924
2016-6-20,0.006419429,0.014962805,0.011960188,0.022766507,0.010989122,0.007140054
2016-6-21,0.002834497,0.014742313,0.005926944,0.010779573,0.007001195,0.007089435
2016-6-22,-0.001632454,-0.006597611,0.002870786,0.001087132,0.003868477,0.005479466
2016-6-23,0.012938436,0.021925403,0.029558795,0.029238213,0.003084043,0.001560063
