Date,SPY,EWP,EWL,EWW,50,53
2016-4-5,-0.010038149,-0.022235661,-0.008473305,-0.025821399,0.016361877,-0.006603105
2016-4-6,0.010862121,0.009104664,0.021549713,0.008489357,-0.000773096,0.016064603
2016-4-7,-0.012038043,-0.026402717,-0.010716721,-0.021360031,-0.011668744,0.003254387
2016-4-8,0.002693069,0.023755787,0.011715562,0.005285293,-0.023754086,-0.01125443
2016-4-11,-0.00234997,0.007168542,-0.005673349,0.006034093,-0.004014457,-0.019912162
2016-4-12,0.009269712,0.010843234,0.009658732,0.019981537,0.00960776,-0.002983963
2016-4-13,0.010050337,0.023885066,0.007594512,0.006446669,0.003976148,0.005587647
2016-4-14,4.80E-05,0.000362966,0.004922075,0.002076896,-0.000793966,0.004817501
2016-4-15,-0.00110625,0.001813317,-0.002293993,-0.010046582,0.017323268,-0.003703708
2016-4-18,0.007002041,0.007939352,0.007843263,-0.001525242,0.003117695,0.0099687
2016-4-19,0.003149262,0.016045977,0.017745265,0.026919345,0,0.0018352
2016-4-20,0.000952494,0.011955194,-0.004808402,-0.001487064,-0.006245141,0.001465739
2016-4-21,-0.005392952,0.002792217,-0.01261137,-0.015181619,-0.003923112,-0.004035962
2016-4-22,0,0.003132114,-0.004566259,0.001509641,-0.015049789,-0.009233676
2016-4-25,-0.001724166,-0.005924331,-0.0009812,-0.009473341,0.004777079,-0.007822726
2016-4-26,0.001484803,0.018355453,0.001634845,0.015114696,0.003963541,0.002614381
2016-4-27,0.002056199,0.006499058,0.004237933,0.013595511,0.000790826,-0.000373065
2016-4-28,-0.009117216,-0.011659925,-0.003584852,-0.012283853,0.003944778,-0.004862549
2016-4-29,-0.005413399,-0.005187603,-0.000653081,0.011913873,-0.001576044,0.002995135
2016-5-2,0.007917043,0.002424248,0.01039981,-0.001111028,-0.015898586,-0.001870908
2016-5-3,-0.008741375,-0.029486182,-0.014984046,-0.027800381,-0.012903405,-0.011678415
2016-5-4,-0.005593879,-0.015799242,-0.012882109,-0.015935831,-0.013894788,-0.014888612
2016-5-5,-0.000194957,-0.00690031,-0.009352085,-0.008747321,-0.010757241,-0.012773543
2016-5-6,0.003652243,0.009791421,-0.001007155,0.003118909,0.001662511,-0.009786729
2016-5-9,0.000826019,-0.010885354,0.0053601,-0.018662718,-0.008340332,0
2016-5-10,0.012357188,0.012327914,0.010634874,0.021577902,0,-0.005127205
2016-5-11,-0.009398855,-0.013788227,-0.001654317,-0.004278384,0.005012542,0.000790514
2016-5-12,0.000290596,0.00291865,0.001323659,0.003696035,-0.00250313,-0.001581653
2016-5-13,-0.008752384,-0.01172614,-0.009302442,-0.017432596,-0.000835771,0.004343541
2016-5-16,0.009816944,0.013909474,0.007316401,0.006891857,-0.010929071,-0.001971998
2016-5-17,-0.009377534,-0.009129165,-0.008318174,-0.003144715,0.007578984,-0.014714921
2016-5-18,0.000292936,0.004027181,0.000334083,-0.015673415,0.007521974,0.008378266
2016-5-19,-0.003470901,-0.006966204,-0.004016061,-0.010452205,-0.001666667,0.00752032
2016-5-20,0.006297339,0.007696473,0.008016022,0.009451962,-0.005016733,-0.001973555
2016-5-23,-0.001363438,-0.005491396,0.001994101,-0.009048077,0.005850414,0
2016-5-24,0.012878971,0.019629891,0.009582034,0.006643309,0.032789823,0.007478878
2016-5-25,0.006760217,0.02136826,0.005247657,0.00679859,-0.010539214,0.032410244
2016-5-26,0.000286658,-0.00423719,0.007170861,0.006752763,0.010539214,-0.00647498
2016-5-27,0.004290054,-0.004610876,0.001622575,0.000593622,0.002416433,0.014039312
2016-5-31,-0.001904469,-0.006777168,-0.009775278,-0.01334277,0.00721446,-0.006046882
2016-6-1,0.002047046,-0.006463268,0.004573649,-0.001605115,0.008747571,0.008680938
2016-6-2,0.00303909,0.005747077,0.003254264,-0.008874619,0,0.01158242
2016-6-3,-0.002991523,-0.003947541,0.004861388,0.009276155,0.008671714,-0.002976193
2016-6-6,0.005075667,0.001796379,0.004516143,-0.000200707,0,0.011851991
2016-6-7,0.001560002,0.005012513,0.008652536,0.019680508,0.00235202,-0.003319199
2016-6-8,0.003254408,0,0.001912668,0.017948247,0.001564946,0.004423155
2016-6-9,-0.00136655,-0.01475111,-0.013466111,-0.020115943,0.0015625,0
2016-6-10,-0.009522592,-0.041819305,-0.024837891,-0.031666004,0.013183595,0.004769776
2016-6-13,-0.007741682,-0.019462504,-0.016683823,-0.01745955,0.005378422,0.012368292
2016-6-14,-0.001968846,-0.019063134,-0.010145394,-0.012930339,-0.023256862,0.00576786
2016-6-15,-0.001394859,0.007045094,0.004070588,0.011271362,0.006254907,-0.017770187
2016-6-16,0.002979889,0.008930462,0.002704526,0.0035221,0.001557633,0.004016803
2016-6-17,-0.003731161,0.019901029,0.012414147,0.007007518,-0.014106817,0.004000733
2016-6-20,0.006419429,0.020998304,0.010943604,0.017104864,0.010989122,-0.013521127
2016-6-21,0.002834497,0.008498009,0.009519196,0.001210622,0.007001195,0.005137626
2016-6-22,-0.001632454,-0.001841831,-0.001577553,0.01134104,0.003868477,0.008383501
2016-6-23,0.012938436,0.038743065,0.021927756,0.022737239,0.003084043,0.004346258
2016-6-24,-0.036569564,-0.177771658,-0.072213868,-0.068978667,-0.00231214,0.00432745
2016-6-27,-0.018072219,-0.000432309,-0.00887,-0.021786465,-0.026584834,-0.002522069
2016-6-28,0.017875275,0.03024718,0.022203533,0.028734479,0.010248414,-0.027799888
2016-6-29,0.016884209,0.026093782,0.013501998,0.03464271,0.003913899,0.010332195
2016-6-30,0.013553369,0.021036421,0.019411512,0.020660632,0.010878118,0.007679687
2016-7-1,0.00209817,0.000400208,0.005381762,0.002775551,0.011525291,0.011590133
