Date,XLI,XLE,XLF,XLK,50,57
2016-4-5,-0.006189794,-0.006787583,-0.014267064,-0.009703367,0.016361877,-0.012602907
2016-4-6,0.004918445,0.021364962,0.005373874,0.009703367,-0.000773096,0.006321307
2016-4-7,-0.009677698,-0.005870952,-0.018936503,-0.014476625,-0.011668744,0.014956091
2016-4-8,0.003845747,0.019918103,0.00363464,0,-0.023754086,0.003771556
2016-4-11,0.000365533,-0.004177401,0.004073418,-0.002737821,-0.004014457,0.010165952
2016-4-12,0.005829957,0.029350951,0.012567561,0.006830525,0.00960776,0.001064113
2016-4-13,0.014785673,0.004679423,0.022492582,0.010159257,0.003976148,0.003185561
2016-4-14,0.001788296,0.002331599,0.002178193,-0.000224714,-0.000793966,-0.012535169
2016-4-15,0.001428309,-0.013599323,-0.003487361,-0.003826562,0.017323268,0.008019289
2016-4-18,0.000891603,0.016389914,0.007396178,0.004275939,0.003117695,0.013486916
2016-4-19,0.007104786,0.019775334,0.012492171,-0.005630181,0,0.002623296
2016-4-20,-0.001594054,0.00891582,0.007675976,0.002030561,-0.006245141,0.014564627
2016-4-21,-0.00248501,-0.005884534,-0.008961101,-0.003612554,-0.003923112,0.001805753
2016-4-22,0.00248501,0.014423238,0.009385837,-0.017570288,-0.015049789,0.00128783
2016-4-25,-0.004797905,-0.011250196,-0.002125556,0.000230154,0.004777079,-0.00231929
2016-4-26,0.008866792,0.015863655,0.006362745,-0.004844838,0.003963541,0.003348361
2016-4-27,0.00703736,0.018826892,0.001689833,-0.00463615,0.000790826,0.002568055
2016-4-28,-0.009689072,-0.014973893,-0.010609069,-0.012625766,0.003944778,0.013248601
2016-4-29,-0.005859004,-0.001628254,-0.005561316,-0.008743975,-0.001576044,-0.00685717
2016-5-2,0.005150594,-0.001037582,0.008968474,0.007331133,-0.015898586,0.017180817
2016-5-3,-0.008182178,-0.023862453,-0.012837038,-0.009231857,-0.012903405,-0.003010539
2016-5-4,-0.012400293,-0.014534011,-0.007782174,-0.003096559,-0.013894788,0
2016-5-5,-0.000542472,0.008134436,-0.000434211,0.000477135,-0.010757241,-0.007060039
2016-5-6,0.006672008,-0.002295561,0.00433294,0.00736449,0.001662511,-0.000506201
2016-5-9,-0.004503288,-0.014661726,-0.00259751,0,-0.008340332,-0.001520142
2016-5-10,0.017005724,0.01741579,0.014202964,0.01293365,0,-0.003556011
2016-5-11,-0.008377207,0.00305098,-0.010741185,-0.007269244,0.005012542,0.001017294
2016-5-12,-0.002150141,0.002738144,0.000431747,-0.002828326,-0.00250313,0.006334748
2016-5-13,-0.012635532,-0.012842269,-0.012163412,-0.003783474,-0.000835771,0.008801767
2016-5-16,0.012276762,0.01678412,0.005230976,0.013881044,-0.010929071,-0.01972251
2016-5-17,-0.00485659,0.004679635,-0.005668081,-0.010097569,0.007578984,-0.022205921
2016-5-18,-0.003431736,-0.009685213,0.017338893,0.001886286,0.007521974,-0.003924138
2016-5-19,-0.009452937,0.000151808,-0.009499241,-0.005432706,-0.001666667,0.004185201
2016-5-20,0.005100963,0.005912316,0.00691752,0.01200708,-0.005016733,0.0057262
2016-5-23,-0.001818665,-0.002572865,-0.000862104,-0.001873818,0.005850414,0.001815118
2016-5-24,0.010323353,0.00498824,0.014980069,0.018583465,0.032789823,0.01363716
2016-5-25,0.006823512,0.015708359,0.010564166,0.006880682,-0.010539214,0.002552324
2016-5-26,-0.002867517,-0.004164794,-0.005902242,0.003195002,0.010539214,-0.000254939
2016-5-27,0.003761831,0.000595996,0.006742613,0.004773258,0.002416433,-0.005368797
2016-5-31,-0.000178828,-0.003880478,-0.002523233,0.002038748,0.00721446,-0.017324286
2016-6-1,0.000893822,0.000298898,0.002103067,-0.002492345,0.008747571,0.003384979
2016-6-2,0.001249863,-0.00134626,0.002098584,-0.000907951,0,0.00389156
2016-6-3,-0.000892632,-0.003899747,-0.014358316,-0.002273164,0.008671714,0.003876475
2016-6-6,0.009421493,0.021851465,0.005937286,0.001818973,0,0.002833228
2016-6-7,0.004765651,0.0223912,-0.00211642,0.004080828,0.00235202,-0.018168161
2016-6-8,0.006319173,-0.002303237,0.000846994,0.00203407,0.001564946,-0.013713295
2016-6-9,-0.000175065,-0.007667252,-0.007223192,0.000225737,0.0015625,-0.013365609
2016-6-10,-0.011794807,-0.021875792,-0.012443927,-0.007704473,0.013183595,-0.002155173
2016-6-13,-0.01086092,-0.002973033,-0.006932435,-0.011209193,0.005378422,-0.011391498
2016-6-14,0.000178947,-0.000595765,-0.014892921,0.002297784,-0.023256862,-0.009317689
2016-6-15,0.000357871,-0.002386242,0.001323025,-0.002527761,0.006254907,-0.004691605
2016-6-16,0.001787657,-0.004789431,0.00264081,0.002068669,0.001557633,0.004140793
2016-6-17,0.000843695,0.010157349,0.000395955,-0.006690703,-0.014106817,0.009595687
2016-6-20,0.009109753,0.008633507,0.005733235,0.004172399,0.010989122,-0.019562547
2016-6-21,-0.000711636,0.011787387,0.005700553,0.006915794,0.007001195,0.007208237
2016-6-22,-0.002850922,-0.005581701,-0.000874929,-0.00345186,0.003868477,0.040600976
2016-6-23,0.011531992,0.016362703,0.020789023,0.013509033,0.003084043,-0.005319161
2016-6-24,-0.041601292,-0.036448185,-0.055067955,-0.039193416,-0.00231214,0.00796817
2016-6-27,-0.023819635,-0.028969808,-0.028947483,-0.020308798,-0.026584834,0.008167612
2016-6-28,0.01680727,0.027465866,0.025317854,0.019599071,0.010248414,0.008621869
2016-6-29,0.017621578,0.018786963,0.022472657,0.015267362,0.003913899,-0.001301575
2016-6-30,0.018924565,0.007944697,0.015873464,0.010896164,0.010878118,0.002861232
2016-7-1,0.003208555,0.005261624,-0.005263184,0.002303125,0.011525291,0.01392852
2016-7-5,-0.009117824,-0.020321901,-0.01506446,-0.007388649,0.012148973,-0.003078504
2016-7-6,0.005016219,0.004305118,0.002674961,0.006928406,0.000754432,0.002053389
2016-7-7,0.002676924,-0.010273331,0.001334729,0,-0.00302115,0.014256861
2016-7-8,0.019764125,0.013231512,0.018939158,0.015528928,-0.018321123,0.010310666
2016-7-11,0.006270715,0.001918007,0.005655839,0.005874409,0.012251302,-0.019707561
2016-7-12,0.009160877,0.024462533,0.012503049,0.008077276,0.019593694,-0.003066703
2016-7-13,0.002405927,-0.008668042,0,0.000223474,0.008915364,0.00510596
2016-7-14,0.007524036,0.005065473,0.009381651,0.006458016,0.000739372,-0.019802627
2016-7-15,-0.000170381,-0.000577697,-0.00169924,-0.000888325,0.000738825,0.018528579
2016-7-18,-0.000852375,0.000721949,0.003395528,0.006643203,0.011747565,0.007366984
2016-7-19,0.000511439,-0.005645167,0.000423727,-0.002209426,0.009444313,0.003284905
2016-7-20,0.001873162,-0.001452602,0.001692768,0.012965679,0.001445087,-0.000504668
2016-7-21,-0.01026003,-0.009934352,-0.005087064,-0.005253985,-0.000722282,-0.037808284
2016-7-22,0.001888993,0.003078561,0.006354815,0.005908808,0.005045056,0.026895854
2016-7-25,-0.005332554,-0.02010727,-0.002113811,-0.001310052,-0.003601012,0.016198785
2016-7-26,0.008244679,0.005807531,0.000846061,0.00218249,-0.004338402,-0.005286356
2016-7-27,-0.003942078,-0.009847873,-0.000422872,0.008250184,0.005780363,0.02097979
2016-7-28,-0.000343489,0.000149848,0.002112779,0.000648343,0.00431345,0.000741198
2016-7-29,-0.002924721,0.010143298,-0.001689908,0.003666575,-0.009369438,-0.002225245
2016-8-1,-0.001206835,-0.033502316,-0.002540193,0.001935694,-0.007267474,-0.015214161
2016-8-2,-0.009358755,0.009013854,-0.008514404,-0.007548847,0.0108815,0.0070123
2016-8-3,0.004863612,0.019131437,0.010208537,0.003458011,0,0.025623476
2016-8-4,0.000346535,-0.001493287,-0.002542346,0.005379315,-0.00796817,0.003884443
2016-8-5,0.009996553,0.009073953,0.018912165,0.009610221,0.002179441,0.0012108
2016-8-8,0.001371158,0.013239578,0.001248234,-0.000212423,0.010108389,0.001934237
2016-8-9,-0.000342741,-0.005274837,0.000831155,0.002123542,0.006444705,0.009854665
2016-8-10,-0.000514015,-0.010930589,-0.007924898,-0.003186941,0.00498399,0.00881063
2016-8-11,0.006492464,0.014596673,0.002091499,0.003611014,0.002836881,0.005438008
2016-8-12,-0.002728564,0.005546561,-0.002929476,-0.001060757,-0.009249443,0.002119892
2016-8-15,0.00663781,0.007974045,0.006683485,0.004870309,0.00356761,0.004226351
2016-8-16,-0.004420249,0.00158706,-0.00250122,-0.007420566,0.002134473,-0.004226351
2016-8-17,0.002892376,0.003023044,0.003333482,-0.000425846,-0.005702082,-0.011834458
2016-8-18,0.003053364,0.020346583,-0.000832261,0.000425846,0.001428572,0.015123162
2016-8-19,-0.000338706,-0.008344533,-0.000416493,0.000637984,-0.002143624,0.003044142
2016-8-22,-0.000847676,-0.011570879,0,0,-0.010064787,0.004199726
2016-8-23,0.000847676,0.007015456,0.001248754,0.003608974,-0.007251663,-0.006071948
2016-8-24,-0.003054539,-0.004002701,-0.000416078,-0.005524736,0.010137668,0.008165215
2016-8-25,-0.000169993,-0.002725281,0.002078593,0.002128449,-0.002886005,-0.034751163
2016-8-26,-0.002893905,-0.00345346,0.001244922,0.000425151,0.011494379,-0.021150661
2016-8-29,0.007134542,0.00675152,0.008672472,0.003818442,0.001427552,0.014634408
2016-8-30,-0.002711897,-0.00344195,0.009005505,-0.003393493,-0.000713521,0.006275666
2016-8-31,-0.005616647,-0.015928279,0.000814566,-0.001700771,-0.000714031,0.004082128
2016-9-1,0.000853032,-0.002923709,-0.004080017,0.003186941,-0.008608375,-0.005285933
2016-9-2,0.004933261,0.011209156,0.004487184,0.004444874,-0.005055988,-0.001929106
2016-9-6,-0.002888918,0.014942693,-0.001629332,0.005055867,0.001447178,0.00313291
2016-9-7,0.001190532,0.005688354,-0.000407832,0.00251838,0.016493741,-0.002891568
2016-9-8,-0.000850276,0.018545014,-0.000816029,-0.008207955,0.007793167,-0.000965717
2016-9-9,-0.028647343,-0.030240984,-0.018953955,-0.02481946,0.014015646,-0.001208459
2016-9-12,0.012699147,0.009850803,0.011168555,0.016543576,-0.003485539,0.002656686
2016-9-13,-0.014802248,-0.02897068,-0.017846325,-0.007271183,-0.016901811,-0.011400972
2016-9-14,-0.000877514,-0.011916316,-0.002515765,0.004710827,-0.014306396,0.00365275
2016-9-15,0.007870684,0.012354883,0.005860053,0.016315631,-0.007956642,0.000971817
2016-9-16,-0.008416548,-0.00811356,-0.008417658,-0.003687924,0,0.007740726
2016-9-19,0.004406371,-0.00059311,0.269780635,-0.001908172,-0.005826673,-0.001688171
2016-9-20,0.00087901,-0.007295554,0.0005177,-0.000636903,0.036576325,-0.007024372
2016-9-21,0.012919193,0.022897893,0.006192006,0.011192229,-0.001409444,0.007506997
2016-9-22,0.007086741,0.001167747,0.002055476,0.006071367,0.004924386,-0.019489046
2016-9-23,-0.005873254,-0.013364004,-0.005146791,-0.008805031,0.00210305,0.005397462
2016-9-26,-0.004340593,-0.004445136,-0.016124874,-0.005913489,0.006978395,0.018905071
2016-9-27,0.006935979,-0.006704966,0.007834763,0.010954361,-0.012596388,0.006461671
2016-9-28,0.007745951,0.042297943,0.00467172,0.001883808,0.012596388,0.013270337
2016-9-29,-0.007918772,-0.001720991,-0.014080989,-0.006082743,-0.013300861,-0.004009912
2016-9-30,0.00894708,0.01354542,0.013562915,0.005245935,0.007022501,-0.028042581
2016-10-3,0.000856116,-0.000708436,-0.004674094,-0.002934364,0.00418995,-0.003896741
2016-10-4,-0.008421498,-0.010256489,0.004155962,-0.003574764,-0.003490405,-0.010055266
2016-10-5,0.006365692,0.015204638,0.015942587,0.003574764,0.002793298,0.006388228
2016-10-6,0,0.00154994,0.001529555,0.002306346,-0.000697593,0.010234007
2016-10-7,-0.012945764,-0.005789654,-0.000509523,-0.00272619,-0.00279525,0.01682732
2016-10-10,0.001041825,0.01559786,0.00508389,0.006905989,0.011134423,0.00641561
2016-10-11,-0.010467683,-0.011499124,-0.009169755,-0.011325635,-0.007641579,0.0068453
2016-10-12,0.001927292,-0.004240313,-0.001024106,0.001685982,-0.003492843,-0.0094541
2016-10-13,-0.000350115,-0.005539511,-0.00978131,-0.006337266,0,0.010629603
2016-10-14,0.002099029,-0.005856525,0.004645197,0.003807237,0.006973529,-0.012055459
2016-10-17,-0.002624466,-0.004883233,-0.004645197,-0.002113315,0.00554402,0.007109035
2016-10-18,0.002100131,0.004023118,0.008243233,0.005485281,0.004137937,0.004006132
2016-10-19,0.003141914,0.014095935,0.008684686,0.001891727,-0.000688468,-0.002354604
2016-10-20,-0.005417258,-0.001131851,0,-0.004630575,0.001376463,-0.003542335
2016-10-21,-0.001402722,-0.006532231,-0.000508745,0.002738847,0.009582551,0.005896939
2016-10-24,0.001928162,-0.002996412,0.003048594,0.009631664,-0.005464494,-0.006133541
2016-10-25,-0.002630289,-0.004583133,-0.001015166,-0.003548921,-0.005494519,0.007073833
2016-10-26,0.003505659,0.002294081,0.006075952,-0.005662168,0,-0.009442941
2016-10-27,-0.006847594,-0.003730813,0.002520847,-0.001262511,0,0.00496866
2016-10-28,0.005972223,-0.002735117,-0.004542048,-0.001053376,0,-0.000236044
2016-10-31,0.001924665,-0.0108705,-0.001518509,-0.000421807,-0.011777067,0.011034271
2016-11-1,-0.008601789,0.000145782,-0.004060925,-0.008683762,-0.007695036,0.001866107
2016-11-2,-0.003709268,-0.011135658,-0.006634373,-0.006401942,-0.002812941,0.008123522
2016-11-3,-0.001593936,0.003970259,0.001023478,-0.00968074,0.013986242,-0.006493529
2016-11-4,0.000885844,-0.005444789,-0.003073791,-0.001730849,0.004849334,0.000930233
2016-11-7,0.02431675,0.02131476,0.024830216,0.021423298,-0.033020211,-0.013338211
2016-11-8,0.006030844,0.001299161,0.000500446,0.004863196,0.028170877,0.004231318
2016-11-9,0.024772179,0.016169766,0.041642125,-0.001266392,-0.027456846,-0.007298443
2016-11-10,0.021060396,0.004249205,0.036282001,-0.016180932,0.000713521,-0.009973961
2016-11-11,0.001803496,-0.018401565,0.002772567,0.003000462,-0.002857145,0.009501259
2016-11-14,0.004249718,0.005599158,0.024163504,-0.015310168,0.001429593,0.010816
2016-11-15,0.003744434,0.02781294,-0.000901343,0.014025336,0.002853069,-0.011052435
2016-11-16,-0.005703642,-0.006986308,-0.014532568,0.009171428,0.002844952,-0.029272724
2016-11-17,0.002122372,-0.006752973,0.013630412,0.006349337,0.001419447,-0.005371107
2016-11-18,-0.000326304,0.00408534,0,-0.000844311,0.013385195,0.00464038
2016-11-21,0.005368929,0.023481587,0.003603659,0.010084096,0.004886572,0.001460921
2016-11-22,0.004533002,-0.000549474,0.000449603,0.003130727,-0.005586607,-0.001460921
2016-11-23,0.007402658,0.004113563,0.005825606,-0.003967206,-0.000700525,-0.000487448
2016-11-25,0.005436496,-0.004938332,0.001339683,0.004175373,0.005590511,0.023133562
2016-11-28,-0.006880566,-0.013986295,-0.011669888,0.000833143,-0.0013947,0.002616868
2016-11-29,0.000802642,-0.012347506,0.002705157,0.000624143,0.000697593,-0.002616868
2016-11-30,0.001282558,0.049576362,0.013417094,-0.011928525,0.004175371,0.009483238
2016-12-1,0.006548002,0.00241543,0.01717713,-0.020847362,-0.011173301,-0.002835541
2016-12-2,-0.000159154,0.002944416,-0.010977093,0.003647654,-0.001405482,-0.000710143
2016-12-5,-0.000796522,0.008781395,0.011850109,0.009591923,0.012578782,-0.011431418
2016-12-6,0.001910308,-0.001856343,0.008688231,0.002965334,0,0.002153368
2016-12-7,0.018435901,0.007931349,0.015450908,0.018856778,0.01242252,0.014709637
2016-12-8,-0.005636452,0.005383788,0.009326078,0.0024874,0.003423488,-0.000706797
2016-12-9,0.004542958,0.003138061,0.002107437,0.007220323,-0.004109595,0.007747427
2016-12-12,-0.003601359,0.00468867,-0.009731406,-0.003087938,0.001371742,0.002335904
2016-12-13,-0.001412803,0.011241255,0.002547701,0.012498762,0.002054092,-0.001868286
2016-12-14,-0.010104209,-0.020247408,-0.004675941,-0.003467513,-0.001368926,0.000233727
