Date,SPY,EWK,XLF,DIA,50,56
2016-4-5,-0.010038149,-0.014747911,-0.014267064,-0.007366837,0.016361877,0.009419222
2016-4-6,0.010862121,0.011363837,0.005373874,0.00691496,-0.000773096,0.00133839
2016-4-7,-0.012038043,-0.014225059,-0.018936503,-0.009933866,-0.011668744,-0.006709933
2016-4-8,0.002693069,0.009694856,0.00363464,0.002108621,-0.023754086,-0.009017194
2016-4-11,-0.00234997,0.00056748,0.004073418,-0.001253178,-0.004014457,-0.002267061
2016-4-12,0.009269712,0.002266294,0.012567561,0.009360806,0.00960776,-0.003638021
2016-4-13,0.010050337,0.002825649,0.022492582,0.01028072,0.003976148,0.000910747
2016-4-14,4.80E-05,0.004504578,0.002178193,0.001061497,-0.000793966,0.002273245
2016-4-15,-0.00110625,0.001122879,-0.003487361,-0.001677663,0.017323268,0.004983023
2016-4-18,0.007002041,0.007825626,0.007396178,0.006137723,0.003117695,0.003608484
2016-4-19,0.003149262,0.011624997,0.012492171,0.002998948,0,0.002248708
2016-4-20,0.000952494,-0.006072531,0.007675976,0.002382094,-0.006245141,-0.001348618
2016-4-21,-0.005392952,-0.010016767,-0.008961101,-0.005826173,-0.003923112,0
2016-4-22,0,-0.001679047,0.009385837,0.001112145,-0.015049789,-0.013587166
2016-4-25,-0.001724166,0.002796963,-0.002125556,-0.002003083,0.004777079,-0.00319708
2016-4-26,0.001484803,-0.003357447,0.006362745,0.000556939,0.003963541,-0.003207334
2016-4-27,0.002056199,0.007260571,0.001689833,0.003389933,0.000790826,0.005948313
2016-4-28,-0.009117216,-0.006140208,-0.010609069,-0.011438412,0.003944778,0.003642991
2016-4-29,-0.005413399,0.003353809,-0.005561316,-0.003428905,-0.001576044,-0.001819837
2016-5-2,0.007917043,0.008335669,0.008968474,0.006230968,-0.015898586,-0.007312647
2016-5-3,-0.008741375,-0.007777687,-0.012837038,-0.007865199,-0.012903405,-0.009216655
2016-5-4,-0.005593879,-0.011217245,-0.007782174,-0.005542741,-0.013894788,-0.011641575
2016-5-5,-0.000194957,-0.001693381,-0.000434211,0.000680187,-0.010757241,-0.016529302
2016-5-6,0.003652243,0.002257224,0.00433294,0.005088291,0.001662511,-0.003338901
2016-5-9,0.000826019,0.003938258,-0.00259751,-0.002032208,-0.008340332,-0.00863729
2016-5-10,0.012357188,0.00392252,0.014202964,0.012465638,0,0.004807702
2016-5-11,-0.009398855,0.002792624,-0.010741185,-0.010659167,0.005012542,0.002395211
2016-5-12,0.000290596,-0.001674708,0.000431747,0.000676522,-0.00250313,0
2016-5-13,-0.008752384,-0.007851844,-0.012163412,-0.010994674,-0.000835771,-0.004796172
2016-5-16,0.009816944,0.011754969,0.005230976,0.010092544,-0.010929071,-0.005302495
2016-5-17,-0.009377534,-0.011754969,-0.005668081,-0.009636806,0.007578984,0.007223725
2016-5-18,0.000292936,-0.006212921,0.017338893,0.000398517,0.007521974,0.003353297
2016-5-19,-0.003470901,0.001132417,-0.009499241,-0.005423856,-0.001666667,0.000956023
2016-5-20,0.006297339,0.006206027,0.00691752,0.003967745,-0.005016733,-0.005749896
2016-5-23,-0.001363438,0.0011242,-0.000862104,0.000114657,0.005850414,0.003358123
2016-5-24,0.012878971,0.01006156,0.014980069,0.011830105,0.032789823,0.020384683
2016-5-25,0.006760217,0.00775637,0.010564166,0.007997134,-0.010539214,-0.000469373
2016-5-26,0.000286658,0.009884634,-0.005902242,-0.001122569,0.010539214,0.00515103
2016-5-27,0.004290054,-0.004381289,0.006742613,0.002355608,0.002416433,0.003729608
2016-5-31,-0.001904469,0.002740696,-0.002523233,-0.004773127,0.00721446,0.008802466
2016-6-1,0.002047046,0.012510228,0.002103067,0.000450105,0.008747571,0.011009286
2016-6-2,0.00303909,0.001620381,0.002098584,0.003089982,0,0.001367677
2016-6-3,-0.002991523,0.011269242,-0.014358316,-0.001234921,0.008671714,0.004545462
2016-6-6,0.005075667,0.004259809,0.005937286,0.00627027,0,0
2016-6-7,0.001560002,0.004241795,-0.00211642,0.001115675,0.00235202,-0.000907441
2016-6-8,0.003254408,0.005277039,0.000846994,0.003783776,0.001564946,0.000907441
2016-6-9,-0.00136655,-0.010050312,-0.007223192,-0.001000323,0.0015625,-0.003179653
2016-6-10,-0.009522592,-0.030771698,-0.012443927,-0.006525404,0.013183595,0.014005198
2016-6-13,-0.007741682,-0.021613297,-0.006932435,-0.007582968,0.005378422,0.003135501
