Date,SPY,EWJ,EWC,EWG,50,51
2016-4-5,-0.010038149,-0.021799227,-0.010344903,-0.023905473,0.016361877,0.013255868
2016-4-6,0.010862121,0.016393791,0.008628196,0.014014226,-0.000773096,-0.004399127
2016-4-7,-0.012038043,-0.00543479,-0.011231208,-0.022111462,-0.011668744,-0.00401607
2016-4-8,0.002693069,0.028650122,0.020637027,0.016929083,-0.023754086,-0.011331566
2016-4-11,-0.00234997,-0.006197415,0.009318087,0.003590675,-0.004014457,-0.005305052
2016-4-12,0.009269712,0.022828036,0.023334552,0.012663414,0.00960776,0.006525309
2016-4-13,0.010050337,0.027398885,0.004110059,0.012116584,0.003976148,-0.000813339
2016-4-14,4.80E-05,0.004214105,-0.002464084,0.003490372,-0.000793966,-0.00122125
2016-4-15,-0.00110625,-0.009294486,-0.003294919,-0.00116205,0.017323268,0.011340745
2016-4-18,0.007002041,0.007611065,0.008626114,0.011177559,0.003117695,0.000805153
2016-4-19,0.003149262,0.01505037,0.02144527,0.025356128,0,0.000804505
2016-4-20,0.000952494,0.005792286,0.005588875,0.000747193,-0.006245141,-0.002818605
2016-4-21,-0.005392952,0,-0.007592455,-0.004116097,-0.003923112,-0.00121041
2016-4-22,0,0.007398341,0.005200965,-0.005263124,-0.015049789,-0.008921389
2016-4-25,-0.001724166,-0.006573481,-0.00680688,-0.004912225,0.004777079,-0.002855397
2016-4-26,0.001484803,-0.004130659,0.00680688,0.000757378,0.003963541,-0.00943984
2016-4-27,0.002056199,-0.000828107,0.004777112,0.005661459,0.000790826,0.007804517
2016-4-28,-0.009117216,-0.046638319,0.003172151,-0.007176711,0.003944778,0.008150004
2016-4-29,-0.005413399,-0.008718456,0.005527014,-0.005702273,-0.001576044,-0.001624696
2016-5-2,0.007917043,0.018221632,-0.005923059,0.011372371,-0.015898586,-0.008573231
2016-5-3,-0.008741375,-0.009503176,-0.024860951,-0.018642367,-0.012903405,-0.012376396
2016-5-4,-0.005593879,-0.008718456,-0.019266804,-0.01275385,-0.013894788,-0.008336855
2016-5-5,-0.000194957,0.005240092,-0.000414038,-0.006242586,-0.010757241,-0.019869603
2016-5-6,0.003652243,0.005212953,0.001241474,0.007020283,0.001662511,-0.000854336
2016-5-9,0.000826019,-0.000867051,-0.015840202,0.003491726,-0.008340332,-0.007722046
2016-5-10,0.012357188,0.024840724,0.018318536,0.010402695,0,0.001291156
2016-5-11,-0.009398855,-0.01878782,0.004116997,-0.008854686,0.005012542,0
2016-5-12,0.000290596,0.007728537,0.00287169,-0.009714484,-0.00250313,-0.00777206
2016-5-13,-0.008752384,-0.013781442,-0.011122619,-0.00626712,-0.000835771,-0.002169669
2016-5-16,0.009816944,0.013781442,0.014802877,0.007047812,-0.010929071,-0.019298845
2016-5-17,-0.009377534,-0.006866892,0.002038709,-0.010984796,0.007578984,0.009257285
2016-5-18,0.000292936,0.000860991,-0.014359194,-0.000394519,0.007521974,0.011343926
2016-5-19,-0.003470901,-0.00690849,-0.00746574,-0.009516375,-0.001666667,0
2016-5-20,0.006297339,0.00690849,0.005811511,0.008331635,-0.005016733,-0.002606431
2016-5-23,-0.001363438,-0.004312323,-0.00165697,-0.005149534,0.005850414,0.004773279
2016-5-24,0.012878971,0.007748763,0.00165697,0.016542384,0.032789823,0.013757741
2016-5-25,0.006760217,0.006837546,0.01845445,0.00971826,-0.010539214,-0.000427077
2016-5-26,0.000286658,-0.000852187,0.004864251,0.008858096,0.010539214,0.00553782
2016-5-27,0.004290054,-0.002560796,0,-0.003072241,0.002416433,0.00972318
2016-5-31,-0.001904469,0.007662929,-0.01016061,-0.002695814,0.00721446,0.007126419
2016-6-1,0.002047046,-0.000848507,0.00244804,0.001156107,0.008747571,0.007075992
2016-6-2,0.00303909,-0.008525184,0.002848319,0.001539708,0,0.00041468
2016-6-3,-0.002991523,0.004271557,0.017720921,0.004604829,0.008671714,0.007846416
