Date,SPY,EWI,EWS,EWD,50,54
2016-4-11,-0.010038149,-0.031639913,-0.016901746,-0.023021151,0.016361877,0
2016-4-12,0.010862121,0.016372429,0.016901746,0.020300025,-0.000773096,0.000942952
2016-4-13,-0.012038043,-0.036557579,-0.013120928,-0.020300025,-0.011668744,-0.008043573
2016-4-14,0.002693069,0.041672728,0.003766479,0.02641217,-0.023754086,0.00426642
2016-4-15,-0.00234997,0.012674385,0.009354449,0.004391085,-0.004014457,-0.004741593
2016-4-18,0.009269712,-0.008431672,0.007421226,0.009726724,0.00960776,-0.010031133
2016-4-19,0.010050337,0.025084945,0.02103423,0.012274162,0.003976148,-0.000960615
2016-4-20,4.80E-05,0.004120343,-0.002718669,-0.002310648,-0.000793966,0
2016-4-21,-0.00110625,0.000822052,0.002718669,-0.001653713,0.017323268,0
2016-4-22,0.007002041,0.01549145,0.008111752,0.003634565,0.003117695,0.002399809
2016-4-25,0.003149262,0.007255197,0.020436054,0.025400326,0,-0.012542374
2016-4-26,0.000952494,0.006405026,-0.004407231,-0.000321629,-0.006245141,-0.011227846
2016-4-27,-0.005392952,0,-0.009764827,-0.012949285,-0.003923112,-0.009371215
2016-4-28,0,-0.001597279,-0.005366734,-0.005227131,-0.015049789,-0.0039722
2016-4-29,-0.001724166,-0.01287227,-0.007200744,-0.005583784,0.004777079,0.005457716
2016-5-3,0.001484803,0.019246716,-0.00090375,0.003944673,0.003963541,0.002470967
2016-5-4,0.002056199,0.003172049,-0.001809954,0.00490919,0.000790826,0.013725706
2016-5-5,-0.009117216,0.002372544,-0.0054496,-0.005565573,0.003944778,0.002916871
2016-5-6,-0.005413399,0.003941692,-0.010068725,-0.007579503,-0.001576044,0.007255171
2016-5-9,0.007917043,-0.005522721,0.002755989,0.005936727,-0.015898586,-0.00096432
2016-5-10,-0.008741375,-0.027267104,-0.024142137,-0.026997137,-0.012903405,-0.007262196
2016-5-11,-0.005593879,-0.00407335,-0.018018687,-0.012921026,-0.013894788,-0.010747539
2016-5-12,-0.000194957,-0.009020094,0.000956579,-0.003428073,-0.010757241,-0.002458816
2016-5-13,0.003652243,0,-0.004791672,-0.003440085,0.001662511,0.003440652
