Date,023_XLK_1d_actual_lnrts,023_XLK_1d_forecast_lnrts,023_XLK_1d_true_label,023_XLK_1d_forecast_label
2016-01-06,-0.01241068875076415,-0.0004696482792496681,-1.0,-1.0
2016-01-07,-0.029983800528938225,-8.998042903840542e-05,-1.0,-1.0
2016-01-08,-0.007950371394381173,0.005479844287037849,-1.0,1.0
2016-01-11,0.006464290386132627,0.0015022242441773415,1.0,1.0
2016-01-12,0.01182577870034956,0.0006006199400871992,1.0,1.0
2016-01-13,-0.02731050919762457,-0.0012782621197402477,-1.0,-1.0
2016-01-14,0.018701425491625814,0.002260774839669466,1.0,1.0
2016-01-15,-0.028566250293571276,0.006304070353507996,-1.0,1.0
2016-01-19,0.001016324972827069,-0.0005833106115460396,1.0,-1.0
2016-01-20,-0.0079031286125363,-0.0002417305950075388,-1.0,-1.0
2016-01-21,0.0056150873870897825,0.004129895009100437,1.0,1.0
2016-01-22,0.027364575352943305,0.0020649877842515707,1.0,1.0
2016-01-25,-0.011707785220957173,-0.0010527451522648335,-1.0,-1.0
2016-01-26,0.009724617179271438,0.0012961702886968851,1.0,1.0
2016-01-27,-0.02081057414787395,0.0036571533419191837,-1.0,1.0
2016-01-28,0.01283841417548259,0.008750921115279198,1.0,1.0
2016-01-29,0.031029277785710224,0.007674650754779577,1.0,1.0
2016-02-01,0.0036307407617774245,0.0013968066778033972,1.0,1.0
2016-02-02,-0.018040564174844776,0.0009906860068440437,-1.0,1.0
2016-02-03,-0.0012307083316878634,0.0036612222902476788,-1.0,1.0
2016-02-04,0.0009847993555276043,0.002110640052706003,1.0,1.0
2016-02-05,-0.028452168101006686,0.0008650575764477253,-1.0,1.0
2016-02-08,-0.014535476529437104,0.005309894680976868,-1.0,1.0
2016-02-09,-0.004634302597207127,0.010497670620679855,-1.0,1.0
2016-02-10,0.00154710197175151,0.0014751635026186705,1.0,1.0
2016-02-11,-0.0020635034614540854,0.004898419138044119,-1.0,1.0
2016-02-12,0.01384635858168254,0.006000414956361055,1.0,1.0
2016-02-16,0.017668440001971843,0.005038157105445862,1.0,1.0
2016-02-17,0.020307593203874718,0.004628646187484264,1.0,1.0
