Date,031_EWY_1d_actual_lnrts,031_EWY_1d_forecast_lnrts,031_EWY_1d_true_label,031_EWY_1d_forecast_label
2016-01-06,-0.0201105678464187,0.0005812065210193396,-1.0,1.0
2016-01-07,-0.01604423751595578,-0.001384800998494029,-1.0,-1.0
2016-01-08,-0.0055485139668814635,0.0016570385778322816,-1.0,1.0
2016-01-11,0.011066347467002689,0.0036325454711914062,1.0,1.0
2016-01-12,-0.002967387038362598,-0.004362066742032766,-1.0,-1.0
2016-01-13,-0.0027633422019576266,-0.002659198362380266,-1.0,-1.0
2016-01-14,0.010797257399500361,-0.0005618822178803384,1.0,-1.0
2016-01-15,-0.043026669194647385,-0.0025274583604186773,-1.0,-1.0
2016-01-19,0.028176968385426198,-0.004847053904086351,1.0,-1.0
2016-01-20,-0.03147991350918483,-0.0046802693977952,-1.0,-1.0
2016-01-21,0.013364296450039892,-0.0006175353773869574,1.0,-1.0
2016-01-22,0.02937909148638006,0.0021214568987488747,1.0,1.0
2016-01-25,-0.013617162986043029,0.0005113097140565515,-1.0,1.0
2016-01-26,0.009381696570476356,-0.0013909793924540281,1.0,-1.0
2016-01-27,-0.007455578879388319,0.0050087375566363335,-1.0,1.0
2016-01-28,0.01021074351776089,0.004652584902942181,1.0,1.0
2016-01-29,0.010316981920003609,0.0026028058491647243,1.0,1.0
2016-02-01,-0.002726825933687094,-0.003716250415891409,-1.0,-1.0
2016-02-02,-0.028765203044013844,-0.004941085819154978,-1.0,-1.0
2016-02-03,0.020751639676019795,-0.0012362233828753233,1.0,-1.0
2016-02-04,0.01887638829023288,-0.0034188739955425262,1.0,-1.0
2016-02-05,-0.012334188360738862,-0.0009433088125661016,-1.0,-1.0
2016-02-08,-0.006965786660923053,-0.003345450386404991,-1.0,-1.0
2016-02-09,-0.010647473339477957,-0.002849123440682888,-1.0,-1.0
2016-02-10,0.004911960436821819,0.0016268874751403928,1.0,1.0
2016-02-11,-0.02022877115508857,-0.0014848740538582206,-1.0,-1.0
2016-02-12,0.010165545992322816,0.00019951327703893185,1.0,1.0
2016-02-16,0.007717066761021944,0.0021675466559827328,1.0,1.0
2016-02-17,0.011676238615877256,-0.001986502204090357,1.0,-1.0
2016-02-18,-0.010822460942583812,-0.0016325473552569747,-1.0,-1.0
2016-02-19,-0.005133634434386349,0.003482651896774769,-1.0,1.0
2016-02-22,0.020798678164916134,-0.0035323104821145535,1.0,-1.0
2016-02-23,-0.016945940507353773,-0.005212642718106508,-1.0,-1.0
2016-02-24,0.0010675422834437807,-0.00590213667601347,1.0,-1.0
2016-02-25,0.0034085658647536325,-0.008303016424179077,1.0,-1.0
2016-02-26,-0.015431077584892363,-0.0022600176744163036,-1.0,-1.0
2016-02-29,0.0062439710795427535,0.0020763124339282513,1.0,1.0
2016-03-01,0.027729625954925226,-0.0035577514208853245,1.0,-1.0
2016-03-02,0.007901831465561561,-0.008077414706349373,1.0,-1.0
2016-03-03,0.013577632120167719,-0.004395869094878435,1.0,-1.0
2016-03-04,0.01621443732568053,-0.00021103944163769484,1.0,-1.0
2016-03-07,-0.0032218699427687884,-0.0020985612645745277,-1.0,-1.0
2016-03-08,-0.023261698874675562,-0.006460114847868681,-1.0,-1.0
2016-03-09,0.0065843842142786005,0.0024681072682142258,1.0,1.0
2016-03-10,0.016475541460341553,-0.0013899952173233032,1.0,-1.0
2016-03-11,0.021553482337321638,-0.00765245733782649,1.0,-1.0
2016-03-14,-0.008127743389882336,-0.005988127086311579,-1.0,-1.0
2016-03-15,-0.005388667214812452,0.0001502357772551477,-1.0,1.0
2016-03-16,0.02099083762016151,-0.004280613735318184,1.0,-1.0
2016-03-17,0.023817550227923926,-0.006467049941420555,1.0,-1.0
2016-03-18,-0.0022988217703541988,-0.002664766274392605,-1.0,-1.0
2016-03-21,-0.0009594625695400077,-0.004928885493427515,-1.0,-1.0
2016-03-22,0.006124419292432978,-0.005927694961428642,1.0,-1.0
2016-03-23,-0.016351178483809774,-0.004506923723965883,-1.0,-1.0
2016-03-24,0.0,-0.0039750258438289165,0.0,-1.0
2016-03-28,0.0003878565850599814,-0.003920373972505331,1.0,-1.0
2016-03-29,0.021481427863565453,-0.003815542906522751,1.0,-1.0
2016-03-30,0.011133210768573624,-0.004458825569599867,1.0,-1.0
2016-03-31,-0.008858769823105773,-0.007087825797498226,-1.0,-1.0
2016-04-01,-0.014493012057598583,-0.0002536882529966533,-1.0,-1.0
2016-04-04,-0.007132604457869699,-0.0014720696490257978,-1.0,-1.0
2016-04-05,-0.018943941201953966,-0.0016540458891540766,-1.0,-1.0
2016-04-06,0.017782555128390352,-0.006424308754503727,1.0,-1.0
2016-04-07,-0.015616142085262992,-0.0024268273264169693,-1.0,-1.0
2016-04-08,0.012123711599975684,0.0014588061021640897,1.0,1.0
2016-04-11,0.01005611453883576,-0.006246087606996298,1.0,-1.0
2016-04-12,0.009384301627458031,-0.003163863904774189,1.0,-1.0
2016-04-13,0.011372476283662399,-0.007117994595319033,1.0,-1.0
2016-04-14,-0.0022641988913804268,-0.004446933511644602,-1.0,-1.0
2016-04-15,-0.002458579010942431,-0.0075117540545761585,-1.0,-1.0
2016-04-18,0.007545684072555426,-0.004646714776754379,1.0,-1.0
2016-04-19,0.015108030926141953,-0.006137416232377291,1.0,-1.0
2016-04-20,-0.005010635156891297,-0.0031995675526559353,-1.0,-1.0
2016-04-21,-0.005597070223118741,-0.003053125459700823,-1.0,-1.0
2016-04-22,-0.01072137888063646,-0.007217323407530785,-1.0,-1.0
2016-04-25,-0.0032200971033816916,-0.0006492952234111726,-1.0,-1.0
2016-04-26,0.00774834792991939,0.0012822794960811734,1.0,1.0
2016-04-27,0.0009407911313953971,-0.002302586566656828,1.0,-1.0
2016-04-28,-0.006036613543316749,-0.0015955314738675952,-1.0,-1.0
2016-04-29,-0.011417769887851469,-0.005032993387430906,-1.0,-1.0
2016-05-02,0.006295904752077597,-0.004658150486648083,1.0,-1.0
2016-05-03,-0.02055986170660303,-0.004432580433785915,-1.0,-1.0
2016-05-04,-0.019010873435344803,-0.005057791247963905,-1.0,-1.0
2016-05-05,-0.0023772297011469333,-0.0013731777435168624,-1.0,-1.0
2016-05-06,0.0009913061909763115,0.0017355104209855199,1.0,1.0
2016-05-09,-0.006161224479381946,-0.007243416737765074,-1.0,-1.0
2016-05-10,0.01660770098477553,-0.005117970053106546,1.0,-1.0
2016-05-11,-0.004717008361423723,-0.004268263466656208,-1.0,-1.0
2016-05-12,-0.0035523355479203174,-0.0003990934637840837,-1.0,-1.0
2016-05-13,-0.019968717677616984,-0.0019287025788798928,-1.0,-1.0
2016-05-16,0.007635120522752669,-0.0032716551795601845,1.0,-1.0
2016-05-17,-0.006224254587130908,-0.003244189079850912,-1.0,-1.0
2016-05-18,-0.016448774227532954,0.000784624251537025,-1.0,1.0
2016-05-19,0.00040945270311949897,-4.98849549330771e-05,1.0,-1.0
