Date,016_EWM_1d_actual_lnrts,016_EWM_1d_forecast_lnrts,016_EWM_1d_true_label,016_EWM_1d_forecast_label
2016-01-06,-0.022773984033141428,-0.010106367990374565,-1.0,-1.0
2016-01-07,-0.004073297988693472,-0.005941359326243401,-1.0,-1.0
2016-01-08,-0.009569386207116991,-0.006413611583411694,-1.0,-1.0
2016-01-11,-0.001374597743006117,-0.011151324026286602,-1.0,-1.0
2016-01-12,0.012303666297473438,-0.008962075226008892,1.0,-1.0
2016-01-13,-0.010929068554467371,-0.006647825241088867,-1.0,-1.0
2016-01-14,0.01364268419581049,-0.011897901073098183,1.0,-1.0
2016-01-15,-0.027474179258605035,-0.01001245342195034,-1.0,-1.0
2016-01-19,0.009702056797833886,-0.004065799526870251,1.0,-1.0
2016-01-20,0.0013784236394848272,-0.00902662891894579,1.0,-1.0
2016-01-21,0.002751014625475968,-0.010013640858232975,1.0,-1.0
2016-01-22,0.04433229307188011,-0.008631117641925812,1.0,-1.0
2016-01-25,-0.017230403576176796,-0.005687652621418238,-1.0,-1.0
2016-01-26,0.023779136559820543,-0.010479356162250042,1.0,-1.0
2016-01-27,-0.010498748235831535,-0.010023007169365883,-1.0,-1.0
2016-01-28,0.02604323754564038,-0.00362136447802186,1.0,-1.0
2016-01-29,0.04154144743269792,-0.008309474214911461,1.0,-1.0
2016-02-01,-0.013656365932314654,-0.011057122610509396,-1.0,-1.0
2016-02-02,-0.04342957081019197,-0.008766028098762035,-1.0,-1.0
2016-02-03,0.029584156979008756,-0.011519664898514748,1.0,-1.0
2016-02-04,0.012594607186538818,-0.013333380222320557,1.0,-1.0
2016-02-05,-0.021506127375416104,-0.00865919142961502,-1.0,-1.0
2016-02-08,-0.003843736597089354,-0.006646791473031044,-1.0,-1.0
2016-02-09,-0.00902646910676263,-0.00858429353684187,-1.0,-1.0
2016-02-10,0.01542450201545514,-0.00704169413074851,1.0,-1.0
2016-02-11,0.0012746212843096419,-0.01052963174879551,1.0,-1.0
2016-02-12,0.003814480984805331,-0.012471761554479599,1.0,-1.0
2016-02-16,0.0037997850423601596,-0.010129057802259922,1.0,-1.0
2016-02-17,0.01505674455248361,-0.013244736939668655,1.0,-1.0
2016-02-18,0.0,-0.01147747877985239,0.0,-1.0
2016-02-19,-0.01758840798668424,-0.00923443865031004,-1.0,-1.0
2016-02-22,0.017588407986684245,-0.006781789939850569,1.0,-1.0
2016-02-23,-0.01758840798668424,-0.00639263354241848,-1.0,-1.0
2016-02-24,-0.002538089024818296,-0.009076451882719994,-1.0,-1.0
2016-02-25,0.0025380890248183925,-0.012659303843975067,1.0,-1.0
2016-02-26,-0.015325934956961423,-0.010133722797036171,-1.0,-1.0
2016-02-29,0.007692293892462473,-0.008007412776350975,1.0,-1.0
2016-03-01,0.03513542082799682,-0.012342825531959534,1.0,-1.0
2016-03-02,0.006146291881601953,-0.014540653675794601,1.0,-1.0
2016-03-03,0.00488998466071515,-0.010538567788898945,1.0,-1.0
2016-03-04,0.02051971969366737,-0.009314198978245258,1.0,-1.0
2016-03-07,-0.004790459555797643,-0.007486130576580763,-1.0,-1.0
2016-03-08,-0.023073184622911542,-0.008867691271007061,-1.0,-1.0
2016-03-09,0.007343924485041709,-0.008120792917907238,1.0,-1.0
2016-03-10,-0.002441954760140388,-0.008009925484657288,-1.0,-1.0
