Date,047_IYG_1d_actual_lnrts,047_IYG_1d_forecast_lnrts,047_IYG_1d_true_label,047_IYG_1d_forecast_label
2016-01-05,-0.001365968921335237,0.01167750172317028,-1.0,1.0
2016-01-06,-0.017697593332812157,0.003404899500310421,-1.0,1.0
2016-01-07,-0.0316852567259582,0.005378559697419405,-1.0,1.0
2016-01-08,-0.018723679328141712,0.011319025419652462,-1.0,1.0
2016-01-11,0.0051083284004532,0.01490138191729784,1.0,1.0
2016-01-12,0.007252487888089292,0.006335307843983173,1.0,1.0
2016-01-13,-0.03380611494712972,0.004070758819580078,-1.0,1.0
2016-01-14,0.012012010739012941,0.007552841678261757,1.0,1.0
2016-01-15,-0.027833385971333124,0.005901041906327009,-1.0,1.0
2016-01-19,-0.006475850353863549,0.00329074845649302,-1.0,1.0
2016-01-20,-0.017087818077290352,0.005627001170068979,-1.0,1.0
2016-01-21,-0.005717934057378948,0.009288102388381958,-1.0,1.0
2016-01-22,0.017056864599150654,0.008152248337864876,1.0,1.0
2016-01-25,-0.02819662668582547,0.007931169122457504,-1.0,1.0
2016-01-26,0.018540956414087702,0.009425980038940907,1.0,1.0
2016-01-27,-0.0006471130872806657,0.003153103170916438,-1.0,1.0
2016-01-28,-0.0014249925313063873,0.008957701735198498,-1.0,1.0
2016-01-29,0.03490349078609938,0.0052782827988266945,1.0,1.0
2016-02-01,-0.00552342460025327,-0.0016524274833500385,-1.0,-1.0
2016-02-02,-0.03236605356421849,0.007425548974424601,-1.0,1.0
2016-02-03,0.0012993252078918082,0.006792785599827766,1.0,1.0
2016-02-04,0.010334635041658246,0.009366726502776146,1.0,1.0
2016-02-05,-0.015803474901970843,0.006010477431118488,-1.0,1.0
2016-02-08,-0.032915908464292404,0.005096463952213526,-1.0,1.0
2016-02-09,0.0016178138850938125,0.01006726548075676,1.0,1.0
2016-02-10,-0.0037792080105239416,0.007585229352116585,-1.0,1.0
2016-02-11,-0.03565170537704975,0.001311799744144082,-1.0,1.0
2016-02-12,0.04708053216525821,0.015232370235025883,1.0,1.0
2016-02-16,0.022603501512205297,0.00811384804546833,1.0,1.0
2016-02-17,0.010919079080936306,0.007493688724935055,1.0,1.0
2016-02-18,-0.01222690103163328,0.003979831002652645,-1.0,1.0
2016-02-19,0.0015691413029935042,0.007171362638473511,1.0,1.0
2016-02-22,0.01851308206779048,0.0011979087721556425,1.0,1.0
2016-02-23,-0.024147689672277,0.0006226743571460247,-1.0,1.0
2016-02-24,-0.003422365996747224,0.008382387459278107,-1.0,1.0
2016-02-25,0.013880031701142659,0.00369480368681252,1.0,1.0
2016-02-26,0.011378516943669429,0.0005962678696960211,1.0,1.0
2016-02-29,-0.01633231933150283,0.010622335597872734,-1.0,1.0
2016-03-01,0.038330770535469225,0.002783288946375251,1.0,1.0
2016-03-02,0.011006951233021407,-0.004546891897916794,1.0,-1.0
2016-03-03,0.009409561140850627,0.007050678599625826,1.0,1.0
2016-03-04,0.004794358262832027,-0.0034776641987264156,1.0,-1.0
2016-03-07,-0.004178523408126851,-0.001688346266746521,-1.0,-1.0
2016-03-08,-0.02140965691714638,-0.005330379121005535,-1.0,-1.0
2016-03-09,-0.0017631510328622569,0.0071427165530622005,-1.0,1.0
2016-03-10,-0.0008827041158945849,0.005581647157669067,-1.0,1.0
2016-03-11,0.028479324059964256,0.005757462233304977,1.0,1.0
2016-03-14,-0.004793267394708176,-0.0005872710607945919,-1.0,-1.0
2016-03-15,-0.004816265273835749,0.00065063894726336,-1.0,1.0
2016-03-16,-0.0037206705357619575,-0.001706266775727272,-1.0,-1.0
2016-03-17,0.010383237513502511,-0.007628357037901878,1.0,-1.0
2016-03-18,0.015617585780800454,-0.0006770160980522633,1.0,-1.0
2016-03-21,0.0004842361308627901,-0.005661832168698311,1.0,-1.0
2016-03-22,-0.004487305713809495,-0.004483182914555073,-1.0,-1.0
2016-03-23,-0.006970122680359928,0.0039411885663867,-1.0,1.0
2016-03-24,-0.007279064622406656,-0.002133064903318882,-1.0,-1.0
2016-03-28,-0.0012389453208829753,0.0030716387555003166,-1.0,1.0
2016-03-29,0.0004957874692940189,0.007404574193060398,1.0,1.0
2016-03-30,0.007899263947614385,0.003551212837919593,1.0,1.0
2016-03-31,-0.00246182600514444,-0.004918697290122509,-1.0,-1.0
2016-04-01,0.008712163602934668,0.0002968686167150736,1.0,1.0
2016-04-04,-0.005881507365751493,-0.002338442951440811,-1.0,-1.0
2016-04-05,-0.01598063599710996,-0.006966323591768742,-1.0,-1.0
2016-04-06,0.008455699669045753,0.0017680029850453138,1.0,1.0
2016-04-07,-0.025965696328317654,0.0061424775049090385,-1.0,1.0
2016-04-08,0.003425259830542536,-0.0014296183362603188,1.0,-1.0
2016-04-11,0.006060683461204723,-0.006046646274626255,1.0,-1.0
2016-04-12,0.01486874286414088,0.005468287039548159,1.0,1.0
2016-04-13,0.033177869653385594,0.002542017726227641,1.0,1.0
2016-04-14,0.007291861579172829,-4.2965635657310486e-05,1.0,-1.0
2016-04-15,-0.005493772241371494,-0.0058051906526088715,-1.0,-1.0
2016-04-18,0.007397706803494828,0.0019644538406282663,1.0,1.0
