Date,028_XLU_1d_actual_lnrts,028_XLU_1d_forecast_lnrts,028_XLU_1d_true_label,028_XLU_1d_forecast_label
2016-01-06,-0.0018407594524525446,-0.0012957232538610697,-1.0,-1.0
2016-01-07,-0.006701258947410194,0.0006957100704312325,-1.0,1.0
2016-01-08,-0.00046397789962243755,0.0003955769643653184,-1.0,1.0
2016-01-11,0.005321107176597787,0.0013957342598587275,1.0,1.0
2016-01-12,-0.00393028474702341,0.0019286451861262321,-1.0,1.0
2016-01-13,-0.0004633762214421233,0.003009836422279477,-1.0,1.0
2016-01-14,0.014951437047005913,0.00129731185734272,1.0,1.0
2016-01-15,-0.008943961478309295,0.001053288346156478,-1.0,1.0
2016-01-19,0.01486245198465634,0.0010852073319256306,1.0,1.0
2016-01-20,-0.0227257055048353,0.0009404746233485639,-1.0,1.0
2016-01-21,-0.000929194344017366,0.0019630929455161095,-1.0,1.0
2016-01-22,0.017736409342505453,0.0023498425725847483,1.0,1.0
2016-01-25,-0.008483286864941188,0.0013391557149589062,-1.0,1.0
2016-01-26,0.006883756465084963,0.0012752970214933157,1.0,1.0
2016-01-27,0.0022842644401614275,0.0015688480343669653,1.0,1.0
2016-01-28,0.01584454255166513,0.001659689238294959,1.0,1.0
2016-01-29,0.019789435742441283,0.002879864303395152,1.0,1.0
2016-02-01,0.00942265327613786,0.002266985597088933,1.0,1.0
2016-02-02,0.004352553569556131,0.0024354050401598215,1.0,1.0
2016-02-03,0.012301828048673039,0.0012784076388925314,1.0,1.0
2016-02-04,-0.004299222644748455,0.0019111940637230873,-1.0,1.0
2016-02-05,0.003226125819564016,0.0031482677441090345,1.0,1.0
2016-02-08,-0.0034415546556710187,0.003356494242325425,-1.0,1.0
2016-02-09,0.0034415546556709905,0.002935582771897316,1.0,1.0
2016-02-10,-0.0010741585699732637,0.0020729685202240944,-1.0,1.0
2016-02-11,-0.017784065474765732,0.002068615984171629,-1.0,1.0
2016-02-12,-0.0030680312289047373,0.002296632621437311,-1.0,1.0
2016-02-16,0.006344970480599048,0.0024310958106070757,1.0,1.0
2016-02-17,-0.001964888551460531,0.0009964562486857176,-1.0,1.0
2016-02-18,0.016257049085539602,0.00039605743950232863,1.0,1.0
2016-02-19,-0.00668753351102448,0.0008644749759696424,-1.0,1.0
2016-02-22,0.011620453129959019,0.0016343260649591684,1.0,1.0
2016-02-23,0.000855538662846626,0.0010334182297810912,1.0,1.0
2016-02-24,0.004691702910581773,0.0006734791095368564,1.0,1.0
2016-02-25,0.010160980252149525,0.0016473091673105955,1.0,1.0
2016-02-26,-0.02797829456353689,0.0016674669459462166,-1.0,1.0
2016-02-29,0.0028117316354724343,-0.0003040761803276837,1.0,-1.0
2016-03-01,-0.004980007039730714,0.0018320640083402395,-1.0,1.0
2016-03-02,0.00519603908025539,0.0009436121908947825,1.0,1.0
2016-03-03,0.006028026964937275,0.0002478399546816945,1.0,1.0
2016-03-04,0.011099236221826198,-7.842149352654815e-05,1.0,-1.0
2016-03-07,0.005503793492144237,0.00013597231009043753,1.0,1.0
2016-03-08,0.00987317801974675,0.0008189543732441962,1.0,1.0
2016-03-09,0.004587985882158297,0.0006036714185029268,1.0,1.0
2016-03-10,0.0008319624474444671,0.0013298164121806622,1.0,1.0
2016-03-11,0.0010389806509319094,0.0015087139327079058,1.0,1.0
2016-03-14,0.0012453315826372465,0.0021687594708055258,1.0,1.0
2016-03-15,0.0018650614703716892,0.0007724381284788251,1.0,1.0
2016-03-16,0.015204690931306818,0.0008782064542174339,1.0,1.0
2016-03-17,0.0054908191499806105,0.0006616470054723322,1.0,1.0
2016-03-18,-0.006395436102205757,0.002181708114221692,-1.0,1.0
2016-03-21,-0.0010287174097189556,0.0005837325006723404,-1.0,1.0
2016-03-22,-0.0032990036106990356,0.0012786071747541428,-1.0,1.0
2016-03-23,0.007407431188041822,0.001723538152873516,1.0,1.0
2016-03-24,0.0026615461881947145,5.4871547035872936e-05,1.0,1.0
2016-03-28,-0.0036870124450613944,0.0006271224701777101,-1.0,1.0
2016-03-29,0.014667159190400635,0.001297327340580523,1.0,1.0
2016-03-30,-0.0024296820561678376,0.0007046259706839919,-1.0,1.0
2016-03-31,0.0058616575064808695,0.002607627771794796,1.0,1.0
2016-04-01,0.00382187122673127,0.00017334448057226837,1.0,1.0
2016-04-04,-0.004225128164695463,0.001277785748243332,-1.0,1.0
2016-04-05,-0.018927930543556192,0.0006376234814524651,-1.0,1.0
2016-04-06,-0.0012335726677086462,0.002706552855670452,-1.0,1.0
