Date,043_IYF_1d_actual_lnrts,043_IYF_1d_forecast_lnrts,043_IYF_1d_true_label,043_IYF_1d_forecast_label
2016-01-05,0.004489155452205141,0.006444025784730911,1.0,1.0
2016-01-06,-0.01364490128646428,0.002502874471247196,-1.0,1.0
2016-01-07,-0.02750258747787605,0.0024836889933794737,-1.0,1.0
2016-01-08,-0.01555842139509461,0.00535233411937952,-1.0,1.0
2016-01-11,0.0035187161380951727,0.0059744324535131454,1.0,1.0
2016-01-12,0.005195008073482343,0.0018280277727171779,1.0,1.0
2016-01-13,-0.026743214124865158,0.0016734367236495018,-1.0,1.0
2016-01-14,0.009484472452394853,0.004798468202352524,1.0,1.0
2016-01-15,-0.02231398042007736,0.004414703696966171,-1.0,1.0
2016-01-19,-0.0012543913704678496,0.0034358263947069645,-1.0,1.0
2016-01-20,-0.019391003330904863,0.004626867827028036,-1.0,1.0
2016-01-21,-0.0016649386956543635,0.005138607695698738,-1.0,1.0
2016-01-22,0.019045773493045644,0.003346179611980915,1.0,1.0
2016-01-25,-0.021870104883239233,0.004310683812946081,-1.0,1.0
2016-01-26,0.01846848885296853,0.0027701659128069878,1.0,1.0
2016-01-27,-0.005949073830588177,0.0013786621857434511,-1.0,1.0
2016-01-28,-0.0005079056786961695,0.005997003056108952,-1.0,1.0
2016-01-29,0.030398371843952793,0.00232348102144897,1.0,1.0
2016-02-01,-0.004693236138584276,-0.00032419292256236076,-1.0,-1.0
2016-02-02,-0.024816275382022024,0.001997601240873337,-1.0,1.0
2016-02-03,0.0021548797125819767,-0.00041680014692246914,1.0,-1.0
2016-02-04,0.007443368564612565,0.002754614921286702,1.0,1.0
2016-02-05,-0.015836077682420784,0.0017628477653488517,-1.0,1.0
2016-02-08,-0.026657874851240583,0.002887686947360635,-1.0,1.0
2016-02-09,-0.0015749949848229395,0.005777822807431221,-1.0,1.0
2016-02-10,-0.0018405272328243768,0.0023296247236430645,-1.0,1.0
2016-02-11,-0.02694237772222562,-0.0020933880005031824,-1.0,-1.0
2016-02-12,0.034806881520889184,0.004757041111588478,1.0,1.0
2016-02-16,0.018114093107698126,0.002646439941599965,1.0,1.0
2016-02-17,0.011980890260551066,0.0023059623781591654,1.0,1.0
2016-02-18,-0.005462855949109058,-0.00018511503003537655,-1.0,-1.0
2016-02-19,0.0015275846820818676,0.0024456684477627277,1.0,1.0
2016-02-22,0.014521305694418297,-0.0006708062719553709,1.0,-1.0
2016-02-23,-0.016303684451724375,0.00016877660527825356,-1.0,1.0
2016-02-24,-0.0014025029533717784,0.004148575942963362,-1.0,1.0
2016-02-25,0.014441627501114695,0.00030861562117934227,1.0,1.0
2016-02-26,0.004892999171249223,0.00034816074185073376,1.0,1.0
2016-02-29,-0.010189458217656402,0.0035220221616327763,-1.0,1.0
2016-03-01,0.0334463614144748,-0.0007584057748317719,1.0,-1.0
2016-03-02,0.008401838342234165,-0.0031050776597112417,1.0,-1.0
2016-03-03,0.0070083010014129945,0.002041537780314684,1.0,1.0
2016-03-04,0.003605603325869128,-0.0021310688462108374,1.0,-1.0
2016-03-07,-0.0013206012262419306,-0.0023336319718509912,-1.0,-1.0
2016-03-08,-0.016717457215103086,-0.003920558840036392,-1.0,-1.0
2016-03-09,0.0012208655357294918,0.0007086086552590132,1.0,1.0
2016-03-10,-0.0007323753967652734,0.00045942142605781555,-1.0,1.0
2016-03-11,0.0251987158736882,-0.0010100977960973978,1.0,-1.0
2016-03-14,-0.0036975802113557643,-0.0019082075450569391,-1.0,-1.0
2016-03-15,-0.0020336504934776413,0.0008489519823342562,-1.0,1.0
2016-03-16,0.0009574401446223704,0.0009424783056601882,1.0,1.0
2016-03-17,0.011774011379241795,-0.003917282447218895,1.0,-1.0
2016-03-18,0.008710977691338032,-0.0005786225665360689,1.0,-1.0
