Date,0058_ETF_1d_actual_lnrts,0058_ETF_1d_forecast_lnrts,0058_ETF_1d_true_label,0058_ETF_1d_forecast_label
2017-06-01,-0.008886921881314597,0.003696825820952654,-1.0,1.0
2017-06-02,0.006388340229374219,0.0022336875554174185,1.0,1.0
2017-06-03,0.004764614799252407,0.0030886309687048197,1.0,1.0
2017-06-05,0.0006788098461807407,0.0029375236481428146,1.0,1.0
2017-06-06,0.0022593773732463586,0.001066319877281785,1.0,1.0
2017-06-07,0.00045126354556404905,0.002616443671286106,1.0,1.0
2017-06-08,0.0029282597790883597,0.0018452825024724007,1.0,1.0
2017-06-12,-0.01609829573242707,-0.0021610050462186337,-1.0,-1.0
2017-06-13,-0.005730674708984983,0.0026098662056028843,-1.0,1.0
2017-06-14,0.0039004294028312392,0.005841898266226053,1.0,1.0
2017-06-15,-0.0011456067239866464,0.00331568019464612,-1.0,1.0
2017-06-19,0.019523889168843952,0.0017723343335092068,1.0,1.0
2017-06-20,0.0060517947785375965,0.003929568454623222,1.0,1.0
2017-06-21,-0.005377561693101439,-0.0011548744514584541,-1.0,-1.0
2017-06-22,0.006494256393176546,-0.00040837517008185387,1.0,-1.0
2017-06-23,0.0033426214966899284,-0.0002878578379750252,1.0,-1.0
2017-06-26,0.023090635571465744,0.0032098726369440556,1.0,1.0
2017-06-27,0.003038856256512523,-0.00027607567608356476,1.0,-1.0
2017-06-29,-0.00216966889192575,-0.0002013184130191803,-1.0,-1.0
2017-07-04,-0.007193491510028844,0.0016111326403915882,-1.0,1.0
2017-07-07,0.0037121999175170717,-0.0033160271123051643,1.0,-1.0
2017-07-10,-0.010517187213867692,-0.002973923459649086,-1.0,-1.0
2017-07-11,0.008771986072837041,-0.00037212297320365906,1.0,-1.0
2017-07-12,0.01710183470856625,-0.00216608215123415,1.0,-1.0
2017-07-13,-0.000858922105629405,-0.00018303608521819115,-1.0,-1.0
2017-07-17,0.005783458339688793,-0.0021745022386312485,1.0,-1.0
2017-07-18,0.0023466677435615715,-0.004278378561139107,1.0,-1.0
2017-07-19,0.010176047107700528,-0.00266946479678154,1.0,-1.0
2017-07-20,-0.0004219409345299148,-0.005635674111545086,-1.0,-1.0
2017-07-21,-0.015523969386213083,-0.00020061898976564407,-1.0,-1.0
2017-07-25,0.01129473914501216,-0.004149919375777245,1.0,-1.0
2017-07-26,-0.00616433028606246,-0.0036001941189169884,-1.0,-1.0
2017-07-27,0.0023426695838055186,-0.006375160999596119,1.0,-1.0
