Date,046_IYH_1d_actual_lnrts,046_IYH_1d_forecast_lnrts,046_IYH_1d_true_label,046_IYH_1d_forecast_label
2016-01-05,0.004746109560526739,-0.011124366894364357,1.0,-1.0
2016-01-06,-0.009241539596664922,-0.002903201151639223,-1.0,-1.0
2016-01-07,-0.021599899845745667,0.008753838017582893,-1.0,1.0
2016-01-08,-0.014545377461218627,0.0016881739720702171,-1.0,1.0
2016-01-11,-0.01174762630106499,0.0014482587575912476,-1.0,1.0
2016-01-12,0.012313809467409016,-0.0048280139453709126,1.0,-1.0
2016-01-13,-0.03227827800292894,-0.002543705515563488,-1.0,-1.0
2016-01-14,0.025677480680684612,0.011179005727171898,1.0,1.0
2016-01-15,-0.014199859506813685,0.013779493048787117,-1.0,1.0
2016-01-19,-0.003545327616700215,0.0014706216752529144,-1.0,1.0
2016-01-20,0.0049167126933741525,0.009517673403024673,1.0,1.0
2016-01-21,-0.0058597439798834215,0.004488024860620499,-1.0,1.0
2016-01-22,0.017476985662799253,-0.0017584930174052715,1.0,-1.0
2016-01-25,-0.009959559692594615,0.014491204172372818,-1.0,1.0
2016-01-26,0.007318108178327537,0.005015425384044647,1.0,1.0
2016-01-27,-0.012371439719139909,0.00936608575284481,-1.0,1.0
2016-01-28,-0.025212201423813127,0.015170261263847351,-1.0,1.0
2016-01-29,0.017218970593985437,0.019757278263568878,1.0,1.0
2016-02-01,0.003059413202231549,0.010455586016178131,1.0,1.0
2016-02-02,-0.014579488364908168,0.013439003378152847,-1.0,1.0
2016-02-03,0.005372808530483553,0.021132001653313637,1.0,1.0
2016-02-04,-0.0040453699643569685,0.01989004760980606,-1.0,1.0
2016-02-05,-0.021153731489583834,0.018685204908251762,-1.0,1.0
2016-02-08,-0.016164111040830934,0.02709491178393364,-1.0,1.0
2016-02-09,0.007924945447945511,0.034021828323602676,1.0,1.0
2016-02-10,0.00823916559288529,0.03667774796485901,1.0,1.0
2016-02-11,-0.016776556434049766,0.03201712667942047,-1.0,1.0
2016-02-12,0.013987478834931849,0.03540708124637604,1.0,1.0
2016-02-16,0.01936283997012578,0.036592088639736176,1.0,1.0
2016-02-17,0.015574687900915972,0.029499460011720657,1.0,1.0
2016-02-18,-0.008271536684776542,0.027955546975135803,-1.0,1.0
2016-02-19,0.0004410727976515908,0.044035423547029495,1.0,1.0
2016-02-22,0.013427973823468548,0.04071405157446861,1.0,1.0
