Date,045_IYR_1d_actual_lnrts,045_IYR_1d_forecast_lnrts,045_IYR_1d_true_label,045_IYR_1d_forecast_label
2016-01-06,-0.003313703374753531,0.0003647562116384506,-1.0,1.0
2016-01-07,-0.02255737765136312,0.0009961305186152458,-1.0,1.0
2016-01-08,-0.011884546230841375,0.0012431847862899303,-1.0,1.0
2016-01-11,0.003977123863376296,0.005015941336750984,1.0,1.0
2016-01-12,-0.007005072416473223,0.0009420854039490223,-1.0,1.0
2016-01-13,-0.015277916014009758,0.003455140395089984,-1.0,1.0
2016-01-14,-0.0014005014363678713,0.00986020639538765,-1.0,1.0
2016-01-15,-0.01141750878195069,0.008669404312968254,-1.0,1.0
2016-01-19,0.002972462980136436,0.001123929861932993,1.0,1.0
2016-01-20,-0.02693181224705161,-0.00017866352573037148,-1.0,-1.0
2016-01-21,0.006657044616514529,0.006756071466952562,1.0,1.0
2016-01-22,0.027317229475941854,0.008800162002444267,1.0,1.0
2016-01-25,-0.009873216149068192,0.005183856934309006,-1.0,1.0
2016-01-26,0.021177356692794348,0.004094134550541639,1.0,1.0
2016-01-27,-0.01566442144421567,-0.004759667906910181,-1.0,-1.0
2016-01-28,-0.006647541320486905,0.001923621166497469,-1.0,1.0
2016-01-29,0.021479093421832407,0.007964065298438072,1.0,1.0
2016-02-01,0.00013884997806335537,0.0037406529299914837,1.0,1.0
2016-02-02,-0.010610121178919279,0.007206453941762447,-1.0,1.0
2016-02-03,0.004900225660625429,0.0035810712724924088,1.0,1.0
2016-02-04,0.0011166065577152692,0.00515008345246315,1.0,1.0
2016-02-05,-0.022717015294516432,0.004617471247911453,-1.0,1.0
2016-02-08,-0.02983999420759805,0.009297000244259834,-1.0,1.0
2016-02-09,-0.016306401972287977,0.020789021626114845,-1.0,1.0
2016-02-10,0.005217431562038231,0.01937313936650753,1.0,1.0
2016-02-11,-0.014828465246548473,0.006592913530766964,-1.0,1.0
2016-02-12,0.012893859517523037,0.009867530316114426,1.0,1.0
2016-02-16,0.01903395730023735,0.010189047083258629,1.0,1.0
2016-02-17,0.009020914970406446,0.006358118262141943,1.0,1.0
2016-02-18,0.00951427258175571,0.0007456843741238117,1.0,1.0
2016-02-19,0.002149738109506311,0.0018849917687475681,1.0,1.0
2016-02-22,0.011529647991851579,0.00045096874237060547,1.0,1.0
2016-02-23,-0.002408801352179969,0.0015137381851673126,-1.0,1.0
2016-02-24,0.0004253822048437205,0.004423562437295914,1.0,1.0
2016-02-25,0.017988269610903263,0.000882292166352272,1.0,1.0
2016-02-26,-0.0030688004417948203,-0.0004260484129190445,-1.0,-1.0
2016-02-29,-0.0016778381883627872,0.0018068714998662472,-1.0,1.0
2016-03-01,0.02569547235081041,-0.00452349754050374,1.0,-1.0
2016-03-02,0.007608676809738857,-0.006406192202121019,1.0,-1.0
2016-03-03,0.00499573721390314,0.00315916258841753,1.0,1.0
2016-03-04,0.00268988271112238,-0.003468635957688093,1.0,-1.0
2016-03-07,0.0018788043533754027,-0.0018572206608951092,1.0,-1.0
2016-03-08,-0.010376767972472063,-0.002962408121675253,-1.0,-1.0
2016-03-09,0.004055661725257486,0.004967628978192806,1.0,1.0
2016-03-10,-0.002566631027152774,0.0003078007139265537,-1.0,1.0
2016-03-11,0.02339521388291292,0.0002715969458222389,1.0,1.0
2016-03-14,-0.001322282779909775,0.00021749315783381462,-1.0,1.0
2016-03-15,-0.0002646832392927671,0.0017692013643682003,-1.0,1.0
2016-03-16,0.012625159670639723,-0.0034354631789028645,1.0,-1.0
2016-03-17,0.013886369663805432,-0.00900248996913433,1.0,-1.0
2016-03-18,-0.003873917967989496,-0.007307818625122309,-1.0,-1.0
2016-03-21,-0.006490227305214275,0.0015286547131836414,-1.0,1.0
2016-03-22,0.00026045789550942266,0.00036995625123381615,1.0,1.0
2016-03-23,-0.0070732163760719325,-0.0005509410984814167,-1.0,-1.0
2016-03-24,0.0007958583512637555,-0.0038484646938741207,1.0,-1.0
2016-03-28,0.0076597303670894205,-0.005352644715458155,1.0,-1.0
2016-03-29,0.0196710457193447,-0.0025793067179620266,1.0,-1.0
2016-03-30,-0.001549184590790119,-0.0022473731078207493,-1.0,-1.0
2016-03-31,0.00592566171167638,-0.008447980508208275,1.0,-1.0
2016-04-01,0.0006419922742037425,0.0011916053481400013,1.0,1.0
