Date,026_XLI_1d_actual_lnrts,026_XLI_1d_forecast_lnrts,026_XLI_1d_true_label,026_XLI_1d_forecast_label
2016-01-06,-0.015566693049709533,-0.0009180791676044464,-1.0,-1.0
2016-01-07,-0.027490576376847875,0.0010256420355290174,-1.0,1.0
2016-01-08,-0.0102050136804606,0.005422030575573444,-1.0,1.0
2016-01-11,0.0006032452575763476,0.0010768913198262453,1.0,1.0
2016-01-12,0.008008000196324076,-0.0044858320616185665,1.0,-1.0
2016-01-13,-0.024423671455566762,-0.0020521418191492558,-1.0,-1.0
2016-01-14,0.011781687563411563,0.0008285042131319642,1.0,1.0
2016-01-15,-0.017724783513675155,0.005076508969068527,-1.0,1.0
2016-01-19,-0.00020566559888302678,-0.0023325025103986263,-1.0,-1.0
2016-01-20,-0.013036866958890352,-0.0002770577557384968,-1.0,-1.0
2016-01-21,0.004364598512641664,0.0029282388277351856,1.0,1.0
2016-01-22,0.008672268446248658,0.001762097468599677,1.0,1.0
2016-01-25,-0.012412055891776687,0.002685187617316842,-1.0,1.0
2016-01-26,0.018765307169818106,0.002652880270034075,1.0,1.0
2016-01-27,-0.011299516268070584,-0.0007743597961962223,-1.0,-1.0
2016-01-28,0.005768375587768345,0.0047014374285936356,1.0,1.0
2016-01-29,0.026554689148574968,0.003966707736253738,1.0,1.0
2016-02-01,-0.002403330185961721,-0.0008611807134002447,-1.0,-1.0
2016-02-02,-0.02025599300557115,0.00028239248786121607,-1.0,1.0
2016-02-03,0.01603612766751073,0.003969441168010235,1.0,1.0
2016-02-04,0.01716953497968317,0.002113821916282177,1.0,1.0
2016-02-05,-0.009546635109351059,-0.00040163123048841953,-1.0,-1.0
2016-02-08,-0.008428696688878853,0.003922666423022747,-1.0,1.0
2016-02-09,0.006027687743096899,0.0035470216535031796,1.0,1.0
2016-02-10,-0.005221890924550155,0.0003324514254927635,-1.0,1.0
2016-02-11,-0.019726252505815202,-0.004137154668569565,-1.0,-1.0
2016-02-12,0.019927610732119485,0.002017287304624915,1.0,1.0
2016-02-16,0.0199329110413764,0.0016697715036571026,1.0,1.0
2016-02-17,0.01527648938782063,-0.0005808507557958364,1.0,-1.0
