Date,019_EWK_1d_actual_lnrts,019_EWK_1d_forecast_lnrts,019_EWK_1d_true_label,019_EWK_1d_forecast_label
2016-01-06,-0.015310744058736506,0.0029495812486857176,-1.0,1.0
2016-01-07,-0.013229967053061729,0.0021304069086909294,-1.0,1.0
2016-01-08,-0.007556037361754969,0.0023048364091664553,-1.0,1.0
2016-01-11,0.0,0.0038137566298246384,0.0,1.0
2016-01-12,0.005817332375918332,0.004275272600352764,1.0,1.0
2016-01-13,-0.02228813835016465,0.003073776140809059,-1.0,1.0
2016-01-14,0.0005929296067213983,0.0019423221237957478,1.0,1.0
2016-01-15,-0.02278289198906046,0.003714451100677252,-1.0,1.0
2016-01-19,0.00363206551344631,0.0013945151586085558,1.0,1.0
2016-01-20,-0.019524753289022787,0.002605411922559142,-1.0,1.0
2016-01-21,0.007977884105564876,0.006496809422969818,1.0,1.0
2016-01-22,0.027729341052793156,0.004808281548321247,1.0,1.0
2016-01-25,-0.0017850786839230344,0.001962358597666025,-1.0,1.0
2016-01-26,0.016538910825286912,0.0030494609382003546,1.0,1.0
2016-01-27,-0.015348524912409187,0.0017993045039474964,-1.0,1.0
2016-01-28,0.0029701177706029664,0.0055992938578128815,1.0,1.0
2016-01-29,0.01763707943756895,0.0036621741019189358,1.0,1.0
2016-02-01,0.0023282936881168265,0.00035765813663601875,1.0,1.0
2016-02-02,-0.018187699256322295,0.004261376336216927,-1.0,1.0
2016-02-03,0.008841881769116247,0.0038644953165203333,1.0,1.0
2016-02-04,-0.007067301230566315,0.005044460762292147,-1.0,1.0
2016-02-05,-0.022714486275488242,0.00210824073292315,-1.0,1.0
2016-02-08,-0.03256832858783438,0.0015472453087568283,-1.0,1.0
2016-02-09,-0.0037546070447423367,0.00442900275811553,-1.0,1.0
2016-02-10,0.010601909417977753,0.00367668061517179,1.0,1.0
2016-02-11,-0.0031066108417769,0.00237540272064507,-1.0,1.0
2016-02-12,0.009290837004334699,0.0029701734893023968,1.0,1.0
2016-02-16,0.017115362005343113,0.002290084259584546,1.0,1.0
2016-02-17,0.020990388533445502,0.0010437266901135445,1.0,1.0
2016-02-18,-0.008343420637113224,-0.00011428864672780037,-1.0,-1.0
2016-02-19,-0.0011975139489683458,0.0032926220446825027,-1.0,1.0
2016-02-22,0.004781722461024431,0.005364707205444574,1.0,1.0
2016-02-23,-0.0065809040051366,0.004698595032095909,-1.0,1.0
2016-02-24,-0.004813495277114096,0.001622934127226472,-1.0,1.0
2016-02-25,0.004813495277114042,-0.0007638884708285332,1.0,-1.0
2016-02-26,-0.010256564871317478,0.0012002710718661547,-1.0,1.0
2016-02-29,-0.00730363170489937,0.002759952563792467,-1.0,1.0
2016-03-01,0.024737334794698706,0.0008343062363564968,1.0,1.0
2016-03-02,-0.004778927455829448,-0.00038727978244423866,-1.0,-1.0
2016-03-03,0.010720571941243241,0.0030671502463519573,1.0,1.0
2016-03-04,0.004728149585657977,0.0036817605141550303,1.0,1.0
2016-03-07,-0.003543984090013641,0.0022927001118659973,-1.0,1.0
2016-03-08,-0.009512449865540229,0.00463715149089694,-1.0,1.0
2016-03-09,0.00536181349920113,0.00558110885322094,1.0,1.0
2016-03-10,0.010050460111566897,0.003433734178543091,1.0,1.0
2016-03-11,0.014598748230896876,0.0011343995574861765,1.0,1.0
2016-03-14,0.0,0.0013832678087055683,0.0,1.0
2016-03-15,-0.004066188633882154,0.0035830081906169653,-1.0,1.0
2016-03-16,0.0127242213689144,0.0015715525951236486,1.0,1.0
2016-03-17,-0.0011500585851864022,0.0010191770270466805,-1.0,1.0
2016-03-18,0.005164998239474314,0.0006863866001367569,1.0,1.0
2016-03-21,-0.0017187234364495838,0.0008978601545095444,-1.0,1.0
2016-03-22,-0.0011474193177124976,0.0017210450023412704,-1.0,1.0
2016-03-23,-0.004026486782698905,0.002029243391007185,-1.0,1.0
2016-03-24,-0.006940467800932699,0.0011592363007366657,-1.0,1.0
2016-03-28,0.001739653113342674,0.004837630316615105,1.0,1.0
2016-03-29,0.013809159559550874,0.005974877160042524,1.0,1.0
2016-03-30,0.011928518487527129,0.0015949115622788668,1.0,1.0
2016-03-31,-0.0028271298069616523,-0.0010282513685524464,-1.0,-1.0
2016-04-01,0.004519672523111499,-0.0003386419266462326,1.0,-1.0
2016-04-04,0.0011268501261123432,-8.409982547163963e-05,1.0,-1.0
2016-04-05,-0.014747911329789379,-0.0012610089033842087,-1.0,-1.0
2016-04-06,0.011363836860241502,-0.00019659101963043213,1.0,-1.0
2016-04-07,-0.014225059309726463,0.002788935089483857,-1.0,1.0
2016-04-08,0.009694856401732486,0.003089102916419506,1.0,1.0
2016-04-11,0.0005674797160522663,-0.00041318777948617935,1.0,-1.0
