Date,008_EWA_1d_actual_lnrts,008_EWA_1d_forecast_lnrts,008_EWA_1d_true_label,008_EWA_1d_forecast_label
2016-01-06,-0.029195263918640958,0.003486741567030549,-1.0,1.0
2016-01-07,-0.04341058504574783,0.005358303431421518,-1.0,1.0
2016-01-08,-0.014701703711655297,0.01618649996817112,-1.0,1.0
2016-01-11,0.008259669153631612,0.009985120967030525,1.0,1.0
2016-01-12,0.005858298972356243,0.004802864510565996,1.0,1.0
2016-01-13,-0.01767880896866453,0.006865805946290493,-1.0,1.0
2016-01-14,0.020595076685366233,0.0037386054173111916,1.0,1.0
2016-01-15,-0.05507088383201514,-0.0014293991262093186,-1.0,-1.0
2016-01-19,0.023716569066786618,0.0012292027240619063,1.0,1.0
2016-01-20,-0.00361222792534389,0.007290113717317581,-1.0,1.0
2016-01-21,0.019116462654635694,0.0086591187864542,1.0,1.0
2016-01-22,0.018176998681853834,0.012242807075381279,1.0,1.0
2016-01-25,-0.015812885459151788,0.004707828629761934,-1.0,1.0
2016-01-26,0.0198721481428631,0.0069409944117069244,1.0,1.0
2016-01-27,-0.011056387787713819,0.005021842196583748,-1.0,1.0
2016-01-28,0.01797671939586432,0.008270409889519215,1.0,1.0
2016-01-29,0.01369880734289201,0.0004357805009931326,1.0,1.0
2016-02-01,0.00169929892556376,0.0017777070170268416,1.0,1.0
2016-02-02,-0.032205149976268145,0.001994931371882558,-1.0,1.0
2016-02-03,0.0139293798227508,-0.0006930726813152432,1.0,-1.0
2016-02-04,0.01714324520054681,-0.005791043862700462,1.0,-1.0
2016-02-05,-0.026408112822823043,-0.0037814080715179443,-1.0,-1.0
2016-02-08,-0.0011639814304410842,0.0048064603470265865,-1.0,1.0
2016-02-09,-0.019406699280954072,0.003992938902229071,-1.0,1.0
2016-02-10,-0.00356925055259421,0.006485822144895792,-1.0,1.0
2016-02-11,-0.00358216299736123,0.003230670001357794,-1.0,1.0
2016-02-12,0.013072146017674986,0.0011504953727126122,1.0,1.0
2016-02-16,0.022184148284556796,-0.004840381443500519,1.0,-1.0
2016-02-17,0.016037006447722657,-0.005831079091876745,1.0,-1.0
