Date,020_DIA_1d_actual_lnrts,020_DIA_1d_forecast_lnrts,020_DIA_1d_true_label,020_DIA_1d_forecast_label
2016-01-06,-0.014398337207538033,-0.00206736009567976,-1.0,-1.0
2016-01-07,-0.023840273525166857,-0.0011471555335447192,-1.0,-1.0
2016-01-08,-0.010481556858178,0.003905246965587139,-1.0,1.0
2016-01-11,0.0036078465361835035,0.0037013343535363674,1.0,1.0
2016-01-12,0.006813050854583878,-0.003789929673075676,1.0,-1.0
2016-01-13,-0.022066680929056844,0.0004521050723269582,-1.0,1.0
2016-01-14,0.013787386999525567,0.007804881781339645,1.0,1.0
2016-01-15,-0.02366580998170398,0.010528950951993465,-1.0,1.0
2016-01-19,0.002127241996025082,0.0013749012723565102,1.0,1.0
2016-01-20,-0.015174958453727011,0.0028519975021481514,-1.0,1.0
2016-01-21,0.006261498214977221,0.010013043880462646,1.0,1.0
2016-01-22,0.013713713913348176,0.0088575454428792,1.0,1.0
2016-01-25,-0.013083389677823042,0.005815333686769009,-1.0,1.0
2016-01-26,0.01773728065475098,0.00843249261379242,1.0,1.0
2016-01-27,-0.013963675628137677,0.007984371855854988,-1.0,1.0
2016-01-28,0.007566876792745536,0.010084844194352627,1.0,1.0
2016-01-29,0.023763899261279385,0.014587839134037495,1.0,1.0
2016-02-01,-0.00018255941830172423,0.006800376810133457,-1.0,1.0
2016-02-02,-0.01798965315281651,0.00954099278897047,-1.0,1.0
2016-02-03,0.011028572640943696,0.014311213977634907,1.0,1.0
2016-02-04,0.0057432499150677635,0.006077019032090902,1.0,1.0
2016-02-05,-0.013493793684094101,0.004791584797203541,-1.0,1.0
2016-02-08,-0.009866708191108674,0.011163531802594662,-1.0,1.0
2016-02-09,-0.0006862456308653714,0.012024293653666973,-1.0,1.0
2016-02-10,-0.005318734085295782,0.006021618843078613,-1.0,1.0
2016-02-11,-0.016383182427659626,0.00546296127140522,-1.0,1.0
2016-02-12,0.02007756689529329,0.009111735969781876,1.0,1.0
2016-02-16,0.013781809408385273,0.00855598971247673,1.0,1.0
2016-02-17,0.016690716306563765,0.006044739857316017,1.0,1.0
2016-02-18,-0.0024890197675677735,0.001567679806612432,-1.0,1.0
2016-02-19,-0.0012634339842666057,0.007849762216210365,-1.0,1.0
2016-02-22,0.01359080801288002,0.005362452939152718,1.0,1.0
2016-02-23,-0.01084586054496319,0.004606368951499462,-1.0,1.0
2016-02-24,0.0031628327354988645,0.006762713193893433,1.0,1.0
2016-02-25,0.013091975816680064,0.004103230778127909,1.0,1.0
2016-02-26,-0.003362344571243631,0.0028509951662272215,-1.0,1.0
2016-02-29,-0.007969911431295065,0.008239516988396645,-1.0,1.0
2016-03-01,0.021351344394603178,0.004233331885188818,1.0,1.0
2016-03-02,0.0021929650689426964,-0.00108158343937248,1.0,-1.0
2016-03-03,0.0027202979811043167,0.008768497966229916,1.0,1.0
2016-03-04,0.003948340618755495,0.005493109580129385,1.0,1.0
2016-03-07,0.003522973140362025,-0.001760179759003222,1.0,-1.0
2016-03-08,-0.005878507474306553,-0.0007795508718118072,-1.0,-1.0
2016-03-09,0.002355534333944549,0.008263438008725643,1.0,1.0
