Date,024_XLE_1d_actual_lnrts,024_XLE_1d_forecast_lnrts,024_XLE_1d_true_label,024_XLE_1d_forecast_label
2016-01-06,-0.03925369954264798,-0.006515453569591045,-1.0,-1.0
2016-01-07,-0.024701361616727358,0.003028523875400424,-1.0,1.0
2016-01-08,-0.012939903388117934,0.005282822996377945,-1.0,1.0
2016-01-11,-0.021641908532310156,2.3976899683475494e-05,-1.0,1.0
2016-01-12,0.0023672311732341063,-0.006661307066679001,1.0,-1.0
2016-01-13,-0.02430162992889413,0.003164242720231414,-1.0,1.0
2016-01-14,0.04214812957507459,-0.0013094304595142603,1.0,-1.0
2016-01-15,-0.029371285495933652,-0.0008728480897843838,-1.0,-1.0
2016-01-19,-0.021762257156245673,-0.0052304198034107685,-1.0,-1.0
2016-01-20,-0.02687154155126118,-0.001926001743413508,-1.0,-1.0
2016-01-21,0.030625339536487398,0.00047699431888759136,1.0,1.0
2016-01-22,0.0432618091819391,-0.002707412466406822,1.0,-1.0
2016-01-25,-0.04776810817284236,0.006036111153662205,-1.0,1.0
2016-01-26,0.037126872338475184,0.007172079756855965,1.0,1.0
2016-01-27,-0.004725529084578178,0.003479941049590707,-1.0,1.0
2016-01-28,0.029970792468766133,-0.009454398415982723,1.0,-1.0
2016-01-29,0.0287550523732292,-0.007361273281276226,1.0,-1.0
2016-02-01,-0.016804033432250013,-0.010821892879903316,-1.0,-1.0
2016-02-02,-0.03393781644512825,-0.0096131581813097,-1.0,-1.0
2016-02-03,0.03498525045182605,-0.002430123742669821,1.0,-1.0
2016-02-04,-0.0005235431179856972,-0.00909967627376318,-1.0,-1.0
2016-02-05,-0.023497214744672475,-0.007986455224454403,-1.0,-1.0
2016-02-08,-0.005197644497714794,-0.0009182083886116743,-1.0,-1.0
2016-02-09,-0.024373723973201342,0.004181212745606899,-1.0,1.0
2016-02-10,-0.0040589572156299394,-0.007199913263320923,-1.0,-1.0
2016-02-11,-0.004261367620464499,-0.005852985195815563,-1.0,-1.0
2016-02-12,0.026023123139954002,-0.005482642911374569,1.0,-1.0
2016-02-16,0.009900237790521585,-0.010762063786387444,1.0,-1.0
2016-02-17,0.03225236471751847,-0.005037487018853426,1.0,-1.0
2016-02-18,-0.012565729273926943,-0.010572100058197975,-1.0,-1.0
2016-02-19,-0.0022855971317984566,-0.0022506234236061573,-1.0,-1.0
2016-02-22,0.025203259828746376,-0.006532218307256699,1.0,-1.0
2016-02-23,-0.034754183207018424,-0.00600639171898365,-1.0,-1.0
2016-02-24,0.010078778613582187,-0.00534431915730238,1.0,-1.0
2016-02-25,0.0008792201642001825,-0.01102384738624096,1.0,-1.0
2016-02-26,0.005958710259065438,-0.00967889092862606,1.0,-1.0
