Date,037_IWF_1d_actual_lnrts,037_IWF_1d_forecast_lnrts,037_IWF_1d_true_label,037_IWF_1d_forecast_label
2016-01-05,0.0015328909651867336,0.0035920203663408756,1.0,1.0
2016-01-06,-0.01057347040110391,0.002829862292855978,-1.0,1.0
2016-01-07,-0.02582076191204034,0.0038935851771384478,-1.0,1.0
2016-01-08,-0.010004331835485167,0.003646235913038254,-1.0,1.0
2016-01-11,0.0005347355054448492,0.0009589747060090303,1.0,1.0
2016-01-12,0.009787345351555015,-0.001698038773611188,1.0,-1.0
2016-01-13,-0.029872280378194838,-0.0005665125790983438,-1.0,-1.0
2016-01-14,0.014832808249722513,0.004291422665119171,1.0,1.0
2016-01-15,-0.020082047859592184,0.005779779050499201,-1.0,1.0
2016-01-19,0.000986241296313992,-0.0016409887466579676,1.0,-1.0
2016-01-20,-0.005492034139504656,8.1212492659688e-05,-1.0,1.0
2016-01-21,0.003079360633380201,0.0026822711806744337,1.0,1.0
2016-01-22,0.02204549107822684,0.005050851032137871,1.0,1.0
2016-01-25,-0.012537772126650118,0.004386199172586203,-1.0,1.0
2016-01-26,0.010064415300203335,0.0019926922395825386,1.0,1.0
2016-01-27,-0.016174101742801886,0.0005288475658744574,-1.0,1.0
2016-01-28,0.004476766392173976,0.002067580120638013,1.0,1.0
2016-01-29,0.021981251493458396,0.003578334813937545,1.0,1.0
2016-02-01,0.0038294519212519677,0.0010579361114650965,1.0,1.0
2016-02-02,-0.018213528269282152,0.002097752643749118,-1.0,1.0
2016-02-03,0.002699308049648147,0.002745500998571515,1.0,1.0
2016-02-04,0.0,0.0024317691568285227,0.0,1.0
2016-02-05,-0.02655165699894134,3.8088764995336533e-06,-1.0,1.0
2016-02-08,-0.016861495362156722,0.002639608457684517,-1.0,1.0
2016-02-09,0.0009003145063377857,0.004828010220080614,1.0,1.0
2016-02-10,0.002696800895003757,-0.0001938990317285061,1.0,-1.0
2016-02-11,-0.009017154990173972,0.000885579502210021,-1.0,1.0
2016-02-12,0.016506974843791045,0.0016329842619597912,1.0,1.0
2016-02-16,0.01919320815298596,0.0017798054032027721,1.0,1.0
2016-02-17,0.018295482569038308,-0.0012050962541252375,1.0,-1.0
2016-02-18,-0.005485940467767479,-0.003368271281942725,-1.0,-1.0
2016-02-19,0.0016165639499845419,0.0002055687364190817,1.0,1.0
2016-02-22,0.013265011967025859,-0.00041223084554076195,1.0,-1.0
2016-02-23,-0.010468891214995491,-0.0008998576086014509,-1.0,-1.0
2016-02-24,0.005034381998903848,-0.00042528146877884865,1.0,-1.0
2016-02-25,0.011368040278787543,-0.00202273135073483,1.0,-1.0
2016-02-26,-0.0008454901920903327,-0.002161608776077628,-1.0,-1.0
2016-02-29,-0.007961381637351614,0.001595113892108202,-1.0,1.0
2016-03-01,0.025256568536606915,-0.0026206637267023325,1.0,-1.0
2016-03-02,0.00020769777482303425,-0.005216403864324093,1.0,-1.0
2016-03-03,0.002386921703970724,-0.0017060327809304,1.0,-1.0
2016-03-04,0.002277539801893823,-0.0031539464835077524,1.0,-1.0
2016-03-07,-0.0015521609726982398,-0.004131189547479153,-1.0,-1.0
2016-03-08,-0.009156354517243887,-0.0036885153967887163,-1.0,-1.0
2016-03-09,0.004172294228835985,-0.00029599620029330254,1.0,-1.0
2016-03-10,-0.0003123380824318631,-0.002023256616666913,-1.0,-1.0
2016-03-11,0.01590783691238078,-0.002878308529034257,1.0,-1.0
2016-03-14,0.0008194965394870428,-0.0016049582045525312,1.0,-1.0
2016-03-15,-0.002460674850436221,0.0005349230486899614,-1.0,1.0
2016-03-16,0.007057872579598568,-0.002420879201963544,1.0,-1.0
2016-03-17,0.004474792103293475,-0.004522799514234066,1.0,-1.0
2016-03-18,0.0040504662003048655,-0.003413180122151971,1.0,-1.0
2016-03-21,0.0014138816183365526,-0.002799595007672906,1.0,-1.0
2016-03-22,0.0012102815284963967,-0.0023901613894850016,1.0,-1.0
2016-03-23,-0.006241246807299947,-0.0027699845377355814,-1.0,-1.0
2016-03-24,0.0,-0.004679124802350998,0.0,-1.0
2016-03-28,0.0012208830723940043,-0.0038027337286621332,1.0,-1.0
2016-03-29,0.011725568100472096,-0.003130207536742091,1.0,-1.0
2016-03-30,0.004612025191014001,-0.0028285954613238573,1.0,-1.0
2016-03-31,-0.0019023911853794187,-0.0036077226977795362,-1.0,-1.0
2016-04-01,0.008283849715126404,-0.0031797417905181646,1.0,-1.0
2016-04-04,-0.0026871693216343746,-0.004050362855195999,-1.0,-1.0
2016-04-05,-0.008607756724989354,-0.006243967451155186,-1.0,-1.0
2016-04-06,0.012487026366912858,-0.004544734954833984,1.0,-1.0
2016-04-07,-0.012587558030341037,-0.000440455274656415,-1.0,-1.0
2016-04-08,0.0009043191256995903,0.00076301209628582,1.0,1.0
2016-04-11,-0.003824039848581366,-0.0044749146327376366,-1.0,-1.0
2016-04-12,0.007933719903186809,-0.001959880581125617,1.0,-1.0
2016-04-13,0.00995326274471611,-0.0029418321792036295,1.0,-1.0
2016-04-14,-0.0002970829045237907,-0.00040748552419245243,-1.0,-1.0
2016-04-15,0.0,-0.002195037202909589,0.0,-1.0
2016-04-18,0.005729412943727534,-0.0008746178355067968,1.0,-1.0
