Date,005_EWC_1d_actual_lnrts,005_EWC_1d_forecast_lnrts,005_EWC_1d_true_label,005_EWC_1d_forecast_label
2016-01-06,-0.022052671158004085,-0.0066214669495821,-1.0,-1.0
2016-01-07,-0.024038453946172173,-0.005492076277732849,-1.0,-1.0
2016-01-08,-0.004478764417188166,-0.0010652807541191578,-1.0,-1.0
2016-01-11,-0.01355776622795168,-0.00011385465040802956,-1.0,-1.0
2016-01-12,0.002020164749236436,-0.003749809693545103,1.0,-1.0
2016-01-13,-0.022450078794534856,0.0003125178627669811,-1.0,1.0
2016-01-14,0.012817543805055934,0.0013121077790856361,1.0,1.0
2016-01-15,-0.034200193942845854,0.002881416119635105,-1.0,1.0
2016-01-19,-0.004226185860561491,-0.0005050147883594036,-1.0,-1.0
2016-01-20,-0.012786404800331354,0.0005216668359935284,-1.0,1.0
2016-01-21,0.031664860759018816,0.005749963223934174,1.0,1.0
2016-01-22,0.038721195207667564,0.00688403844833374,1.0,1.0
2016-01-25,-0.0268440345769434,0.004138348624110222,-1.0,1.0
2016-01-26,0.027842991181826347,0.005750102922320366,1.0,1.0
2016-01-27,0.001496540726296657,0.0034464364871382713,1.0,1.0
2016-01-28,0.023646533403853417,-0.000677669420838356,1.0,-1.0
2016-01-29,0.017853183776910957,0.0010012481361627579,1.0,1.0
2016-02-01,-0.004793955606798128,0.0013183983974158764,-1.0,1.0
2016-02-02,-0.0248126269604781,-0.00011714454740285873,-1.0,-1.0
2016-02-03,0.029128224786306046,-0.0029047452844679356,1.0,-1.0
2016-02-04,0.017078234637977422,-0.0019303488079458475,1.0,-1.0
2016-02-05,-0.01325781315647748,-0.0027548435609787703,-1.0,-1.0
2016-02-08,-0.01924975823231729,-0.003377022687345743,-1.0,-1.0
2016-02-09,-0.018637051295775996,-0.0038322501350194216,-1.0,-1.0
2016-02-10,-0.010450526880808143,0.00018341979011893272,-1.0,1.0
2016-02-11,-0.009550224502392278,-0.00352604896761477,-1.0,-1.0
2016-02-12,0.03034289162393983,0.0005789394490420818,1.0,1.0
2016-02-16,0.015074495609227035,-0.0030055800452828407,1.0,-1.0
2016-02-17,0.039276428118520654,-0.0053619202226400375,1.0,-1.0
2016-02-18,-0.0004641003820517688,-0.0031919595785439014,-1.0,-1.0
2016-02-19,-0.011204676319032192,-0.0018809987232089043,-1.0,-1.0
2016-02-22,0.007017621177728886,-0.0012031057849526405,1.0,-1.0
2016-02-23,-0.012667247664536065,-0.006145155988633633,-1.0,-1.0
2016-02-24,0.0023579516327492537,-0.00756347831338644,1.0,-1.0
2016-02-25,0.012172326380058938,-0.004424692131578922,1.0,-1.0
2016-02-26,0.006493621577282354,-0.007806077599525452,1.0,-1.0
2016-02-29,0.0,-0.005202135536819696,0.0,-1.0
2016-03-01,0.021948763981773277,-0.012304916977882385,1.0,-1.0
2016-03-02,0.0018073286111003044,-0.01576974242925644,1.0,-1.0
2016-03-03,0.010776963276927794,-0.01035391353070736,1.0,-1.0
2016-03-04,0.010220156289706123,-0.012707686983048916,1.0,-1.0
2016-03-07,0.01839744548322037,-0.012297295033931732,1.0,-1.0
2016-03-08,-0.015748419187468672,-0.011343810707330704,-1.0,-1.0
