Date,003_EWJ_1d_actual_lnrts,003_EWJ_1d_forecast_lnrts,003_EWJ_1d_true_label,003_EWJ_1d_forecast_label
2016-01-06,-0.01753685765374844,0.0018761527026072145,-1.0,1.0
2016-01-07,-0.015280589367355938,0.003297467017546296,-1.0,1.0
2016-01-08,-0.021617737240115176,0.0036281622014939785,-1.0,1.0
2016-01-11,0.00696875771718797,0.005554873496294022,1.0,1.0
2016-01-12,-0.00522193783787524,-0.0002084209118038416,-1.0,-1.0
2016-01-13,-0.008764392380960731,-8.49009957164526e-05,-1.0,-1.0
2016-01-14,0.012248704968438164,-0.001065220683813095,1.0,-1.0
2016-01-15,-0.02822065587609296,0.00199791113846004,-1.0,1.0
2016-01-19,0.008017919592068752,0.0007856865413486958,1.0,1.0
2016-01-20,-0.038901373125058064,-0.0009683347307145596,-1.0,-1.0
2016-01-21,-0.003696849943160865,-0.00011617341078817844,-1.0,-1.0
2016-01-22,0.04437125610030993,0.002604076871648431,1.0,1.0
2016-01-25,-0.021486925829236496,-0.0007953003514558077,-1.0,-1.0
2016-01-26,0.0134832894415009,-0.0006976316217333078,1.0,-1.0
2016-01-27,0.0008924957334182533,0.0002778344787657261,1.0,1.0
2016-01-28,0.0017825372375937882,0.0013169680023565888,1.0,1.0
2016-01-29,0.023758306668656824,0.002274337224662304,1.0,1.0
2016-02-01,-0.006105587598127687,0.000846068374812603,-1.0,1.0
2016-02-02,-0.01055419815469611,-0.0017041359096765518,-1.0,-1.0
2016-02-03,-0.012455670526181104,0.0015161368064582348,-1.0,1.0
2016-02-04,-0.0026893297397152767,-0.001261723693460226,-1.0,-1.0
2016-02-05,-0.017202819822471106,0.0022171949967741966,-1.0,1.0
2016-02-08,-0.001828159763732078,0.00208590948022902,-1.0,1.0
2016-02-09,-0.01940017188237671,0.0011856810888275504,-1.0,1.0
2016-02-10,-0.017882874051502625,0.004461952485144138,-1.0,1.0
2016-02-11,-0.02014451969346195,-0.00027239485643804073,-1.0,-1.0
2016-02-12,0.008683063959545273,0.0007763339672237635,1.0,1.0
2016-02-16,0.035852985604711785,0.004147740546613932,1.0,1.0
2016-02-17,0.008306405824836957,-0.0005568768829107285,1.0,-1.0
2016-02-18,0.0,-0.0037432005628943443,0.0,-1.0
2016-02-19,-0.004606112601875333,0.0007099839858710766,-1.0,1.0
2016-02-22,0.016483870856426767,0.0025237570516765118,1.0,1.0
2016-02-23,-0.016483870856426792,0.0005322280339896679,-1.0,1.0
2016-02-24,0.010105592273042991,0.0009801910491660237,1.0,1.0
2016-02-25,0.011813068417254042,-0.002135041169822216,1.0,-1.0
2016-02-26,-0.000903788038591023,-0.00037883687764406204,-1.0,-1.0
2016-02-29,-0.015490003077450916,0.0014504378195852041,-1.0,1.0
2016-03-01,0.024490969391425935,-0.0011648810468614101,1.0,-1.0
2016-03-02,0.014235115337353103,-0.0021807807497680187,1.0,-1.0
2016-03-03,0.007042349504313963,-0.0015049362555146217,1.0,-1.0
2016-03-04,0.010471309888095536,-0.002263784408569336,1.0,-1.0
2016-03-07,-0.01047130988809555,-0.0044091190211474895,-1.0,-1.0
2016-03-08,-0.009696018614235509,-0.0006151353009045124,-1.0,-1.0
2016-03-09,-0.000886078340290866,0.004056968726217747,-1.0,1.0
2016-03-10,-0.004442525076432706,0.0023180607240647078,-1.0,1.0
2016-03-11,0.026363469822689063,-0.002688317559659481,1.0,-1.0
2016-03-14,0.004327184796779781,-0.00375575665384531,1.0,-1.0
2016-03-15,-0.01303793554893964,-0.0007694738451391459,-1.0,-1.0
2016-03-16,0.0017482353562437284,-0.0014919084496796131,1.0,-1.0
2016-03-17,0.00348737275525566,-0.006310983560979366,1.0,-1.0
2016-03-18,-0.0034873727552555884,-0.002973859664052725,-1.0,-1.0
2016-03-21,0.004357352241883721,-0.002235529012978077,1.0,-1.0
2016-03-22,0.006068381205453132,-0.002394755370914936,1.0,-1.0
2016-03-23,-0.013049211608838821,-0.0011885464191436768,-1.0,-1.0
2016-03-24,-0.006148423131525972,-0.0006651391740888357,-1.0,-1.0
2016-03-28,0.014866878785309361,-0.0009934371337294579,1.0,-1.0
2016-03-29,0.010362774938991843,-0.0015844833105802536,1.0,-1.0
2016-03-30,-0.003442332857831105,-0.0024304846301674843,-1.0,-1.0
2016-03-31,-0.016515063728176526,-0.0026908554136753082,-1.0,-1.0
2016-04-01,-0.024845895962242688,0.0013077121693640947,-1.0,1.0
2016-04-04,0.0,9.159184992313385e-05,0.0,1.0
2016-04-05,-0.02179922651193029,-0.0032401117496192455,-1.0,-1.0
2016-04-06,0.016393791116041872,-0.0008485503494739532,1.0,-1.0
2016-04-07,-0.005434789833870251,-0.0014566024765372276,-1.0,-1.0
2016-04-08,0.028650122260799552,0.0004246770404279232,1.0,1.0
2016-04-11,-0.006197415084518271,-0.0025213207118213177,-1.0,-1.0
2016-04-12,0.02282803566273588,-0.002675930969417095,1.0,-1.0
2016-04-13,0.027398885033851045,-0.003963555209338665,1.0,-1.0
2016-04-14,0.00421410528754862,-0.0014351760037243366,1.0,-1.0
2016-04-15,-0.009294486046640928,-0.005176212638616562,-1.0,-1.0
2016-04-18,0.007611064615524306,-0.00331396097317338,1.0,-1.0
2016-04-19,0.015050370059860508,-0.0013515772297978401,1.0,-1.0
2016-04-20,0.005792286249882718,-0.0032230173237621784,1.0,-1.0
2016-04-21,0.0,-0.001876113936305046,0.0,-1.0
2016-04-22,0.00739834134669913,-0.003891594707965851,1.0,-1.0
2016-04-25,-0.006573480771350716,-0.004282633773982525,-1.0,-1.0
2016-04-26,-0.00413065923134308,-0.0021879449486732483,-1.0,-1.0
2016-04-27,-0.0008281072130970877,-0.00655699148774147,-1.0,-1.0
2016-04-28,-0.04663831933093446,-0.0033487421460449696,-1.0,-1.0
2016-04-29,-0.00871845565378348,0.00040668039582669735,-1.0,1.0
2016-05-02,0.01822163155093852,0.002417332958430052,1.0,1.0
