Date,00631L_ETF_1d_actual_lnrts,00631L_ETF_1d_forecast_lnrts,00631L_ETF_1d_true_label,00631L_ETF_1d_forecast_label
2017-06-01,-0.008886921881314597,-0.013760700821876526,-1.0,-1.0
2017-06-02,0.006388340229374219,-0.015443483367562294,1.0,-1.0
2017-06-03,0.004764614799252407,-0.015581400133669376,1.0,-1.0
2017-06-05,0.0006788098461807407,-0.016444025561213493,1.0,-1.0
2017-06-06,0.0022593773732463586,-0.015292158350348473,1.0,-1.0
2017-06-07,0.00045126354556404905,-0.016242319718003273,1.0,-1.0
2017-06-08,0.0029282597790883597,-0.01725040003657341,1.0,-1.0
2017-06-12,-0.01609829573242707,-0.017729826271533966,-1.0,-1.0
2017-06-13,-0.005730674708984983,-0.01667224057018757,-1.0,-1.0
2017-06-14,0.0039004294028312392,-0.01659790240228176,1.0,-1.0
2017-06-15,-0.0011456067239866464,-0.017012866213917732,-1.0,-1.0
2017-06-19,0.019523889168843952,-0.016919385641813278,1.0,-1.0
2017-06-20,0.0060517947785375965,-0.01583317294716835,1.0,-1.0
2017-06-21,-0.005377561693101439,-0.016034243628382683,-1.0,-1.0
2017-06-22,0.006494256393176546,-0.016455844044685364,1.0,-1.0
2017-06-23,0.0033426214966899284,-0.01577790267765522,1.0,-1.0
2017-06-26,0.023090635571465744,-0.016044797375798225,1.0,-1.0
2017-06-27,0.003038856256512523,-0.016095735132694244,1.0,-1.0
2017-06-29,-0.00216966889192575,-0.015776703134179115,-1.0,-1.0
2017-07-04,-0.007193491510028844,-0.015113642439246178,-1.0,-1.0
2017-07-07,0.0037121999175170717,-0.016400866210460663,1.0,-1.0
2017-07-10,-0.010517187213867692,-0.01618357188999653,-1.0,-1.0
2017-07-11,0.008771986072837041,-0.016287492588162422,1.0,-1.0
2017-07-12,0.01710183470856625,-0.016039231792092323,1.0,-1.0
2017-07-13,-0.000858922105629405,-0.016014453023672104,-1.0,-1.0
2017-07-17,0.005783458339688793,-0.016570787876844406,1.0,-1.0
2017-07-18,0.0023466677435615715,-0.016271289438009262,1.0,-1.0
2017-07-19,0.010176047107700528,-0.017230916768312454,1.0,-1.0
2017-07-20,-0.0004219409345299148,-0.01813972368836403,-1.0,-1.0
2017-07-21,-0.015523969386213083,-0.016783609986305237,-1.0,-1.0
2017-07-25,0.01129473914501216,-0.016913220286369324,1.0,-1.0
2017-07-26,-0.00616433028606246,-0.015679553151130676,-1.0,-1.0
2017-07-27,0.0023426695838055186,-0.016070375218987465,1.0,-1.0
2017-07-28,0.004880646293122445,-0.016569141298532486,1.0,-1.0
2017-07-31,-0.007436558227666653,-0.01512049324810505,-1.0,-1.0
2017-08-01,0.0004264392388715918,-0.015951763838529587,1.0,-1.0
2017-08-02,0.012077697401100668,-0.015904264524579048,1.0,-1.0
2017-08-03,-0.0033755306312811496,-0.015813440084457397,-1.0,-1.0
2017-08-04,0.0016891895908447598,-0.016408175230026245,1.0,-1.0
2017-08-07,0.014036053204838445,-0.01730075292289257,1.0,-1.0
2017-08-08,0.0024932487463720805,-0.017468346282839775,1.0,-1.0
2017-08-09,-0.011268900552030219,-0.018006302416324615,-1.0,-1.0
2017-08-10,-0.015864954647977457,-0.01672239787876606,-1.0,-1.0
2017-08-11,0.006164330286062412,-0.015870271250605583,1.0,-1.0
2017-08-14,-0.00042390844212572776,-0.01736459881067276,-1.0,-1.0
2017-08-15,-0.007020558566653683,-0.016103561967611313,-1.0,-1.0
2017-08-16,0.0025586367903242826,-0.016635311767458916,1.0,-1.0
2017-08-17,0.009747905117418338,-0.01652892865240574,1.0,-1.0
2017-08-22,0.004628663849840002,-0.016211649402976036,1.0,-1.0
2017-08-23,-0.0004199034283827203,-0.017307192087173462,-1.0,-1.0
2017-08-25,0.015213380840586726,-0.015856631100177765,1.0,-1.0
2017-08-28,0.0012401820522996146,-0.01606046035885811,1.0,-1.0
2017-08-29,-0.004139935534071957,-0.01671547442674637,-1.0,-1.0
2017-08-31,0.004139935534071926,-0.016118012368679047,1.0,-1.0
2017-09-01,0.003917126954845237,-0.016116391867399216,1.0,-1.0
2017-09-04,0.004106781952653281,-0.01619468629360199,1.0,-1.0
2017-09-05,-0.003078504227087386,-0.015490931458771229,-1.0,-1.0
2017-09-07,0.001848239565046067,-0.015956444665789604,1.0,-1.0
2017-09-08,-0.0014372243516972492,-0.016712358221411705,-1.0,-1.0
2017-09-13,-0.01074168560122848,-0.015292441472411156,-1.0,-1.0
2017-09-15,-0.003953808084821016,-0.01737155020236969,-1.0,-1.0
2017-09-19,0.0008336807485774087,-0.01690281368792057,1.0,-1.0
2017-09-20,-0.00962954897584312,-0.016576450318098068,-1.0,-1.0
2017-09-22,0.0012612993053265204,-0.01693643443286419,1.0,-1.0
2017-09-25,-0.021232220105774167,-0.015824567526578903,-1.0,-1.0
2017-09-26,0.01067245989077198,-0.016772616654634476,1.0,-1.0
2017-09-27,0.0006367399132675264,-0.0161435529589653,1.0,-1.0
2017-09-28,-0.004678868595272954,-0.01576295495033264,-1.0,-1.0
2017-09-29,-0.021765755273867093,-0.016098374500870705,-1.0,-1.0
2017-10-02,0.019631738245479813,-0.016022909432649612,1.0,-1.0
2017-10-03,0.003837957802745034,-0.015148203819990158,1.0,-1.0
2017-10-05,0.0010634904756471413,-0.015962675213813782,1.0,-1.0
2017-10-06,-0.007040029076354787,-0.015582325868308544,-1.0,-1.0
2017-10-11,0.020134197156579277,-0.016009189188480377,1.0,-1.0
2017-10-12,-0.0018901612264058856,-0.0165270883589983,-1.0,-1.0
2017-10-13,-0.002736555754720135,-0.016223520040512085,-1.0,-1.0
2017-10-17,0.008814327790757264,-0.016629524528980255,1.0,-1.0
2017-10-18,-0.003558350170094359,-0.016492025926709175,-1.0,-1.0
2017-10-19,-0.003360641684214864,-0.015441473573446274,-1.0,-1.0
2017-10-20,-0.002738861924887339,-0.01605912484228611,-1.0,-1.0
2017-10-24,-0.005712487765391249,-0.015801988542079926,-1.0,-1.0
2017-10-26,0.007819970104955914,-0.01596735790371895,1.0,-1.0
2017-10-27,0.0027331037721734885,-0.017152277752757072,1.0,-1.0
2017-10-30,-0.0025225996139391924,-0.016352877020835876,-1.0,-1.0
2017-10-31,-0.0037958712806733883,-0.01669354923069477,-1.0,-1.0
2017-11-02,0.004847727904424528,-0.016027748584747314,1.0,-1.0
2017-11-03,0.005033567674829123,-0.01589653268456459,1.0,-1.0
2017-11-06,0.0016722411923621328,-0.016095943748950958,1.0,-1.0
2017-11-07,-0.0014630580517604398,-0.01660785637795925,-1.0,-1.0
2017-11-08,-0.0016746916202069523,-0.01595776528120041,-1.0,-1.0
2017-11-09,-0.005672880010187653,-0.01632767543196678,-1.0,-1.0
2017-11-10,-0.010804045353345513,-0.01577066443860531,-1.0,-1.0
2017-11-14,-0.005124931140255351,-0.015276648104190826,-1.0,-1.0
2017-11-15,-0.002357733382416422,-0.01556720957159996,-1.0,-1.0
2017-11-17,-0.0004292766754052846,-0.01462814025580883,-1.0,-1.0
2017-11-21,0.0036429912785010087,-0.017331037670373917,1.0,-1.0
2017-11-22,-0.0012842467518504044,-0.016762111335992813,-1.0,-1.0
2017-11-23,0.00619197024792098,-0.016636023297905922,1.0,-1.0
2017-11-28,-0.006406171812411404,-0.016206232830882072,-1.0,-1.0
2017-11-29,0.0019261643194396544,-0.016350746154785156,1.0,-1.0
