Date,00632R_ETF_1d_actual_lnrts,00632R_ETF_1d_forecast_lnrts,00632R_ETF_1d_true_label,00632R_ETF_1d_forecast_label
2015-08-19,-0.022840604316256514,0.00047552172327414155,-1.0,1.0
2015-08-20,-0.00034488705290991234,-0.0012375875376164913,-1.0,-1.0
2015-08-21,-0.03153730181741183,-0.0013649086467921734,-1.0,-1.0
2015-08-24,-0.04738495755963497,-0.002783872652798891,-1.0,-1.0
2015-08-25,0.048807938945248125,6.32978044450283e-05,1.0,1.0
2015-08-26,0.0003554291844776451,0.0012386419111862779,1.0,1.0
2015-08-27,0.014464884415776168,-0.0009978238958865404,1.0,-1.0
2015-08-28,0.023880698779558358,0.006396339274942875,1.0,1.0
2015-08-31,0.024659246446994017,0.006688734050840139,1.0,1.0
2015-09-01,-0.029458707151124912,0.008601881563663483,-1.0,1.0
2015-09-02,0.003088010688576545,0.011184649541974068,1.0,1.0
2015-09-03,0.00954661188357991,0.00714869936928153,1.0,1.0
2015-09-04,-0.014354313451683054,0.009765241295099258,-1.0,1.0
2015-09-07,-0.004139364309876556,0.010637408122420311,-1.0,1.0
2015-09-08,0.0017268179044926783,0.010548749007284641,1.0,1.0
2015-09-09,0.04024211627843337,0.013430534861981869,1.0,1.0
2015-09-10,-0.006651171842397971,0.01061583124101162,-1.0,1.0
2015-09-11,0.005988041844622693,0.007720096968114376,1.0,1.0
2015-09-14,0.00033161996656093953,0.007759678177535534,1.0,1.0
2015-09-15,-0.008658062743114654,0.006979499477893114,-1.0,1.0
2015-09-16,0.011968227963569285,0.009775731712579727,1.0,1.0
2015-09-17,0.013784268138845483,0.007363358978182077,1.0,1.0
2015-09-18,0.0,0.0037137095350772142,0.0,1.0
2015-09-21,-0.02241359483690001,0.006894528400152922,-1.0,1.0
2015-09-22,0.0069756137364253585,0.010585997253656387,1.0,1.0
2015-09-23,-0.024121772571395795,0.008300403133034706,-1.0,1.0
2015-09-24,-0.0074881221233903585,0.006742502562701702,-1.0,1.0
2015-09-25,0.0023886720110411824,0.014581514522433281,1.0,1.0
2015-09-30,0.0047602946063001195,0.0129076037555933,1.0,1.0
2015-10-01,0.01748531434101955,0.010562374256551266,1.0,1.0
2015-10-05,0.004987541511038968,0.006824338808655739,1.0,1.0
2015-10-06,0.0062820507471918665,0.01020493358373642,1.0,1.0
2015-10-07,0.009512946924297555,0.010965924710035324,1.0,1.0
2015-10-12,0.018117609775028135,0.011957007460296154,1.0,1.0
2015-10-13,-0.008370943922733666,0.007341263350099325,-1.0,1.0
2015-10-14,-0.005186397363027775,0.0074357157573103905,-1.0,1.0
2015-10-15,0.010667629851238009,0.009224183857440948,1.0,1.0
2015-10-16,-0.00096509578023245,0.010238747112452984,-1.0,1.0
2015-10-19,0.0025715218285059854,0.012446505948901176,1.0,1.0
2015-10-20,0.0016038495819746207,0.013639737851917744,1.0,1.0
2015-10-21,-0.006753523015779778,0.011425280012190342,-1.0,1.0
2015-10-22,0.0,0.01714950241148472,0.0,1.0
2015-10-23,0.008994599670092989,0.009386020712554455,1.0,1.0
2015-10-26,0.008597410065142481,0.010894610546529293,1.0,1.0
2015-10-27,-0.01985335781567107,0.01120705809444189,-1.0,1.0
2015-10-28,-0.002266473367824422,0.006818276364356279,-1.0,1.0
2015-10-29,-0.0051998817197520305,0.009470612742006779,-1.0,1.0
2015-10-30,0.0003257859615065166,0.012093689292669296,1.0,1.0
2015-11-02,-0.0035894964303394058,0.009683113545179367,-1.0,1.0
2015-11-03,0.018141087070650003,0.010174507275223732,1.0,1.0
2015-11-04,0.02441852734814601,0.00835424941033125,1.0,1.0
2015-11-06,-0.016424879667400416,0.005768049042671919,-1.0,1.0
2015-11-09,-0.004788516731797121,0.012605806812644005,-1.0,1.0
2015-11-10,-0.015804231544967195,0.010701596736907959,-1.0,1.0
2015-11-11,-0.01506743212211979,0.00783759355545044,-1.0,1.0
2015-11-12,0.0009896091851662818,0.007455135695636272,1.0,1.0
2015-11-13,-0.010273495495173852,0.0006300971726886928,-1.0,1.0
2015-11-16,-0.009370885173306866,-0.0008102220017462969,-1.0,-1.0
2015-11-17,0.020633011495420295,0.0007815265562385321,1.0,1.0
2015-11-18,-0.016606160416384904,0.005492490716278553,-1.0,1.0
2015-11-19,0.008005379643785851,0.004779714159667492,1.0,1.0
2015-11-20,0.004971012722020402,0.009880108758807182,1.0,1.0
2015-11-23,0.0056041023542964235,0.00997148547321558,1.0,1.0
2015-11-24,-0.039220713153281385,0.004988284781575203,-1.0,1.0
2015-11-25,-0.013423020332140661,0.003190400078892708,-1.0,1.0
2015-11-26,0.01921816182756672,0.004330061376094818,1.0,1.0
2015-11-27,-0.009906144201948353,0.005577415693551302,-1.0,1.0
2015-11-30,-0.015568555239923598,-0.001498509431257844,-1.0,-1.0
2015-12-01,0.016940768148210553,0.004151319153606892,1.0,1.0
2015-12-02,0.004787970843170806,0.005036268848925829,1.0,1.0
2015-12-03,-0.0003412386997793317,0.005360500421375036,-1.0,1.0
2015-12-04,-0.009946917889708919,0.0012692633317783475,-1.0,1.0
2015-12-07,0.015732198616290653,0.000742181611713022,1.0,1.0
2015-12-08,-0.020916243403878466,0.005108380224555731,-1.0,1.0
2015-12-09,-0.005559430580149426,0.004144525621086359,-1.0,1.0
2015-12-10,-0.003490404939768491,0.006040842272341251,-1.0,1.0
2015-12-11,-0.015504186535965312,0.0015309827867895365,-1.0,1.0
2015-12-14,-0.016109172414954614,0.002608307171612978,-1.0,1.0
2015-12-15,0.009339148338981154,0.006232090760022402,1.0,1.0
2015-12-16,0.009606905411172876,0.0018873326480388641,1.0,1.0
2015-12-17,0.01056719942364897,-0.0003002191660925746,1.0,-1.0
2015-12-18,0.0027991620796145524,0.003528034780174494,1.0,1.0
2015-12-21,-0.007364578262208355,0.005527405068278313,-1.0,1.0
2015-12-28,0.013286908757987938,0.007334296591579914,1.0,1.0
2015-12-30,-0.0041768247288059505,0.01027290616184473,-1.0,1.0
2016-01-05,-0.029736704357479132,0.004940698388963938,-1.0,1.0
2016-01-06,-0.01849554083521002,0.005514439195394516,-1.0,1.0
2016-01-07,-0.014378127879081739,0.006896681152284145,-1.0,1.0
2016-01-08,-0.006332671563479738,0.007364728022366762,-1.0,1.0
2016-01-11,-0.011274076573218108,0.004482508637011051,-1.0,1.0
2016-01-12,0.00037785755220026294,0.011397646740078926,1.0,1.0
2016-01-13,0.011643324024016638,0.014601021073758602,1.0,1.0
2016-01-14,-0.014291330110756065,0.01395602896809578,-1.0,1.0
2016-01-18,0.012796561521526695,0.00732839573174715,1.0,1.0
2016-01-19,0.006708933102730061,0.0071384496986866,1.0,1.0
2016-01-20,-0.012710451491427964,0.008854618296027184,-1.0,1.0
2016-01-21,-0.009450079776881207,0.008221829310059547,-1.0,1.0
2016-01-22,0.003790755107979828,0.009011018089950085,1.0,1.0
2016-01-25,0.02281752255856541,0.010467609390616417,1.0,1.0
2016-01-27,-0.0014803851704342195,0.012022762559354305,-1.0,1.0
2016-01-29,0.024873264745139755,0.00926157832145691,1.0,1.0
2016-02-02,0.009349223079347,0.017493391409516335,1.0,1.0
2016-02-03,-0.0028673854771562026,0.020506473258137703,-1.0,1.0
2016-02-15,-0.0003590019783665753,0.023858297616243362,-1.0,1.0
2016-02-16,0.013552275892104901,0.023640569299459457,1.0,1.0
2016-02-17,0.006003902901762386,0.0227524247020483,1.0,1.0
2016-02-22,0.015027366483150385,0.022087251767516136,1.0,1.0
2016-03-03,0.02635784967970397,0.019291315227746964,1.0,1.0
2016-03-07,0.0,0.011762954294681549,0.0,1.0
2016-03-08,-0.0037231385028299144,0.01432819850742817,-1.0,1.0
2016-03-09,0.005410902616549558,0.009840895421802998,1.0,1.0
2016-03-11,0.009733253547747844,0.008160539902746677,1.0,1.0
2016-03-14,0.0033344479044516632,0.009534012526273727,1.0,1.0
2016-03-15,-0.0026666682469152284,0.005836792755872011,-1.0,1.0
2016-03-16,0.0023337233462200966,0.0066256714053452015,1.0,1.0
2016-03-17,0.01618532442101735,0.010922129265964031,1.0,1.0
2016-03-18,-0.009878249571662815,0.010112971067428589,-1.0,1.0
2016-03-21,0.00528054032303335,0.005161701235920191,1.0,1.0
2016-03-28,-0.015591624525770132,0.0004702313453890383,-1.0,1.0
2016-03-30,0.006000018000097201,0.005264835897833109,1.0,1.0
2016-04-01,-0.003996009313382087,0.004819762427359819,-1.0,1.0
2016-04-06,-0.022609365305550157,0.0031794931273907423,-1.0,1.0
2016-04-07,-0.004103972928382051,0.0011529556941241026,-1.0,1.0
2016-04-08,-0.006532600161075451,0.003296253038570285,-1.0,1.0
2016-04-11,0.012000829781271666,0.0025600269436836243,1.0,1.0
2016-04-12,0.009498036124817134,0.0010799119481816888,1.0,1.0
2016-04-13,0.0033704110099055723,-0.0010447553358972073,1.0,-1.0
2016-04-14,0.0026881736618003956,-0.0008660631719976664,1.0,-1.0
2016-04-18,-0.0016792615197200253,8.353800512850285e-05,-1.0,1.0
2016-04-19,-0.0006724949816324287,-0.0012652617879211903,-1.0,-1.0
2016-04-20,-0.01798792773577034,-0.00018813833594322205,-1.0,-1.0
2016-04-21,0.003077451565406047,0.0003564688377082348,1.0,1.0
2016-04-25,0.002046385434463331,0.0012692108284682035,1.0,1.0
