Date,011_EWW_1d_actual_lnrts,011_EWW_1d_forecast_lnrts,011_EWW_1d_true_label,011_EWW_1d_forecast_label
2016-01-06,-0.020653407748151196,-0.0038560256361961365,-1.0,-1.0
2016-01-07,-0.03980511652525606,-0.0012678392231464386,-1.0,-1.0
2016-01-08,-0.0148766815558497,0.0031571113504469395,-1.0,1.0
2016-01-11,0.014007638946295711,0.002871275879442692,1.0,1.0
2016-01-12,0.006283265095236729,-0.003704552073031664,1.0,-1.0
2016-01-13,-0.0062832650952368094,0.002413897542282939,-1.0,1.0
2016-01-14,0.009732940478395503,0.005697070155292749,1.0,1.0
2016-01-15,-0.03660672989452747,0.003449980868026614,-1.0,1.0
2016-01-19,0.0028981418356160706,0.0041147256270051,1.0,1.0
2016-01-20,-0.012770442136215494,0.0034920901525765657,-1.0,1.0
2016-01-21,-0.004746217799133801,0.001635740976780653,-1.0,1.0
2016-01-22,0.03012613990115599,0.006064652465283871,1.0,1.0
2016-01-25,-0.01931038213916791,-0.0011502974666655064,-1.0,-1.0
2016-01-26,0.024353712787745178,-0.005403060931712389,1.0,-1.0
2016-01-27,-0.0019704932325104478,-0.001788752619177103,-1.0,-1.0
2016-01-28,0.018671839421548653,-0.002689311746507883,1.0,-1.0
2016-01-29,0.040055950702107344,-0.0017820433713495731,1.0,-1.0
2016-02-01,-0.0055953232821464634,0.004907773807644844,-1.0,1.0
2016-02-02,-0.02931150984368567,0.0008086415473371744,-1.0,1.0
2016-02-03,0.02305761701488162,-0.0010396153666079044,1.0,-1.0
2016-02-04,0.009987549357460032,0.0006179445190355182,1.0,1.0
2016-02-05,-0.024946115783943144,-0.002613503485918045,-1.0,-1.0
2016-02-08,-0.021238686394433756,-0.0010658258106559515,-1.0,-1.0
2016-02-09,-0.017277522080942208,0.005732126999646425,-1.0,1.0
2016-02-10,0.00044087336604786297,0.006989133078604937,1.0,1.0
2016-02-11,-0.02681716445424589,0.003073330968618393,-1.0,1.0
2016-02-12,0.023282836038057954,0.001666048658080399,1.0,1.0
2016-02-16,0.01798298613793615,0.0023982387501746416,1.0,1.0
2016-02-17,0.03732969793613375,-0.0012603269424289465,1.0,-1.0
2016-02-18,0.0018826744817837383,-0.0025765332393348217,1.0,-1.0
2016-02-19,-0.0008362517366259716,-0.00194088788703084,-1.0,-1.0
2016-02-22,0.01721135566491754,-0.005769139621406794,1.0,-1.0
2016-02-23,-0.018886110702872654,0.0011218910804018378,-1.0,1.0
2016-02-24,0.0016747550379549714,-0.004642818588763475,1.0,-1.0
2016-02-25,0.011231359645090673,-0.007187987212091684,1.0,-1.0
2016-02-26,-0.010395107908464844,-0.002228135708719492,-1.0,-1.0
2016-02-29,0.013080210122897326,0.0006352933123707771,1.0,1.0
2016-03-01,0.028869714969617346,-0.010501042008399963,1.0,-1.0
2016-03-02,0.014918232937440953,-0.009371910244226456,1.0,-1.0
2016-03-03,-0.00435302213602732,-0.0023883949033915997,-1.0,-1.0
2016-03-04,0.01104341255149177,-0.007892932742834091,1.0,-1.0
2016-03-07,0.007424673628791077,-0.00649287598207593,1.0,-1.0
2016-03-08,-0.02523285857742499,-0.003432207740843296,-1.0,-1.0
2016-03-09,0.011907175235590532,0.0003917792346328497,1.0,1.0
2016-03-10,-0.006134372438945846,-0.00781096750870347,-1.0,-1.0
2016-03-11,0.017511568495830732,-0.007126589771360159,1.0,-1.0
2016-03-14,-0.007439370129861781,-0.0062590898014605045,-1.0,-1.0
2016-03-15,-0.016444179049902592,-0.0060184733010828495,-1.0,-1.0
2016-03-16,0.026610357579932672,-0.00728043494746089,1.0,-1.0
2016-03-17,0.02800345437017118,-0.0034382869489490986,1.0,-1.0
2016-03-18,0.0022671640736484132,-0.003020476084202528,1.0,-1.0
2016-03-21,0.0003773097703368541,-0.0036907726898789406,1.0,-1.0
2016-03-22,0.0032018521639198016,-0.004799324553459883,1.0,-1.0
2016-03-23,-0.01344079367843508,-0.0036670956760644913,-1.0,-1.0
2016-03-24,-0.002480683716841921,-0.0062019904144108295,-1.0,-1.0
2016-03-28,0.010831398692862655,-0.007534967269748449,1.0,-1.0
2016-03-29,0.01407549328178669,-0.007661564741283655,1.0,-1.0
2016-03-30,0.008535981167552498,-0.005111985839903355,1.0,-1.0
2016-03-31,-0.007790863408870628,-0.012098141014575958,-1.0,-1.0
2016-04-01,-0.00037238420693440447,-0.009935948997735977,-1.0,-1.0
2016-04-04,-0.01350374549200338,-0.0067355879582464695,-1.0,-1.0
2016-04-05,-0.025821399450540305,-0.01178736612200737,-1.0,-1.0
2016-04-06,0.008489357212770974,-0.011506572365760803,1.0,-1.0
2016-04-07,-0.021360031304801262,-0.005829725880175829,-1.0,-1.0
2016-04-08,0.005285292546599714,-0.0044438536278903484,1.0,-1.0
2016-04-11,0.006034092721686058,-0.004259608685970306,1.0,-1.0
2016-04-12,0.019981537492853012,0.00037397071719169617,1.0,1.0
2016-04-13,0.006446669439901313,-0.0034962003119289875,1.0,-1.0
2016-04-14,0.002076895876504946,-0.001490631140768528,1.0,-1.0
2016-04-15,-0.01004658207139387,-0.011153511703014374,-1.0,-1.0
2016-04-18,-0.0015252418524239727,-0.005894224625080824,-1.0,-1.0
2016-04-19,0.02691934533553749,-0.004954311531037092,1.0,-1.0
2016-04-20,-0.0014870644618272244,-0.005746761802583933,-1.0,-1.0
2016-04-21,-0.0151816187858148,-0.0030748709104955196,-1.0,-1.0
2016-04-22,0.0015096405842418047,-0.010735580697655678,1.0,-1.0
2016-04-25,-0.009473340732563023,-0.005554594565182924,-1.0,-1.0
2016-04-26,0.015114696073840493,-0.004747260361909866,1.0,-1.0
2016-04-27,0.013595511296327838,-0.008610418066382408,1.0,-1.0
2016-04-28,-0.012283853416006713,-0.004369939211755991,-1.0,-1.0
2016-04-29,0.011913873455773005,-0.0030900780111551285,1.0,-1.0
2016-05-02,-0.0011110283781446875,-0.009503569453954697,-1.0,-1.0
2016-05-03,-0.027800380875621034,-0.009025592356920242,-1.0,-1.0
2016-05-04,-0.015935831052016007,-0.005313767585903406,-1.0,-1.0
2016-05-05,-0.008747320650854602,-0.006153965834528208,-1.0,-1.0
2016-05-06,0.0031189089426486042,-0.0007410242687910795,1.0,-1.0
2016-05-09,-0.01866271825937153,-0.006453085225075483,-1.0,-1.0
2016-05-10,0.021577902038408932,-0.00965413823723793,1.0,-1.0
2016-05-11,-0.004278384494287781,-0.006582216825336218,-1.0,-1.0
2016-05-12,0.00369603518608922,-0.0010816988069564104,1.0,-1.0
2016-05-13,-0.01743259581525117,-0.006252263206988573,-1.0,-1.0
2016-05-16,0.0068918566853546585,-0.004280243068933487,1.0,-1.0
2016-05-17,-0.003144715133545309,-0.00596649432554841,-1.0,-1.0
2016-05-18,-0.015673415428529024,-0.003956269007176161,-1.0,-1.0
2016-05-19,-0.01045220482633756,-0.003472839016467333,-1.0,-1.0
2016-05-20,0.009451961809770936,-0.0015595415607094765,1.0,-1.0
2016-05-23,-0.009048077348279879,0.0003377506509423256,-1.0,1.0
2016-05-24,0.006643309384872697,0.0037528546527028084,1.0,1.0
2016-05-25,0.006798590045876746,-0.00468869972974062,1.0,-1.0
2016-05-26,0.006752762509941641,-0.011861992999911308,1.0,-1.0
2016-05-27,0.0005936222030471694,-0.003478742204606533,1.0,-1.0
2016-05-31,-0.0133427701855068,-0.004838028457015753,-1.0,-1.0
