Date,017_EWO_1d_actual_lnrts,017_EWO_1d_forecast_lnrts,017_EWO_1d_true_label,017_EWO_1d_forecast_label
2016-01-06,-0.013021033565651905,0.001159844221547246,-1.0,1.0
2016-01-07,-0.014521691250314855,0.0021440708078444004,-1.0,1.0
2016-01-08,-0.02286588871104772,-0.0017730658873915672,-1.0,-1.0
2016-01-11,-0.004773267277202626,0.0055718328803777695,-1.0,1.0
2016-01-12,0.01087700557308349,0.0018457822734490037,1.0,1.0
2016-01-13,-0.023949086207833516,0.004377682693302631,-1.0,1.0
2016-01-14,0.008275991175618239,0.005969675723463297,1.0,1.0
2016-01-15,-0.033522806959513214,0.009419982321560383,-1.0,1.0
2016-01-19,-0.0035574059081175838,0.003444718662649393,-1.0,1.0
2016-01-20,-0.02599427695382143,0.0023730057291686535,-1.0,1.0
2016-01-21,0.01091316304795472,0.005512969568371773,1.0,1.0
2016-01-22,0.019348514334063784,0.002648449270054698,1.0,1.0
2016-01-25,-0.0028428600461042207,0.0025797374546527863,-1.0,1.0
2016-01-26,0.015537091100570584,0.004851828329265118,1.0,1.0
2016-01-27,-0.016249181483519535,0.0004782336764037609,-1.0,1.0
2016-01-28,0.010627161433959888,0.004270881414413452,1.0,1.0
2016-01-29,0.006322419222894241,0.005103419069200754,1.0,1.0
2016-02-01,-0.005617926643890321,-0.00015433217049576342,-1.0,-1.0
2016-02-02,-0.009908127461434681,0.0023471766617149115,-1.0,1.0
2016-02-03,0.009908127461434676,6.444324390031397e-05,1.0,1.0
2016-02-04,0.011204540634258214,0.004872787743806839,1.0,1.0
2016-02-05,-0.0006965681246309401,-0.0016075940802693367,-1.0,-1.0
2016-02-08,-0.03835698598197407,0.00205895840190351,-1.0,1.0
2016-02-09,-0.01974470587077774,0.002164721256121993,-1.0,1.0
2016-02-10,0.0036859081016403514,0.0012605056399479508,1.0,1.0
2016-02-11,-0.004424830137313604,0.0006260452792048454,-1.0,1.0
2016-02-12,0.021930770491834412,0.00424455339089036,1.0,1.0
2016-02-16,0.01862516730305257,0.0016831918619573116,1.0,1.0
2016-02-17,0.03212567337189618,0.0033804706763476133,1.0,1.0
2016-02-18,-0.026464011383610663,0.001076079672202468,-1.0,1.0
2016-02-19,0.008433094889770357,0.002860261593014002,1.0,1.0
2016-02-22,0.015966947439423177,0.005543396342545748,1.0,1.0
2016-02-23,-0.017367473263012728,0.0006373453070409596,-1.0,1.0
2016-02-24,0.000700399173334763,0.001161486143246293,1.0,1.0
2016-02-25,0.0013996184392193575,-0.0015461011789739132,1.0,-1.0
2016-02-26,-0.004204673038373646,-0.003358234418556094,-1.0,-1.0
2016-02-29,-0.0070471447841918885,-0.00042907919851131737,-1.0,-1.0
2016-03-01,0.023069854024083482,-0.00291190086863935,1.0,-1.0
2016-03-02,0.0034494194489409027,-0.007303792983293533,1.0,-1.0
2016-03-03,0.013000594689518837,-0.001767868408933282,1.0,-1.0
2016-03-04,0.0027154811689160912,0.002834972692653537,1.0,1.0
2016-03-07,0.0020318879572742165,0.004180005751550198,1.0,1.0
2016-03-08,0.0020276277262468736,-0.0010286765173077583,1.0,-1.0
2016-03-09,0.0006750099663483531,0.0019954596646130085,1.0,1.0
2016-03-10,0.015400373883955034,0.0007154963095672429,1.0,1.0
2016-03-11,0.02623097847937535,-0.0012703565880656242,1.0,-1.0
2016-03-14,0.007094574758439047,-0.005873612593859434,1.0,-1.0
2016-03-15,-0.007094574758438979,-0.0012823394499719143,-1.0,-1.0
2016-03-16,0.00966190703965928,-0.004211087245494127,1.0,-1.0
2016-03-17,0.00829883028191239,-0.004380552098155022,1.0,-1.0
2016-03-18,0.007599793110108067,-0.0033260309137403965,1.0,-1.0
2016-03-21,-0.006964249894020195,-0.0034657353535294533,-1.0,-1.0
2016-03-22,-0.007653108446980071,-0.0017683757469058037,-1.0,-1.0
2016-03-23,-0.018088304503901604,-0.002352275187149644,-1.0,-1.0
2016-03-24,-0.009826474614304284,-0.004559321794658899,-1.0,-1.0
2016-03-28,0.003942157349266401,0.0009543199557811022,1.0,1.0
2016-03-29,0.009788069284740545,0.001887971768155694,1.0,1.0
2016-03-30,0.019293193070474876,0.0011535072699189186,1.0,1.0
2016-03-31,0.0012730432197205288,-0.0016405070200562477,1.0,-1.0
2016-04-01,0.0038094346134075058,-0.004801394883543253,1.0,-1.0
2016-04-04,-0.007633502745741445,-0.005243300460278988,-1.0,-1.0
2016-04-05,-0.01674216815786146,-0.006103762425482273,-1.0,-1.0
2016-04-06,0.016103310975751135,-0.0008390332804992795,1.0,-1.0
