Date,018_EWN_1d_actual_lnrts,018_EWN_1d_forecast_lnrts,018_EWN_1d_true_label,018_EWN_1d_forecast_label
2016-01-06,-0.017730169232574037,-0.0016678364481776953,-1.0,-1.0
2016-01-07,-0.012733408399921112,-0.002246925374493003,-1.0,-1.0
2016-01-08,-0.010662071339240275,-0.0018637480679899454,-1.0,-1.0
2016-01-11,0.007120617519887964,0.001029226346872747,1.0,1.0
2016-01-12,0.016274862219273534,-0.0022969620767980814,1.0,-1.0
2016-01-13,-0.02027389651311369,-0.0018965762574225664,-1.0,-1.0
2016-01-14,0.0119496722564078,-0.0006736319046467543,1.0,-1.0
2016-01-15,-0.03264321480903784,-0.00031430087983608246,-1.0,-1.0
2016-01-19,0.009049941567422665,-0.0010169369634240866,1.0,-1.0
2016-01-20,-0.009959532368693225,0.00013931561261415482,-1.0,1.0
2016-01-21,0.014005354002299169,0.0021842631977051497,1.0,1.0
2016-01-22,0.024812837989982895,-0.00048753106966614723,1.0,-1.0
2016-01-25,-0.013659485408277277,-0.0026663958560675383,-1.0,-1.0
2016-01-26,0.018026356139170804,-0.0006779807154089212,1.0,-1.0
2016-01-27,-0.008313297660761772,-0.002079074503853917,-1.0,-1.0
2016-01-28,0.004383964033930451,0.00193902722094208,1.0,1.0
2016-01-29,0.022064606113510715,0.0009834025986492634,1.0,1.0
2016-02-01,0.0012828621736761924,-0.002593309385702014,1.0,-1.0
2016-02-02,-0.025098720934270947,-0.0004213331267237663,-1.0,-1.0
2016-02-03,0.015220992358072226,-0.0006099329330027103,1.0,-1.0
2016-02-04,0.00430668948595925,0.001166310510598123,1.0,1.0
2016-02-05,-0.019527681844031468,-0.0016049768310040236,-1.0,-1.0
2016-02-08,-0.030703190988804287,0.0006529421079903841,-1.0,1.0
2016-02-09,-0.007711609649835628,0.0008000874659046531,-1.0,1.0
2016-02-10,-0.007771254661259868,-0.0007663434371352196,-1.0,-1.0
2016-02-11,-0.010611546348624287,-0.0030693744774907827,-1.0,-1.0
2016-02-12,0.0073937304578202126,0.0005712076090276241,1.0,1.0
2016-02-16,0.024557959455535752,-0.0003430456854403019,1.0,-1.0
2016-02-17,0.018692101864139898,-0.0023244929034262896,1.0,-1.0
2016-02-18,-0.00619195999422734,-0.003215742064639926,-1.0,-1.0
2016-02-19,0.0,-0.0005864093545824289,0.0,-1.0
2016-02-22,0.01103028056773786,0.0010734106181189418,1.0,1.0
2016-02-23,-0.01147403070063914,0.00015122490003705025,-1.0,1.0
2016-02-24,-0.0008880914456064158,-0.0004096576012670994,-1.0,-1.0
2016-02-25,0.009725940604811328,-0.004980801604688168,1.0,-1.0
2016-02-26,0.0,-0.0029604944866150618,0.0,-1.0
2016-02-29,0.00043984647391294917,-0.001334392698481679,1.0,-1.0
2016-03-01,0.03457570338816886,-0.0033649669494479895,1.0,-1.0
2016-03-02,-0.006820305620118525,-0.00585255678743124,-1.0,-1.0
2016-03-03,0.005119551991651245,0.0003540052566677332,1.0,1.0
2016-03-04,0.006362680220767948,0.0006310378666967154,1.0,1.0
2016-03-07,-0.0021163396443082618,-0.0017345172818750143,-1.0,-1.0
2016-03-08,-0.006376247489677047,0.00043184496462345123,-1.0,1.0
2016-03-09,0.004679821441342996,0.0012558751041069627,1.0,1.0
2016-03-10,0.006768198150085068,-0.00017972919158637524,1.0,-1.0
2016-03-11,0.024569251677911613,-0.003252631751820445,1.0,-1.0
2016-03-14,-0.0032962664772381543,-0.0019087225664407015,-1.0,-1.0
2016-03-15,-0.001238890438328798,-0.0018581843469291925,-1.0,-1.0
2016-03-16,0.010686400706652261,-0.002539386274293065,1.0,-1.0
2016-03-17,0.005300805423361307,-0.0029967708978801966,1.0,-1.0
2016-03-18,0.0016253412050131184,-0.002426910912618041,1.0,-1.0
2016-03-21,-0.0036606973276988464,-0.002182346535846591,-1.0,-1.0
2016-03-22,-0.0036742748952197815,-0.0019774537067860365,-1.0,-1.0
2016-03-23,-0.003687782299049506,-0.0018112233374267817,-1.0,-1.0
2016-03-24,-0.007003097605086629,-0.0029857356566935778,-1.0,-1.0
2016-03-28,0.0053597267481712485,-0.0007462126668542624,1.0,-1.0
2016-03-29,0.01347780640335966,0.0007770926458761096,1.0,1.0
2016-03-30,0.009689254183960189,-0.002563893562182784,1.0,-1.0
2016-03-31,-0.011719693382547898,-0.005534647963941097,-1.0,-1.0
2016-04-01,-0.004481573804146736,-0.0030979143921285868,-1.0,-1.0
2016-04-04,0.0,-0.003102693008258939,0.0,-1.0
2016-04-05,-0.016468033658788017,-0.004687967710196972,-1.0,-1.0
2016-04-06,0.011145611115078292,-0.003191516036167741,1.0,-1.0
2016-04-07,-0.01405558466871366,-0.0005279544275254011,-1.0,-1.0
2016-04-08,0.011589428922761618,-0.000577833503484726,1.0,-1.0
2016-04-11,0.0012338808602087772,-0.00413696002215147,1.0,-1.0
2016-04-12,0.00859433208001249,0.0003621277865022421,1.0,1.0
2016-04-13,0.009328635635141698,-0.003100709756836295,1.0,-1.0
2016-04-14,-0.0016161054468586994,-0.0016844060737639666,-1.0,-1.0
2016-04-15,0.0024233685921973436,-0.0024960108567029238,1.0,-1.0
2016-04-18,0.005631542081180922,-0.002262613968923688,1.0,-1.0
2016-04-19,0.017101241870869935,-0.0036668095272034407,1.0,-1.0
2016-04-20,-0.008315281062090377,-0.0008685674984008074,-1.0,-1.0
2016-04-21,-0.011597788489114464,-0.0005390250589698553,-1.0,-1.0
2016-04-22,-0.003223264514294278,-0.0019699663389474154,-1.0,-1.0
2016-04-25,-0.004448947582179783,-0.0035898343194276094,-1.0,-1.0
2016-04-26,0.0024291291034307322,-0.0019125340040773153,1.0,-1.0
2016-04-27,0.007252266210737809,-0.0032684251200407743,1.0,-1.0
2016-04-28,-0.004022537140624344,-0.0034419752191752195,-1.0,-1.0
2016-04-29,-0.0036341743732222795,-0.0011980801355093718,-1.0,-1.0
2016-05-02,0.010062464861408528,-0.0035388485994189978,1.0,-1.0
2016-05-03,-0.01655597786372347,-0.0024077470880001783,-1.0,-1.0
2016-05-04,-0.009819999934043876,-0.003058918984606862,-1.0,-1.0
2016-05-05,-0.00412032448190455,-0.0009027440100908279,-1.0,-1.0
2016-05-06,0.00576369533882004,-0.0018781933467835188,1.0,-1.0
2016-05-09,0.0004105064348302579,-0.0029705215711146593,1.0,-1.0
2016-05-10,0.010206244868125373,-0.004478290677070618,1.0,-1.0
2016-05-11,-0.0052943287592457896,-0.0009985615033656359,-1.0,-1.0
2016-05-12,-0.00820009628722379,-0.0011640072334557772,-1.0,-1.0
2016-05-13,-0.011177910925199652,-0.0037333073560148478,-1.0,-1.0
2016-05-16,0.01200094877122204,-0.0030706662219017744,1.0,-1.0
2016-05-17,-0.013667687398177968,-0.0028143173549324274,-1.0,-1.0
2016-05-18,0.0037461548820556445,0.000878766062669456,1.0,1.0
2016-05-19,-0.005833340250708057,-0.0026099521201103926,-1.0,-1.0
2016-05-20,0.010806411059235322,-0.0032569284085184336,1.0,-1.0
2016-05-23,-0.00041347568351190697,-0.0027548179496079683,-1.0,-1.0
2016-05-24,0.018845250676063054,-0.0015855988021939993,1.0,-1.0
2016-05-25,0.008486663101450395,-0.0028902168851345778,1.0,-1.0
2016-05-26,0.00641797583016851,-0.004094809293746948,1.0,-1.0
2016-05-27,0.0003997565259545092,-0.002606400055810809,1.0,-1.0
2016-05-31,-0.004406219251747839,-0.0025385303888469934,-1.0,-1.0
2016-06-01,0.005205336276655776,-0.0033091602381318808,1.0,-1.0
2016-06-02,0.0015960305534351796,-0.002884492976590991,1.0,-1.0
2016-06-03,0.005566647295792793,-0.0028801572043448687,1.0,-1.0
2016-06-06,0.0,-0.0026564619038254023,0.0,-1.0
2016-06-07,0.005141476267265749,-0.0032634504605084658,1.0,-1.0
2016-06-08,-0.0003945515498923486,-0.001794107025489211,-1.0,-1.0
2016-06-09,-0.01470918549569546,-0.0007364582270383835,-1.0,-1.0
2016-06-10,-0.034633630981119025,-0.0030971711967140436,-1.0,-1.0
2016-06-13,-0.017988408055823895,-0.001522373640909791,-1.0,-1.0
2016-06-14,-0.015741691591415235,-0.0020928906742483377,-1.0,-1.0
2016-06-15,-0.004297391205081897,4.8988498747348785e-05,-1.0,1.0
2016-06-16,0.0072946722874344,0.0003239505458623171,1.0,1.0
2016-06-17,0.0025619354383222552,0.0009392640786245465,1.0,1.0
2016-06-20,0.022766507363025764,-0.0015827312599867582,1.0,-1.0
2016-06-21,0.010779572514589806,-0.004690880887210369,1.0,-1.0
2016-06-22,0.001087132420313921,-0.0010845172218978405,1.0,-1.0
2016-06-23,0.029238212890207626,-0.0018141188193112612,1.0,-1.0
2016-06-24,-0.10023292593600547,-0.0038483410608023405,-1.0,-1.0
2016-06-27,-0.025904702645266026,0.00092160957865417,-1.0,1.0
2016-06-28,0.021858814478624762,-0.0020460907835513353,1.0,-1.0
2016-06-29,0.01918411397598083,-0.0031785399187356234,1.0,-1.0
2016-06-30,0.022718295192614757,-0.001797909615561366,1.0,-1.0
2016-07-01,-0.001729354310529982,-0.002747094025835395,-1.0,-1.0
2016-07-05,-0.028084260560173758,-0.0007949841674417257,-1.0,-1.0
