Date,012_EWI_1d_actual_lnrts,012_EWI_1d_forecast_lnrts,012_EWI_1d_true_label,012_EWI_1d_forecast_label
2016-01-06,-0.02702873105566037,0.00047878886107355356,-1.0,1.0
2016-01-07,-0.01071158357143317,0.0041654035449028015,-1.0,1.0
2016-01-08,-0.007722091751951976,0.0017170058563351631,-1.0,1.0
2016-01-11,-0.0023283521617417187,0.004780102521181107,-1.0,1.0
2016-01-12,0.010050443913693736,0.004480333533138037,1.0,1.0
2016-01-13,-0.013942956162477073,0.0030942957382649183,-1.0,1.0
2016-01-14,0.010861287522774496,0.006362542510032654,1.0,1.0
2016-01-15,-0.04095071591507407,0.004881741013377905,-1.0,1.0
2016-01-19,-0.017843062640551324,0.0020071053877472878,-1.0,1.0
2016-01-20,-0.03667080258563773,0.005153180565685034,-1.0,1.0
2016-01-21,0.02845386648107351,0.013233451172709465,1.0,1.0
2016-01-22,0.015554949011828117,0.0043926723301410675,1.0,1.0
2016-01-25,-0.027173475437352778,0.0023702725302428007,-1.0,1.0
2016-01-26,0.022287426291777074,0.007153543643653393,1.0,1.0
2016-01-27,-0.016461246178292123,0.0056632403284311295,-1.0,1.0
2016-01-28,-0.01252633446592029,0.008823296055197716,-1.0,1.0
2016-01-29,0.014184624511585328,0.00882390234619379,1.0,1.0
2016-02-01,-0.0033194644794506184,0.007666653487831354,-1.0,1.0
2016-02-02,-0.03898806392560104,0.004878383129835129,-1.0,1.0
2016-02-03,0.004312325866116294,0.010880534537136555,1.0,1.0
2016-02-04,0.011976155292898746,0.00963297113776207,1.0,1.0
2016-02-05,-0.02671416461935433,0.006288196425884962,-1.0,1.0
2016-02-08,-0.03646478610857333,0.016540203243494034,-1.0,1.0
2016-02-09,-0.02383234975726805,0.012982256710529327,-1.0,1.0
2016-02-10,0.028351184338691392,0.008436115458607674,1.0,1.0
2016-02-11,-0.030208196343265048,0.00689826812595129,-1.0,1.0
2016-02-12,0.028403046280674676,0.017817728221416473,1.0,1.0
2016-02-16,0.024097686015612425,0.008243824355304241,1.0,1.0
2016-02-17,0.01661602474722385,0.0026978361420333385,1.0,1.0
2016-02-18,-0.023695751489226962,0.004156976006925106,-1.0,1.0
2016-02-19,-0.008920672390469727,0.015806131064891815,-1.0,1.0
2016-02-22,0.02827045475423721,0.01480969600379467,1.0,1.0
2016-02-23,-0.0246926307393055,0.011187989264726639,-1.0,1.0
2016-02-24,-0.00537150105253705,0.01599946618080139,-1.0,1.0
2016-02-25,0.013375037640952716,0.004400170873850584,1.0,1.0
2016-02-26,0.0026537197599833828,0.005573563277721405,1.0,1.0
2016-02-29,-0.00353982947899604,0.010091223753988743,-1.0,1.0
2016-03-01,0.03484671361851415,0.005288596265017986,1.0,1.0
2016-03-02,0.00852525185444421,-0.003090489190071821,1.0,-1.0
2016-03-03,0.020168765892333077,0.008300524204969406,1.0,1.0
2016-03-04,-0.005840676838716957,0.012698431499302387,-1.0,1.0
2016-03-07,-0.00924754602643644,0.00829465501010418,-1.0,1.0
2016-03-08,-0.002537067079639361,0.018073327839374542,-1.0,1.0
2016-03-09,0.005909622246195258,0.014985935762524605,1.0,1.0
2016-03-10,0.015038018714445748,0.009150383993983269,1.0,1.0
2016-03-11,0.04776286879930274,0.007330616004765034,1.0,1.0
2016-03-14,-0.010329753830228007,0.007282487582415342,-1.0,1.0
2016-03-15,-0.008824877654823867,0.005596232134848833,-1.0,1.0
2016-03-16,0.009623135959648203,0.00594005361199379,1.0,1.0
2016-03-17,0.0,0.001327750040218234,0.0,1.0
2016-03-18,-0.0056021976306551416,0.00179363286588341,-1.0,1.0
2016-03-21,0.004803939325830814,0.004700056742876768,1.0,1.0
2016-03-22,-0.0032000884709863704,0.0029984251596033573,-1.0,1.0
2016-03-23,-0.022691344012773382,0.0048525333404541016,-1.0,1.0
2016-03-24,-0.008230462087462878,0.003402973059564829,-1.0,1.0
2016-03-28,0.005768479758314418,0.00863589532673359,1.0,1.0
2016-03-29,0.005735224935841003,0.00833749771118164,1.0,1.0
2016-03-30,0.010565023087163936,0.00890810415148735,1.0,1.0
2016-03-31,-0.013838265693856438,0.004465512000024319,-1.0,1.0
2016-04-01,-0.013201521503833002,0.0045452602207660675,-1.0,1.0
2016-04-04,-0.013378179695927833,-0.0024708365090191364,-1.0,-1.0
2016-04-05,-0.03163991292708285,-1.1091120541095734e-05,-1.0,-1.0
2016-04-06,0.016372428654698973,0.009116913191974163,1.0,1.0
2016-04-07,-0.03655757939431017,0.010020448826253414,-1.0,1.0
2016-04-08,0.041672728441620344,0.01271277479827404,1.0,1.0
2016-04-11,0.012674384778596962,0.010461264289915562,1.0,1.0
2016-04-12,-0.008431671799718765,0.011341092176735401,-1.0,1.0
2016-04-13,0.025084945383589883,0.011153864674270153,1.0,1.0
2016-04-14,0.004120343308713405,0.007812260650098324,1.0,1.0
2016-04-15,0.0008220524245044525,-0.005772537086158991,1.0,-1.0
2016-04-18,0.015491449873120079,7.865368388593197e-05,1.0,1.0
2016-04-19,0.0072551972833529875,0.0020800025667995214,1.0,1.0
2016-04-20,0.006405025961259586,0.005383504554629326,1.0,1.0
2016-04-21,0.0,0.004258269444108009,0.0,1.0
2016-04-22,-0.0015972792449897872,0.0035312497057020664,-1.0,1.0
2016-04-25,-0.012872270305297903,0.0034492381382733583,-1.0,1.0
2016-04-26,0.019246715503985636,-0.0008083642460405827,1.0,-1.0
2016-04-27,0.003172049489113054,-0.0052207051776349545,1.0,-1.0
2016-04-28,0.002372543974298463,0.0016841618344187737,1.0,1.0
2016-04-29,0.003941691889438736,3.841635771095753e-05,1.0,1.0
2016-05-02,-0.005522721058560821,-0.004776644986122847,-1.0,-1.0
2016-05-03,-0.02726710449652749,0.002190585248172283,-1.0,1.0
2016-05-04,-0.0040733495862145565,0.004166384227573872,-1.0,1.0
