Date,0061_ETF_1d_actual_lnrts,0061_ETF_1d_forecast_lnrts,0061_ETF_1d_true_label,0061_ETF_1d_forecast_label
2015-12-24,-0.004788516731797121,-0.023652398958802223,-1.0,-1.0
2015-12-25,0.004788516731797094,-0.02669619768857956,1.0,-1.0
2015-12-28,-0.010136123058392505,-0.011837201192975044,-1.0,-1.0
2015-12-29,-0.023326254258012234,-0.028565267100930214,-1.0,-1.0
2015-12-30,-0.0115927326439474,-0.010682910680770874,-1.0,-1.0
2015-12-31,0.014333211202050625,-0.015270506031811237,1.0,-1.0
2016-01-04,-0.04363108135940471,-0.025547053664922714,-1.0,-1.0
2016-01-05,-0.012658396871923354,-0.020967800170183182,-1.0,-1.0
2016-01-06,0.003468211568927357,-0.010185003280639648,1.0,-1.0
2016-01-07,-0.06681076797992987,-0.019361885264515877,-1.0,-1.0
2016-01-08,0.04286801843049257,-0.0034817811101675034,1.0,-1.0
2016-01-11,-0.039173432947130875,-0.0191798098385334,-1.0,-1.0
2016-01-12,-0.003694585483361564,-0.01331858616322279,-1.0,-1.0
2016-01-13,0.002464573028161772,0.007447858341038227,1.0,1.0
2016-01-14,-0.021145066426051,-0.015370387583971024,-1.0,-1.0
2016-01-15,-0.006937902316774353,-0.014320790767669678,-1.0,-1.0
2016-01-18,0.017566323717899065,-0.017189498990774155,1.0,-1.0
2016-01-19,0.01603982568103658,-0.011135760694742203,1.0,-1.0
2016-01-20,-0.017907239855831945,-0.028080658987164497,-1.0,-1.0
2016-01-21,-0.009389740349839032,-0.016282659024000168,-1.0,-1.0
2016-01-22,-0.0050441468866780255,-0.014287762343883514,-1.0,-1.0
2016-01-25,-0.0006323111181271348,-0.017116406932473183,-1.0,-1.0
2016-01-26,-0.019157674032933256,-0.01074972189962864,-1.0,-1.0
2016-01-27,-0.05092009042725687,-0.019015485420823097,-1.0,-1.0
2016-01-28,0.002033209782097823,-0.001734122633934021,1.0,-1.0
2016-01-29,0.014117881545785022,-0.006489933468401432,1.0,-1.0
2016-01-30,0.023747817850036775,-0.0028467094525694847,1.0,-1.0
2016-02-01,-0.031790756649497105,-0.0030832113698124886,-1.0,-1.0
2016-02-02,0.009377161812597005,0.001879601739346981,1.0,1.0
2016-02-03,-0.00668898815079654,-0.006380630191415548,-1.0,-1.0
2016-02-15,0.010016778243471209,0.005468075163662434,1.0,1.0
2016-02-16,0.035892923060606534,0.002959323115646839,1.0,1.0
2016-02-17,-0.0057859370670438875,-0.003911997191607952,-1.0,-1.0
2016-02-18,0.007707167244937959,0.014601624570786953,1.0,1.0
2016-02-19,-0.005774799493883908,-0.006195376627147198,-1.0,-1.0
2016-02-22,0.015325970478226772,-0.014682120643556118,1.0,-1.0
2016-02-23,-0.014682676792484925,-0.005615619942545891,-1.0,-1.0
2016-02-24,-0.007746972250173726,-0.017898568883538246,-1.0,-1.0
2016-02-25,-0.011078640518758485,-0.018823765218257904,-1.0,-1.0
2016-02-26,-0.017184824754100856,-0.018263481557369232,-1.0,-1.0
2016-03-01,-0.004008021397538822,-0.015535524114966393,-1.0,-1.0
2016-03-02,0.03679784422052971,-0.017047787085175514,1.0,-1.0
