Date,0053_ETF_1d_actual_lnrts,0053_ETF_1d_forecast_lnrts,0053_ETF_1d_true_label,0053_ETF_1d_forecast_label
2015-12-22,0.0011580777206276467,0.0005416069179773331,1.0,1.0
2015-12-23,0.0030816665374081144,-0.002206281293183565,1.0,-1.0
2015-12-24,0.0003845414390781728,-0.0013939726632088423,1.0,-1.0
2015-12-25,-0.00038454143907814804,-0.00035064213443547487,-1.0,-1.0
2015-12-28,0.012612435486735856,-0.0028805886395275593,1.0,-1.0
2015-12-29,-0.01839837255377973,-0.0010217030066996813,-1.0,-1.0
2015-12-30,0.0019323677510538603,-0.002943234285339713,1.0,-1.0
2015-12-31,0.0038535693159899723,0.0007259049452841282,1.0,1.0
2016-01-04,-0.024135075735240447,-0.0019642359111458063,-1.0,-1.0
2016-01-05,-0.002761887729208977,0.000749137019738555,-1.0,1.0
2016-01-06,-0.015528880637780127,0.0013947987463325262,-1.0,1.0
2016-01-07,-0.028904922969285256,-0.002888474380597472,-1.0,-1.0
2016-01-08,0.00904611431968191,-0.0005851970054209232,1.0,-1.0
2016-01-11,-0.007395267886156882,-0.004941774066537619,-1.0,-1.0
2016-01-12,-0.00041245618237858815,-0.0024453699588775635,-1.0,-1.0
2016-01-13,0.008626054719767448,-0.0002715545706450939,1.0,-1.0
2016-01-14,-0.02107951579105382,-0.0033184292260557413,-1.0,-1.0
2016-01-15,0.023530497410194036,-0.0006421718862839043,1.0,-1.0
2016-01-18,0.0020379057389203125,0.0016357896383851767,1.0,1.0
2016-01-19,0.003252035386377316,0.001108213560655713,1.0,1.0
2016-01-20,-0.019672765598704893,0.0010268103796988726,-1.0,1.0
2016-01-21,-0.0024865325700048164,-0.0008184340549632907,-1.0,-1.0
2016-01-22,0.014827289762416932,0.003259965917095542,1.0,1.0
2016-01-25,0.020635974032655373,0.0014219495933502913,1.0,1.0
2016-01-26,-0.008041860790413663,-0.0012539690360426903,-1.0,-1.0
2016-01-27,0.006438654034198427,-0.00023684732150286436,1.0,-1.0
2016-01-28,-0.0028118114529015253,0.003750838106498122,-1.0,1.0
2016-01-29,0.02030728752862559,-0.004478683695197105,1.0,-1.0
2016-01-30,0.007069943038522921,-0.0007566033164039254,1.0,-1.0
2016-02-01,0.003516315402755883,-0.005690411664545536,1.0,-1.0
2016-02-02,-0.003907781448076082,-0.0060256123542785645,-1.0,-1.0
2016-02-03,0.002737049607040557,-0.001651537953875959,1.0,-1.0
2016-02-15,0.001950458976056628,0.0014559696428477764,1.0,1.0
2016-02-16,0.009695635386528156,-0.0015012737130746245,1.0,-1.0
2016-02-17,0.0038520848865417293,-0.0049609653651714325,1.0,-1.0
2016-02-18,0.008041398874993437,-0.008289075456559658,1.0,-1.0
2016-02-19,0.0026661604062361063,-0.006776570342481136,1.0,-1.0
2016-02-22,-0.0022848448630075143,-0.006122758612036705,-1.0,-1.0
2016-02-23,0.008730364808027387,-0.00842251256108284,1.0,-1.0
