Date,025_XLY_1d_actual_lnrts,025_XLY_1d_forecast_lnrts,025_XLY_1d_true_label,025_XLY_1d_forecast_label
2016-01-06,-0.00982393490883446,-6.823288276791573e-05,-1.0,-1.0
2016-01-07,-0.020748187373406227,-0.002276037819683552,-1.0,-1.0
2016-01-08,-0.010809432734667841,0.0018575694411993027,-1.0,1.0
2016-01-11,0.0078486573943887,0.0037663269322365522,1.0,1.0
2016-01-12,0.010992060706306485,-0.003211487550288439,1.0,-1.0
2016-01-13,-0.03431081682267468,-0.00415963726118207,-1.0,-1.0
2016-01-14,0.007148774800518253,0.0004286413313820958,1.0,1.0
2016-01-15,-0.020762038192528635,0.005429811775684357,-1.0,1.0
2016-01-19,0.0037690684848896644,-8.37577972561121e-05,1.0,-1.0
2016-01-20,-0.00881680418708784,0.002067466964945197,-1.0,1.0
2016-01-21,0.01271064529917019,0.005962005350738764,1.0,1.0
2016-01-22,0.017336607292007318,0.0030900156125426292,1.0,1.0
2016-01-25,-0.01152424101703541,0.0013587474822998047,-1.0,1.0
2016-01-26,0.014520602046785139,-0.0020699063315987587,1.0,-1.0
2016-01-27,-0.015763361494900503,0.00045682117342948914,-1.0,1.0
2016-01-28,0.012767000465150866,0.004339214414358139,1.0,1.0
2016-01-29,0.010853524895509076,0.005810003727674484,1.0,1.0
2016-02-01,0.006053629515613238,0.0020020785741508007,1.0,1.0
2016-02-02,-0.019638905137144804,0.002515369327738881,-1.0,1.0
2016-02-03,-0.0026023042138464004,0.0024450356140732765,-1.0,1.0
2016-02-04,-0.005776280625501159,0.004184974357485771,-1.0,1.0
2016-02-05,-0.0328081696402577,0.0027973633259534836,-1.0,1.0
2016-02-08,-0.01957460862391862,0.004308321513235569,-1.0,1.0
2016-02-09,-0.0016000106104798214,0.007641055155545473,-1.0,1.0
2016-02-10,-0.0017487544365514867,0.002954085823148489,-1.0,1.0
2016-02-11,-0.0005835534225090074,0.002196306362748146,-1.0,1.0
2016-02-12,0.018219249864935467,0.005697476677596569,1.0,1.0
2016-02-16,0.023926988664049974,0.006892906501889229,1.0,1.0
2016-02-17,0.021315456804196598,0.004976975731551647,1.0,1.0
2016-02-18,-0.006595203448494343,-0.002626894973218441,-1.0,-1.0
2016-02-19,0.0027533000152757552,0.0013665166916325688,1.0,1.0
2016-02-22,0.019198806607777924,0.0017452538013458252,1.0,1.0
2016-02-23,-0.00554499279153095,-1.2217089533805847e-05,-1.0,-1.0
2016-02-24,0.005814475750200244,0.0030476972460746765,1.0,1.0
2016-02-25,0.009927769312916737,-0.00032779830507934093,1.0,-1.0
2016-02-26,-0.0010685055662419272,0.003413593163713813,-1.0,1.0
2016-02-29,-0.005225408115529533,0.004517451860010624,-1.0,1.0
2016-03-01,0.026120143194375122,0.0013784394832327962,1.0,1.0
2016-03-02,-0.0009166029975298504,-0.001821205485612154,-1.0,-1.0
2016-03-03,0.005877513980193863,0.006087509915232658,1.0,1.0
2016-03-04,-0.0009121587335894695,0.0028604150284081697,-1.0,1.0
2016-03-07,-0.004310656841517737,-0.0019297818653285503,-1.0,-1.0
2016-03-08,-0.007885314755270777,0.0010404722997918725,-1.0,1.0
2016-03-09,0.001977135113911388,0.004433448426425457,1.0,1.0
2016-03-10,0.0024987419149869795,0.001867790357209742,1.0,1.0
2016-03-11,0.015251772510266038,-0.001273843925446272,1.0,-1.0
2016-03-14,0.0037443750183405082,-0.0008123139850795269,1.0,-1.0
2016-03-15,-0.00025781509255165086,0.004695977084338665,-1.0,1.0
2016-03-16,0.008089007429158794,-0.000206824392080307,1.0,-1.0
2016-03-17,0.0014056601715172594,-0.0010622346308082342,1.0,-1.0
2016-03-18,0.0012941534838376574,0.002293224446475506,1.0,1.0
2016-03-21,0.0005121409412291142,0.004512013867497444,1.0,1.0
2016-03-22,-0.0016653753239078408,0.0033204678911715746,-1.0,1.0
2016-03-23,-0.007076114767622021,0.0022206450812518597,-1.0,1.0
2016-03-24,0.0012902650500231567,0.0014051945181563497,1.0,1.0
2016-03-28,0.004503020035656338,0.002082641702145338,1.0,1.0
2016-03-29,0.010090214437706697,0.0019489155383780599,1.0,1.0
2016-03-30,0.0063338699132556645,-0.0005064003635197878,1.0,-1.0
2016-03-31,-0.0011371155663478193,-0.0026896637864410877,-1.0,-1.0
2016-04-01,0.004163237604625365,-0.003032831009477377,1.0,-1.0
2016-04-04,-0.007836276215779878,-0.0002678721211850643,-1.0,-1.0
2016-04-05,-0.008537760363321031,-0.004370919894427061,-1.0,-1.0
