Date,027_XLP_1d_actual_lnrts,027_XLP_1d_forecast_lnrts,027_XLP_1d_true_label,027_XLP_1d_forecast_label
2016-01-06,-0.0033941808335924846,0.004571409430354834,-1.0,1.0
2016-01-07,-0.01207240271347178,0.005753085017204285,-1.0,1.0
2016-01-08,-0.0077223364796243565,0.010455471463501453,-1.0,1.0
2016-01-11,0.009340341432036835,0.00791905913501978,1.0,1.0
2016-01-12,0.005441858037809862,0.0009215155150741339,1.0,1.0
2016-01-13,-0.018460803968132305,0.0017099170945584774,-1.0,1.0
2016-01-14,0.004698148587850242,0.007232535630464554,1.0,1.0
2016-01-15,-0.015816204668466612,0.013188375160098076,-1.0,1.0
2016-01-19,0.011936865001107227,0.007860241457819939,1.0,1.0
2016-01-20,-0.012558154918463845,0.010020636022090912,-1.0,1.0
2016-01-21,0.00392844053122489,0.0068504419177770615,1.0,1.0
2016-01-22,0.016982464532066106,0.004161563701927662,1.0,1.0
2016-01-25,-0.008966729802413356,0.008078914135694504,-1.0,1.0
2016-01-26,0.009169604461343626,0.0076194703578948975,1.0,1.0
2016-01-27,-0.0010146366133589133,0.007971392944455147,-1.0,1.0
2016-01-28,0.010101006857242899,0.008441682904958725,1.0,1.0
2016-01-29,0.02009816429622436,0.009569134563207626,1.0,1.0
2016-02-01,0.0033434466382437932,0.006727064959704876,1.0,1.0
2016-02-02,-0.012844735976705665,0.008205085061490536,-1.0,1.0
2016-02-03,-0.0021901544009203635,0.008089905604720116,-1.0,1.0
2016-02-04,-0.009211057831297206,0.009988930076360703,-1.0,1.0
2016-02-05,-0.001610512761354699,0.009297238662838936,-1.0,1.0
2016-02-08,-0.0026228574365439565,0.010232754051685333,-1.0,1.0
2016-02-09,0.006644422774679419,0.014263208955526352,1.0,1.0
2016-02-10,-0.0012046736747038682,0.007498154416680336,-1.0,1.0
2016-02-11,-0.00806944051889429,0.006881956942379475,-1.0,1.0
2016-02-12,0.01407897480413063,0.011316323652863503,1.0,1.0
2016-02-16,0.007957157530667927,0.009036032482981682,1.0,1.0
2016-02-17,0.010250457314360379,0.0063321636989712715,1.0,1.0
2016-02-18,-0.004521026461662086,0.003008387517184019,-1.0,1.0
2016-02-19,0.0015748529860585413,0.003929778467863798,1.0,1.0
2016-02-22,0.004905416605135962,0.00523407245054841,1.0,1.0
2016-02-23,-0.00019584780824578792,0.00322915893048048,-1.0,1.0
2016-02-24,0.0031275236164670576,0.0025370034854859114,1.0,1.0
2016-02-25,0.01125566087056923,0.00034891674295067787,1.0,1.0
2016-02-26,-0.014187336678790546,0.00024645356461405754,-1.0,1.0
2016-02-29,-0.0033332040446416382,0.0011760890483856201,-1.0,1.0
2016-03-01,0.009577138891012757,-0.0013625840656459332,1.0,-1.0
2016-03-02,0.002913474467301567,-0.0034377449192106724,1.0,-1.0
2016-03-03,0.005029927365117979,0.0001241946592926979,1.0,1.0
2016-03-04,0.004236435524363238,0.00015593739226460457,1.0,1.0
2016-03-07,-0.0061682134113766555,-0.0042295376770198345,-1.0,-1.0
2016-03-08,0.0028960375561140938,2.461811527609825e-05,1.0,1.0
2016-03-09,0.00749063970837348,0.0008284666109830141,1.0,1.0
2016-03-10,0.00038273567917130084,0.0006843407172709703,1.0,1.0
2016-03-11,0.003246555553116017,0.0002845432609319687,1.0,1.0
2016-03-14,-0.0005722570515092772,-0.0009842710569500923,-1.0,-1.0
2016-03-15,0.002476855514035658,0.0011001632083207369,1.0,1.0
2016-03-16,0.0022810377510279773,0.0015982158947736025,1.0,1.0
2016-03-17,0.00605729388663283,-0.00017955759540200233,1.0,-1.0
2016-03-18,-0.0013097090374547113,-0.0012636925093829632,-1.0,-1.0
2016-03-21,0.0005696271859511023,-0.0022180858068168163,1.0,-1.0
2016-03-22,-0.005901985509825626,0.0008202854078263044,-1.0,1.0
2016-03-23,0.00019096014654680448,-0.0015366291627287865,1.0,-1.0
2016-03-24,-0.001146208903583699,-0.0024948474019765854,-1.0,-1.0
2016-03-28,0.005337460673481397,0.0019520348869264126,1.0,1.0
2016-03-29,0.007387149568976469,-0.0020851753652095795,1.0,-1.0
2016-03-30,0.006583180576987838,-0.003940914291888475,1.0,-1.0
2016-03-31,-0.0052630414876815934,-0.004874026868492365,-1.0,-1.0
2016-04-01,0.010498683426929101,0.0001895548775792122,1.0,1.0
2016-04-04,0.0003729829582740865,-0.0012493166141211987,1.0,-1.0
2016-04-05,-0.006734095559770054,-0.005381577182561159,-1.0,-1.0
2016-04-06,0.007852016877356689,-0.004483421798795462,1.0,-1.0
2016-04-07,-0.010859531594318511,0.0005107815377414227,-1.0,1.0
2016-04-08,0.005444467975756737,0.0020204992033541203,1.0,1.0
2016-04-11,-0.007140227415655578,-0.0013326406478881836,-1.0,-1.0
2016-04-12,0.006203685336622813,0.0003424454480409622,1.0,1.0
2016-04-13,-0.007713362048141405,0.0011319806799292564,-1.0,1.0
2016-04-14,-0.004542832126419528,0.0010458482429385185,-1.0,1.0
2016-04-15,0.006241151373947199,0.0005677486769855022,1.0,1.0
2016-04-18,0.005640102283099944,-0.0001293807290494442,1.0,-1.0
