Date,001_SPY_1d_actual_lnrts,001_SPY_1d_forecast_lnrts,001_SPY_1d_true_label,001_SPY_1d_forecast_label
2016-01-06,-0.01269459026032753,-0.001691229990683496,-1.0,-1.0
2016-01-07,-0.02428394652988539,0.0025580497458577156,-1.0,1.0
2016-01-08,-0.01103722407316203,0.005919171497225761,-1.0,1.0
2016-01-11,0.0009895270950578791,0.005292864516377449,1.0,1.0
2016-01-12,0.00803588535304922,-0.003122793510556221,1.0,-1.0
2016-01-13,-0.025256866592124783,-0.0029228688217699528,-1.0,-1.0
2016-01-14,0.016283427395316498,0.00632076570764184,1.0,1.0
2016-01-15,-0.02169978797867781,0.012661870568990707,-1.0,1.0
2016-01-19,0.0013302358536372526,0.004767887759953737,1.0,1.0
2016-01-20,-0.01289779439254438,-0.0011635032715275884,-1.0,-1.0
2016-01-21,0.005586245135896844,0.004706629551947117,1.0,1.0
2016-01-22,0.020307598009944583,0.004727430175989866,1.0,1.0
2016-01-25,-0.015231898983915434,0.006760401651263237,-1.0,1.0
2016-01-26,0.013550798038851423,0.0019245668081566691,1.0,1.0
2016-01-27,-0.010942790719211596,0.0017444257391616702,-1.0,1.0
2016-01-28,0.005195621102590909,0.003862602636218071,1.0,1.0
2016-01-29,0.02408495449535871,0.005832057911902666,1.0,1.0
2016-02-01,-0.00036141616345700415,0.0028422619216144085,-1.0,1.0
2016-02-02,-0.018186594174988142,0.0017964212456718087,-1.0,1.0
2016-02-03,0.00597702856647327,0.006297183223068714,1.0,1.0
2016-02-04,0.001567076237560939,0.0041612498462200165,1.0,1.0
2016-02-05,-0.01923389705856755,0.0012960737803950906,-1.0,1.0
2016-02-08,-0.013552473574948357,0.0014979300322011113,-1.0,1.0
2016-02-09,5.38845500182192e-05,0.006454934366047382,1.0,1.0
2016-02-10,-0.0008632283846913358,0.0023166718892753124,-1.0,1.0
2016-02-11,-0.01309330696828399,-0.0010929182171821594,-1.0,-1.0
2016-02-12,0.020407238180000235,0.0017539320979267359,1.0,1.0
2016-02-16,0.016737401223502705,0.0015960235614329576,1.0,1.0
2016-02-17,0.016202815128789592,-0.00038157892413437366,1.0,-1.0
2016-02-18,-0.004104340463048253,-0.0039027337916195393,-1.0,-1.0
2016-02-19,-0.0004686322501802112,0.0010273539228364825,-1.0,1.0
2016-02-22,0.014375438315465647,-0.0008783304365351796,1.0,-1.0
2016-02-23,-0.012710160190533634,-0.0023895595222711563,-1.0,-1.0
2016-02-24,0.0045652953213005205,0.0015413860091939569,1.0,1.0
2016-02-25,0.012038959568546748,-0.001186658046208322,1.0,-1.0
2016-02-26,-0.0023038583167929367,-0.002724208403378725,-1.0,-1.0
2016-02-29,-0.007873501886862474,0.004792488180100918,-1.0,1.0
2016-03-01,0.023234909628369525,0.0016898754984140396,1.0,1.0
2016-03-02,0.00448237950367581,-0.003440165426582098,1.0,-1.0
2016-03-03,0.003912015543297481,0.0017330271657556295,1.0,1.0
2016-03-04,0.0032481648528707354,1.4093820936977863e-06,1.0,1.0
2016-03-07,0.00079803958571455,0.0008192717796191573,1.0,1.0
2016-03-08,-0.01097794491630104,-0.0015472403028979897,-1.0,-1.0
2016-03-09,0.0049275754548712995,0.002858289983123541,1.0,1.0
2016-03-10,0.0008019237748380782,-0.0017157086404040456,1.0,-1.0
2016-03-11,0.016008402381748384,-0.004187837243080139,1.0,-1.0
2016-03-14,-0.001282997914313202,-0.001010606880299747,-1.0,-1.0
2016-03-15,-0.001630987489722535,-0.001039928407408297,-1.0,-1.0
2016-03-16,0.005770373338849128,-0.000861066160723567,1.0,-1.0
2016-03-17,0.006324106723662889,-0.0031028548255562782,1.0,-1.0
2016-03-18,0.003921949581691394,-0.0003011211520060897,1.0,-1.0
2016-03-21,0.0014177665151296987,0.001575504895299673,1.0,1.0
2016-03-22,-0.0005374317961076114,0.00023216509725898504,-1.0,1.0
2016-03-23,-0.006621511689887344,0.0035986173897981644,-1.0,1.0
2016-03-24,-0.0004430327923727423,0.0007963358657434583,-1.0,1.0
2016-03-28,0.0005907699026579037,0.002351743169128895,1.0,1.0
2016-03-29,0.009207592247380044,-0.0005392358871176839,1.0,-1.0
2016-03-30,0.004378122035725115,0.0017231577076017857,1.0,1.0
2016-03-31,-0.00242994718549589,0.00043634383473545313,-1.0,1.0
2016-04-01,0.006788910073464882,0.001279494957998395,1.0,1.0
2016-04-04,-0.0032432629339231053,0.0003340597031638026,-1.0,1.0
2016-04-05,-0.01003814869685517,-0.0058714174665510654,-1.0,-1.0
2016-04-06,0.010862121138482526,-0.006160763558000326,1.0,-1.0
2016-04-07,-0.012038043343050012,0.0003878240240737796,-1.0,1.0
2016-04-08,0.002693069078887843,0.004518384579569101,1.0,1.0
