Date,048_IYY_1d_actual_lnrts,048_IYY_1d_forecast_lnrts,048_IYY_1d_true_label,048_IYY_1d_forecast_label
2016-01-05,0.002190062310130493,0.0034986711107194424,1.0,1.0
2016-01-06,-0.01220619846527637,0.0012273811735212803,-1.0,1.0
2016-01-07,-0.02528169416980744,0.004601751919835806,-1.0,1.0
2016-01-08,-0.011943798845052268,0.007243072614073753,-1.0,1.0
2016-01-11,0.0015659273478055102,0.005858421325683594,1.0,1.0
2016-01-12,0.006654257789213837,-0.0008719295728951693,1.0,-1.0
2016-01-13,-0.026248254164846208,0.001276126829907298,-1.0,1.0
2016-01-14,0.016145587244937244,0.007554639130830765,1.0,1.0
2016-01-15,-0.02201387024667329,0.011040117591619492,-1.0,1.0
2016-01-19,-0.0005350772935681977,0.0030511957593262196,-1.0,1.0
2016-01-20,-0.009682788401415053,0.004021306987851858,-1.0,1.0
2016-01-21,0.0032380835018595813,0.007835919968783855,1.0,1.0
2016-01-22,0.02037291120439205,0.007032101042568684,1.0,1.0
2016-01-25,-0.0158572911693935,0.007894760929048061,-1.0,1.0
2016-01-26,0.015117926482280651,0.006658211350440979,1.0,1.0
2016-01-27,-0.011477318925661452,0.00431350851431489,-1.0,1.0
2016-01-28,0.003840486235128715,0.007145044393837452,1.0,1.0
2016-01-29,0.023154081299558812,0.009108500555157661,1.0,1.0
2016-02-01,0.002182376103893194,0.0050429366528987885,1.0,1.0
2016-02-02,-0.01949754253515737,0.0067816548980772495,-1.0,1.0
2016-02-03,0.004962811113556208,0.007328975945711136,1.0,1.0
2016-02-04,0.0028399155448742158,0.005898254457861185,1.0,1.0
2016-02-05,-0.021122735318472797,0.0033439125400036573,-1.0,1.0
2016-02-08,-0.014478909374580372,0.0070887599140405655,-1.0,1.0
2016-02-09,-0.0008710036009359077,0.011081065982580185,-1.0,1.0
2016-02-10,0.0001087678709118735,0.0043727923184633255,1.0,1.0
2016-02-11,-0.011061808469999967,0.0019611327443271875,-1.0,1.0
2016-02-12,0.015842853302921074,0.005044042132794857,1.0,1.0
2016-02-16,0.01996211135619261,0.004902251996099949,1.0,1.0
2016-02-17,0.01623135291564426,0.003277991898357868,1.0,1.0
2016-02-18,-0.0036657008489172044,-0.0010287046898156404,-1.0,-1.0
2016-02-19,-0.00031504144215345264,0.004227240104228258,-1.0,1.0
2016-02-22,0.014277874704308191,0.001443392364308238,1.0,1.0
2016-02-23,-0.012390260233464843,-0.0005243264604359865,-1.0,-1.0
2016-02-24,0.0054331761737666925,0.004203720483928919,1.0,1.0
2016-02-25,0.010469090224930772,-0.0004389183595776558,1.0,-1.0
2016-02-26,-0.00041258415702236974,-0.001728421775624156,-1.0,-1.0
2016-02-29,-0.007454964125460679,0.005112278740853071,-1.0,1.0
2016-03-01,0.023317730868794958,6.705103442072868e-05,1.0,1.0
2016-03-02,0.005164975648595721,-0.004619617015123367,1.0,-1.0
2016-03-03,0.0046355508490540185,0.00273116328753531,1.0,1.0
2016-03-04,0.0033124584407679737,-0.0009365521837025881,1.0,-1.0
2016-03-07,0.0006010675957986029,-0.00187492067925632,1.0,-1.0
2016-03-08,-0.010976359565089095,-0.0030691258143633604,-1.0,-1.0
2016-03-09,0.004546156078921731,0.0041290391236543655,1.0,1.0
2016-03-10,-0.00010089179806778253,-0.002942589344456792,-1.0,-1.0
2016-03-11,0.017190189717200186,-0.0034092983696609735,1.0,-1.0
2016-03-14,9.901013547925579e-05,-0.0003869791980832815,1.0,-1.0
2016-03-15,-0.004667508247547592,0.0003678204957395792,-1.0,1.0
