Date,050_IYJ_1d_actual_lnrts,050_IYJ_1d_forecast_lnrts,050_IYJ_1d_true_label,050_IYJ_1d_forecast_label
2016-01-05,0.001676652822318204,0.003108967561274767,1.0,1.0
2016-01-06,-0.01629289926247326,-0.0004244125448167324,-1.0,-1.0
2016-01-07,-0.029373394442291745,0.0003887033089995384,-1.0,1.0
2016-01-08,-0.010472450806005722,0.004761616699397564,-1.0,1.0
2016-01-11,-0.00041708253336368876,0.0017880669329315424,-1.0,1.0
2016-01-12,0.006547855011437606,-0.00466645834967494,1.0,-1.0
2016-01-13,-0.0226305239195522,-0.002590115647763014,-1.0,-1.0
2016-01-14,0.012740349537471858,0.001969297183677554,1.0,1.0
2016-01-15,-0.018372501377994628,0.008510549552738667,-1.0,1.0
2016-01-19,-0.00010644365421065086,-0.0017799902707338333,-1.0,-1.0
2016-01-20,-0.011468993841016862,-0.002031833864748478,-1.0,-1.0
2016-01-21,0.004517484624049327,0.0011285191867500544,1.0,1.0
2016-01-22,0.012054051605531971,0.0029595764353871346,1.0,1.0
2016-01-25,-0.01603280106884612,0.0037416480481624603,-1.0,1.0
2016-01-26,0.018680136626035383,0.0027971218805760145,1.0,1.0
2016-01-27,-0.010845342424826106,0.0011464401613920927,-1.0,1.0
2016-01-28,0.005224701431643817,0.0025835915002971888,1.0,1.0
2016-01-29,0.029652740132103866,0.002051942516118288,1.0,1.0
2016-02-01,-0.001963560678823812,-0.000804075738415122,-1.0,-1.0
2016-02-02,-0.020589156237186525,0.0006202543154358864,-1.0,1.0
2016-02-03,0.011444413987700708,0.0033242660574615,1.0,1.0
2016-02-04,0.018206782531223147,0.004392677918076515,1.0,1.0
2016-02-05,-0.01852004938604195,0.0003553135320544243,-1.0,1.0
2016-02-08,-0.012927871728924685,0.0023975318763405085,-1.0,1.0
2016-02-09,0.002324662951748657,0.006624804809689522,1.0,1.0
2016-02-10,-0.0014787623523112795,0.002306373091414571,-1.0,1.0
2016-02-11,-0.01748621893116057,-0.003565027844160795,-1.0,-1.0
2016-02-12,0.01928142568226041,0.002559263724833727,1.0,1.0
2016-02-16,0.02160505171016895,0.0017854198813438416,1.0,1.0
