Date,038_IWD_1d_actual_lnrts,038_IWD_1d_forecast_lnrts,038_IWD_1d_true_label,038_IWD_1d_forecast_label
2016-01-05,0.00196264314950529,0.001245100051164627,1.0,1.0
2016-01-06,-0.015389797340581544,-0.0019932726863771677,-1.0,-1.0
2016-01-07,-0.023859809970413502,-0.001185365836136043,-1.0,-1.0
2016-01-08,-0.012961970895644334,0.001175327692180872,-1.0,1.0
2016-01-11,-0.00043499253595806307,0.0014119207626208663,-1.0,1.0
2016-01-12,0.005748060147606034,-0.0034436967689543962,1.0,-1.0
2016-01-13,-0.021423920595973353,-0.0004864234069827944,-1.0,-1.0
2016-01-14,0.01567586044836731,0.004163910169154406,1.0,1.0
2016-01-15,-0.02243827438463916,0.00511359004303813,-1.0,1.0
2016-01-19,-0.0024500953268049705,0.001779851852916181,-1.0,1.0
2016-01-20,-0.01641415884240399,0.002078985795378685,-1.0,1.0
2016-01-21,0.005200669729952843,0.0036830981262028217,1.0,1.0
2016-01-22,0.019099246285441566,0.0028325312305241823,1.0,1.0
2016-01-25,-0.01864826640081929,0.003363395808264613,-1.0,1.0
2016-01-26,0.018648266400819367,0.004776453599333763,1.0,1.0
2016-01-27,-0.005102043502093245,0.0012571042170748115,-1.0,1.0
2016-01-28,0.004216555523939699,0.0018167435191571712,1.0,1.0
2016-01-29,0.026012509141412732,0.002769967308267951,1.0,1.0
2016-02-01,-0.0028089570555420444,-0.0013500397326424718,-1.0,-1.0
2016-02-02,-0.019997519035170275,0.0015680459327995777,-1.0,1.0
2016-02-03,0.008791333580752389,0.0050436630845069885,1.0,1.0
2016-02-04,0.004475666084728871,0.0017764393705874681,1.0,1.0
2016-02-05,-0.013266999665481265,-0.00016662818961776793,-1.0,-1.0
2016-02-08,-0.01310976808414426,0.0029949017334729433,-1.0,1.0
2016-02-09,-0.0034727547976107025,0.004780448507517576,-1.0,1.0
2016-02-10,-0.002134528063788372,0.0015455966349691153,-1.0,1.0
2016-02-11,-0.017127358113341554,-0.0025791258085519075,-1.0,-1.0
2016-02-12,0.02318171589655785,0.0036352472379803658,1.0,1.0
2016-02-16,0.015198183369089121,0.002244044793769717,1.0,1.0
2016-02-17,0.015512617215515183,0.00023428394342772663,1.0,1.0
2016-02-18,-0.0021703892689176915,0.00022618193179368973,-1.0,1.0
2016-02-19,-0.0018485733944518805,0.0024650900159031153,-1.0,1.0
2016-02-22,0.01576534695886004,-0.00012893675011582673,1.0,-1.0
2016-02-23,-0.013482390683882014,0.00023721015895716846,-1.0,1.0
2016-02-24,0.0036854180012848544,0.003070371225476265,1.0,1.0
2016-02-25,0.011937487004526015,-0.001186884706839919,1.0,-1.0
2016-02-26,-0.000427825100268267,-0.0021596229635179043,-1.0,-1.0
2016-02-29,-0.008700704848715832,0.002743565244600177,-1.0,1.0
2016-03-01,0.022825133611523066,-0.0007343738107010722,1.0,-1.0
2016-03-02,0.009132464597808688,-0.0035444514360278845,1.0,-1.0
2016-03-03,0.006769043532240331,0.001706268754787743,1.0,1.0
2016-03-04,0.00507277680785497,-0.0005886409198865294,1.0,-1.0
2016-03-07,0.005355413126589593,-0.0021593389101326466,1.0,-1.0
2016-03-08,-0.01563111709206389,-0.003699479391798377,-1.0,-1.0
2016-03-09,0.005410664087353681,0.002414731541648507,1.0,1.0
2016-03-10,0.0004150006479604783,-0.0020465468987822533,1.0,-1.0
2016-03-11,0.017377245530001247,-0.0014958713436499238,1.0,-1.0
2016-03-14,-0.0027560193507378855,-0.00036582149914465845,-1.0,-1.0
2016-03-15,-0.0035839348369392367,-0.0011556692188605666,-1.0,-1.0
2016-03-16,0.006238134015539044,-0.002837659092620015,1.0,-1.0
2016-03-17,0.009537383079978557,-0.004255541600286961,1.0,-1.0
2016-03-18,0.004634356882287378,-0.0014894757186993957,1.0,-1.0
2016-03-21,0.0005025024762880263,-0.0011293132556602359,1.0,-1.0
2016-03-22,-0.0016088371094698996,-0.0022602712269872427,-1.0,-1.0
2016-03-23,-0.008336860829665779,-0.0001122141839005053,-1.0,-1.0
2016-03-24,-0.001123507930777845,-0.002837188309058547,-1.0,-1.0
2016-03-28,0.0009194203223659103,-0.000697946990840137,1.0,-1.0
2016-03-29,0.007122553250888639,0.0006753795896656811,1.0,1.0
2016-03-30,0.0039462980994730695,0.001153239281848073,1.0,1.0
2016-03-31,-0.002123010439433267,-0.001466283923946321,-1.0,-1.0
2016-04-01,0.00454382115748558,0.0002559958375059068,1.0,1.0
2016-04-04,-0.0047462885830053874,-0.002711748704314232,-1.0,-1.0
2016-04-05,-0.011606647716420131,-0.005065766628831625,-1.0,-1.0
2016-04-06,0.009681587938343285,-0.0026465996634215117,1.0,-1.0
2016-04-07,-0.011218799074927129,0.0013182347174733877,-1.0,1.0
2016-04-08,0.004604572976007129,0.00010474913869984448,1.0,1.0
2016-04-11,-0.0006126296941414951,-0.0030329502187669277,-1.0,-1.0
2016-04-12,0.010466951106401064,0.00025689590256661177,1.0,1.0
2016-04-13,0.012557388788945616,-0.001123859197832644,1.0,-1.0
2016-04-14,9.980307193343767e-05,-2.695628791116178e-05,1.0,-1.0
2016-04-15,-0.0022985197478163424,-0.003440199652686715,-1.0,-1.0
2016-04-18,0.0075750957811581525,-0.001233382849022746,1.0,-1.0
2016-04-19,0.00860155291935114,-0.004442240577191114,1.0,-1.0
2016-04-20,0.0021633820758286586,-0.003360938047990203,1.0,-1.0
2016-04-21,-0.006899983911278842,-0.003819730831310153,-1.0,-1.0
2016-04-22,0.004835019639618498,-0.004006259609013796,1.0,-1.0
2016-04-25,-0.003253532846308285,-0.0027215599548071623,-1.0,-1.0
2016-04-26,0.005220282343333554,-0.003465039422735572,1.0,-1.0
2016-04-27,0.006365427774599137,-0.004075855948030949,1.0,-1.0
2016-04-28,-0.009415569965242176,-0.0035176004748791456,-1.0,-1.0
2016-04-29,-0.0058308321578498246,-0.0014544137520715594,-1.0,-1.0
2016-05-02,0.006815807047299303,-0.0032163343857973814,1.0,-1.0
2016-05-03,-0.011186599622514238,-0.0038086839485913515,-1.0,-1.0
2016-05-04,-0.007394127673468221,-0.0026539750397205353,-1.0,-1.0
2016-05-05,0.00040115874140621933,-0.0028539777267724276,1.0,-1.0
2016-05-06,0.002403043462453867,-0.001504449755884707,1.0,-1.0
2016-05-09,-0.0019019346989409104,-0.0047190189361572266,-1.0,-1.0
2016-05-10,0.012645215411047031,-0.003278339048847556,1.0,-1.0
2016-05-11,-0.005456714830471105,-0.0033282393123954535,-1.0,-1.0
2016-05-12,9.946582518152744e-05,-0.0016797647112980485,1.0,-1.0
2016-05-13,-0.009796169875541301,-0.0024547020439058542,-1.0,-1.0
2016-05-16,0.009298700805316992,-0.0035660278517752886,1.0,-1.0
2016-05-17,-0.006990956103299878,-0.004952613729983568,-1.0,-1.0
2016-05-18,0.0005008756713144643,-0.0021186135709285736,1.0,-1.0
2016-05-19,-0.002206048194126171,-0.0019350756192579865,-1.0,-1.0
2016-05-20,0.007102509163365393,-0.003494368167594075,1.0,-1.0
2016-05-23,-0.0017959835776749963,-0.005019820760935545,-1.0,-1.0
2016-05-24,0.011813438869446916,-0.0016318961279466748,1.0,-1.0
2016-05-25,0.008744860073186797,-0.004281067755073309,1.0,-1.0
2016-05-26,-0.0015666226664198658,-0.006979075726121664,-1.0,-1.0
2016-05-27,0.004594566522773873,-0.003985052462667227,1.0,-1.0
2016-05-31,-0.0015617316557626042,-0.004207640420645475,-1.0,-1.0
2016-06-01,0.00224431460462798,-0.0042897858656942844,1.0,-1.0
2016-06-02,0.002725321901136178,-0.0035513457842171192,1.0,-1.0
2016-06-03,-0.003895517040768319,-0.002895446727052331,-1.0,-1.0
2016-06-06,0.0071949933382862725,-0.0013264402514323592,1.0,-1.0
2016-06-07,0.0032883173942202066,-0.004450618755072355,1.0,-1.0
2016-06-08,0.0031815380832568504,-0.0032929310109466314,1.0,-1.0
