Date,036_IWM_1d_actual_lnrts,036_IWM_1d_forecast_lnrts,036_IWM_1d_true_label,036_IWM_1d_forecast_label
2016-01-06,-0.01535526575905506,-0.008096231147646904,-1.0,-1.0
2016-01-07,-0.02707404014452288,-0.0070897252298891544,-1.0,-1.0
2016-01-08,-0.017373565813245267,-0.0025421162135899067,-1.0,-1.0
2016-01-11,-0.0043425144059163565,0.0012368012685328722,-1.0,1.0
2016-01-12,0.0029935955559766366,-0.0011548595502972603,1.0,-1.0
2016-01-13,-0.03263557741810834,-0.004703995771706104,-1.0,-1.0
2016-01-14,0.013752309974922586,0.0022788282949477434,1.0,1.0
2016-01-15,-0.01634580972864553,0.004350801929831505,-1.0,1.0
2016-01-19,-0.01357563954883096,-0.003813458839431405,-1.0,-1.0
2016-01-20,0.004142467271703774,0.004722896032035351,1.0,1.0
2016-01-21,-0.002321726536886521,0.0029460496734827757,-1.0,1.0
2016-01-22,0.024162570532101697,0.005279479548335075,1.0,1.0
2016-01-25,-0.022445978839849806,0.008624140173196793,-1.0,1.0
2016-01-26,0.019778964929492836,0.007234187796711922,1.0,1.0
2016-01-27,-0.013844162551566775,0.0004272914957255125,-1.0,1.0
2016-01-28,-0.00020067066087523137,0.006286956369876862,-1.0,1.0
2016-01-29,0.032275212073213044,0.004070505499839783,1.0,1.0
2016-02-01,-0.00457541262364122,0.0019429584499448538,-1.0,1.0
2016-02-02,-0.021798902099901336,0.0019978194031864405,-1.0,1.0
2016-02-03,0.0012956338068417256,0.005916024558246136,1.0,1.0
2016-02-04,0.003876636536703975,0.0055685387924313545,1.0,1.0
2016-02-05,-0.02776297257717548,0.005928445607423782,-1.0,1.0
2016-02-08,-0.016558115642624105,0.010456574149429798,-1.0,1.0
2016-02-09,-0.006763446623723322,0.011695397086441517,-1.0,1.0
2016-02-10,0.0005218430213710146,0.006766376085579395,1.0,1.0
2016-02-11,-0.010911869792761887,0.003453401615843177,-1.0,1.0
2016-02-12,0.018811234431186707,0.00565953366458416,1.0,1.0
2016-02-16,0.02343164400739603,0.0037000703159719706,1.0,1.0
