Date,010_EWL_1d_actual_lnrts,010_EWL_1d_forecast_lnrts,010_EWL_1d_true_label,010_EWL_1d_forecast_label
2016-01-06,-0.015136898776440706,-0.0009160947520285845,-1.0,-1.0
2016-01-07,-0.016380133374165145,0.004171911161392927,-1.0,1.0
2016-01-08,-0.014940785625101509,0.003694601822644472,-1.0,1.0
2016-01-11,0.0,0.0059076896868646145,0.0,1.0
2016-01-12,0.012916515682309756,0.002508650068193674,1.0,1.0
2016-01-13,-0.01394339214385768,-0.0017294392455369234,-1.0,-1.0
2016-01-14,0.011914980717792921,-0.0008153680246323347,1.0,-1.0
2016-01-15,-0.03267699728998563,0.0029146643355488777,-1.0,1.0
2016-01-19,0.010780786600790975,0.004810693208128214,1.0,1.0
2016-01-20,-0.016039377956345684,0.0011830544099211693,-1.0,1.0
2016-01-21,-0.003168442551711228,0.00893237441778183,-1.0,1.0
2016-01-22,0.01886186944223699,0.007551487069576979,1.0,1.0
2016-01-25,-0.007641507394643623,0.003657175926491618,-1.0,1.0
2016-01-26,0.014538143211321628,0.003908979240804911,1.0,1.0
2016-01-27,-0.007935171349511943,0.005709903780370951,-1.0,1.0
2016-01-28,-0.0038174611505022533,0.005907002836465836,-1.0,1.0
2016-01-29,0.013812342764598152,0.006536353845149279,1.0,1.0
2016-02-01,-0.0013726086472785485,0.0005435593775473535,-1.0,1.0
2016-02-02,-0.018018572968954354,0.0012260262155905366,-1.0,1.0
2016-02-03,0.018018572968954333,0.0032144770957529545,1.0,1.0
2016-02-04,-0.0086222729668172,0.007806307170540094,-1.0,1.0
2016-02-05,-0.007649661023669475,0.006266644224524498,-1.0,1.0
2016-02-08,-0.014413989484568396,0.005797915160655975,-1.0,1.0
2016-02-09,-0.009249441422749888,0.006783722899854183,-1.0,1.0
2016-02-10,0.006057437093378467,0.007385130971670151,1.0,1.0
2016-02-11,-0.014672009961001736,0.00022892857668921351,-1.0,1.0
2016-02-12,0.015382217022685607,0.005603196565061808,1.0,1.0
2016-02-16,0.013399379219076678,0.004488886799663305,1.0,1.0
2016-02-17,0.005588435663020846,0.0021845533046871424,1.0,1.0
2016-02-18,-0.004188405324585449,0.0007372241234406829,-1.0,1.0
2016-02-19,0.00034973821627627677,0.0017436250345781446,1.0,1.0
2016-02-22,0.0034903421863826073,0.0062421648763120174,1.0,1.0
2016-02-23,-0.01438873321408333,0.0005830519367009401,-1.0,1.0
2016-02-24,0.0007066937168060898,0.006043756380677223,1.0,1.0
2016-02-25,0.011589281771805682,0.0005028107552789152,1.0,1.0
2016-02-26,-0.0034977038358465578,0.001969657139852643,-1.0,1.0
