Date,014_EWS_1d_actual_lnrts,014_EWS_1d_forecast_lnrts,014_EWS_1d_true_label,014_EWS_1d_forecast_label
2016-01-06,-0.02002067089615756,-0.008028605952858925,-1.0,-1.0
2016-01-07,-0.02767974687841506,-0.005455795209854841,-1.0,-1.0
2016-01-08,-0.004166777657946435,0.0017572692595422268,-1.0,1.0
2016-01-11,0.0010434051098001306,0.0010652602650225163,1.0,1.0
2016-01-12,-0.002087790657091763,-0.0005267607048153877,-1.0,-1.0
2016-01-13,-0.021120089367175632,0.0017768950201570988,-1.0,1.0
2016-01-14,0.006383105370471964,0.0040330770425498486,1.0,1.0
2016-01-15,-0.03123579225648607,0.005388075020164251,-1.0,1.0
2016-01-19,0.014123093392487839,0.009731188416481018,1.0,1.0
2016-01-20,-0.029559002699772484,0.00883842445909977,-1.0,1.0
2016-01-21,0.0033277871942795963,0.014208709821105003,1.0,1.0
2016-01-22,0.022989611763804853,0.020601972937583923,1.0,1.0
2016-01-25,-0.013072068895543661,0.012610428035259247,-1.0,1.0
2016-01-26,0.010905222899515067,0.01614665985107422,1.0,1.0
2016-01-27,-0.017505784917197835,0.018023399636149406,-1.0,1.0
2016-01-28,0.004405288642672968,0.020374083891510963,1.0,1.0
2016-01-29,0.031370845943787626,0.02480725198984146,1.0,1.0
2016-02-01,-0.011783846679827608,0.02842184342443943,-1.0,1.0
2016-02-02,-0.02620246274387689,0.02817331813275814,-1.0,1.0
2016-02-03,0.011001316099670564,0.027780132368206978,1.0,1.0
2016-02-04,0.020574497358559155,0.024745604023337364,1.0,1.0
2016-02-05,0.010661294897926879,0.022544750943779945,1.0,1.0
2016-02-08,-0.004250798932452067,0.019333643838763237,-1.0,1.0
2016-02-09,-0.01610350367323419,0.023470841348171234,-1.0,1.0
2016-02-10,0.016103503673234067,0.03036925382912159,1.0,1.0
2016-02-11,-0.011783846679827608,0.016758278012275696,-1.0,1.0
2016-02-12,0.012848018864124686,0.006822367664426565,1.0,1.0
2016-02-16,0.02831870512939032,0.015360414981842041,1.0,1.0
2016-02-17,0.001033590872629018,0.00938446819782257,1.0,1.0
2016-02-18,0.0010324156262541291,0.007121278438717127,1.0,1.0
2016-02-19,-0.004136507193047052,0.012454571202397346,-1.0,1.0
2016-02-22,0.01746329953882531,0.009100813418626785,1.0,1.0
2016-02-23,-0.011264829797497341,0.007059444207698107,-1.0,1.0
2016-02-24,-0.014523063431695632,0.007283870596438646,-1.0,1.0
2016-02-25,0.001044385547291477,0.0040338230319321156,1.0,1.0
2016-02-26,0.0,0.0037751351483166218,0.0,1.0
2016-02-29,0.012448282035293148,0.006465686950832605,1.0,1.0
2016-03-01,0.020408853098140528,0.00047478359192609787,1.0,1.0
2016-03-02,0.013045833183151981,-0.0050949882715940475,1.0,-1.0
2016-03-03,0.025592027194492602,-0.005580792669206858,1.0,-1.0
2016-03-04,0.03062437362929336,-0.006017163395881653,1.0,-1.0
2016-03-07,-0.0037772482409288853,-0.012681987136602402,-1.0,-1.0
2016-03-08,-0.02296749719098999,-0.01120517123490572,-1.0,-1.0
2016-03-09,0.011549685387164471,-0.0046547940000891685,1.0,-1.0
2016-03-10,-0.0019156073913181287,-0.007787767332047224,-1.0,-1.0
2016-03-11,0.018993905400396107,-0.00938563421368599,1.0,-1.0
2016-03-14,-0.002826089823713594,-0.009145728312432766,-1.0,-1.0
2016-03-15,-0.005676650754231098,-0.007150071673095226,-1.0,-1.0
2016-03-16,0.01693369601179561,-0.009178828448057175,1.0,-1.0
2016-03-17,0.026692818198258753,-0.014675337821245193,1.0,-1.0
2016-03-18,0.0,-0.01580125465989113,0.0,-1.0
2016-03-21,-0.00546448926187049,-0.014420764520764351,-1.0,-1.0
2016-03-22,-0.0009137540894689145,-0.015001783147454262,-1.0,-1.0
2016-03-23,-0.013805957238343098,-0.015418581664562225,-1.0,-1.0
2016-03-24,-0.007441887925322258,-0.014466876164078712,-1.0,-1.0
2016-03-28,-0.006557296043926905,-0.01599319465458393,-1.0,-1.0
2016-03-29,0.012143994784393774,-0.010943638160824776,1.0,-1.0
2016-03-30,0.01748777265774074,-0.010921820998191833,1.0,-1.0
2016-03-31,-0.00916610237818643,-0.017237750813364983,-1.0,-1.0
2016-04-01,-0.001843268604800588,-0.014807365834712982,-1.0,-1.0
2016-04-04,-0.009267947126449912,-0.011251276358962059,-1.0,-1.0
2016-04-05,-0.016901746279645618,-0.014435293152928352,-1.0,-1.0
2016-04-06,0.016901746279645732,-0.01735226809978485,1.0,-1.0
2016-04-07,-0.013120928229589237,-0.014065051451325417,-1.0,-1.0
2016-04-08,0.0037664788968917017,-0.01163050439208746,1.0,-1.0
2016-04-11,0.009354449332697398,-0.01210007444024086,1.0,-1.0
2016-04-12,0.007421226229193447,-0.011439291760325432,1.0,-1.0
2016-04-13,0.021034230155223634,-0.013412708416581154,1.0,-1.0
2016-04-14,-0.00271866903085519,-0.013964701443910599,-1.0,-1.0
2016-04-15,0.002718669030855219,-0.012761016376316547,1.0,-1.0
2016-04-18,0.008111751510119355,-0.013531733304262161,1.0,-1.0
2016-04-19,0.02043605425307262,-0.013840436935424805,1.0,-1.0
2016-04-20,-0.004407230920461677,-0.01524587906897068,-1.0,-1.0
2016-04-21,-0.009764826615983099,-0.012805301696062088,-1.0,-1.0
2016-04-22,-0.005366734152478243,-0.01427321694791317,-1.0,-1.0
2016-04-25,-0.007200744400223939,-0.013607949018478394,-1.0,-1.0
2016-04-26,-0.0009037497712852023,-0.008016851730644703,-1.0,-1.0
2016-04-27,-0.001809953530449077,-0.010852404870092869,-1.0,-1.0
2016-04-28,-0.0054495995857113295,-0.010456611402332783,-1.0,-1.0
2016-04-29,-0.01006872529962724,-0.0065587228164076805,-1.0,-1.0
2016-05-02,0.002755989405327778,-0.009930930100381374,1.0,-1.0
2016-05-03,-0.024142136609414732,-0.013248518109321594,-1.0,-1.0
2016-05-04,-0.018018687082256013,-0.013469437137246132,-1.0,-1.0
2016-05-05,0.00095657949792366,-0.011099737137556076,1.0,-1.0
2016-05-06,-0.00479167200983655,-0.01301204226911068,-1.0,-1.0
2016-05-09,-0.007714592875251511,-0.01202194020152092,-1.0,-1.0
2016-05-10,0.001934336064996636,-0.011704620905220509,1.0,-1.0
2016-05-11,-0.004842619811113918,-0.01318335346877575,-1.0,-1.0
2016-05-12,-0.0009713444512570757,-0.008299015462398529,-1.0,-1.0
2016-05-13,-0.006825958450359509,-0.007967179641127586,-1.0,-1.0
2016-05-16,0.0077973029016165695,-0.011865890584886074,1.0,-1.0
2016-05-17,0.0038758688617413144,-0.014285599812865257,1.0,-1.0
2016-05-18,-0.00679273733625856,-0.010222958400845528,-1.0,-1.0
2016-05-19,-0.011753410146387182,-0.008505056612193584,-1.0,-1.0
2016-05-20,0.010779226892411698,-0.00907079130411148,1.0,-1.0
2016-05-23,0.0,-0.009738855063915253,0.0,-1.0
2016-05-24,0.002919707277235546,-0.007269483059644699,1.0,-1.0
2016-05-25,0.0067795794026533525,-0.007072268985211849,1.0,-1.0
2016-05-26,0.0028916665600613703,-0.009996370412409306,1.0,-1.0
2016-05-27,0.003842460230506057,-0.008858214132487774,1.0,-1.0
2016-05-31,-0.0009592317723428268,-0.007923380471765995,-1.0,-1.0
2016-06-01,-0.001921228342379315,-0.0076854052022099495,-1.0,-1.0
2016-06-02,0.0038387726431692317,-0.009583931416273117,1.0,-1.0
2016-06-03,0.01709441721287547,-0.00934133306145668,1.0,-1.0
2016-06-06,0.014025559516645318,-0.007607015781104565,1.0,-1.0
2016-06-07,0.00647840167475371,-0.008351437747478485,1.0,-1.0
2016-06-08,0.00826839440443097,-0.008457399904727936,1.0,-1.0
2016-06-09,-0.008268394404430949,-0.007877156138420105,-1.0,-1.0
2016-06-10,-0.026169693406095564,-0.011162142269313335,-1.0,-1.0
2016-06-13,-0.011428684998178895,-0.01092617679387331,-1.0,-1.0
2016-06-14,-0.0019175443007900348,-0.010166310705244541,-1.0,-1.0
2016-06-15,0.00669527991397094,-0.010206354781985283,1.0,-1.0
2016-06-16,-0.000953642810804396,-0.010175434872508049,-1.0,-1.0
2016-06-17,0.0,-0.009397683665156364,0.0,-1.0
2016-06-20,0.020774994142181362,-0.012198763899505138,1.0,-1.0
2016-06-21,-0.0028076246202509035,-0.012700611725449562,-1.0,-1.0
2016-06-22,0.0039403746394064175,-0.012662283144891262,1.0,-1.0
2016-06-23,0.012098831660205655,-0.010980991646647453,1.0,-1.0
2016-06-24,-0.05124459624062128,-0.010552674531936646,-1.0,-1.0
2016-06-27,-0.015702054189324036,-0.008776282891631126,-1.0,-1.0
2016-06-28,0.033076871529442116,-0.00987423025071621,1.0,-1.0
2016-06-29,0.02270681506684124,-0.01706075854599476,1.0,-1.0
2016-06-30,0.01669803744612428,-0.012924471870064735,1.0,-1.0
2016-07-01,0.004589200904176242,-0.013293324038386345,1.0,-1.0
2016-07-05,-0.008275988338113662,-0.011689516715705395,-1.0,-1.0
2016-07-06,-0.0037002366806820697,-0.014221267774701118,-1.0,-1.0
2016-07-07,0.0009263798049782234,-0.013874758034944534,1.0,-1.0
2016-07-08,0.013793404875901492,-0.013726511970162392,1.0,-1.0
2016-07-11,-0.0009137314997229914,-0.016354883089661598,-1.0,-1.0
2016-07-12,0.011812935678418892,-0.013530051335692406,1.0,-1.0
2016-07-13,0.0,-0.015895061194896698,0.0,-1.0
