Date,049_IYE_1d_actual_lnrts,049_IYE_1d_forecast_lnrts,049_IYE_1d_true_label,049_IYE_1d_forecast_label
2015-11-30,0.004467291854552236,-0.0012300892267376184,1.0,-1.0
2015-12-01,0.00731441045703797,0.012014470063149929,1.0,1.0
2015-12-02,-0.03253812619590616,0.0059745353646576405,-1.0,1.0
2015-12-03,-0.018727620329126136,0.00944330170750618,-1.0,1.0
2015-12-04,-0.007424818248710051,0.011185059323906898,-1.0,1.0
2015-12-07,-0.03854730916243806,0.003972417674958706,-1.0,1.0
2015-12-08,-0.012992969039729112,0.006326182745397091,-1.0,1.0
2015-12-09,0.012992969039729057,0.012128986418247223,1.0,1.0
2015-12-10,0.007999970019833793,0.0009086488280445337,1.0,1.0
2015-12-11,-0.03592515266974125,-0.0006355096120387316,-1.0,-1.0
2015-12-14,0.005882326038422751,0.008068855851888657,1.0,1.0
2015-12-15,0.02918864157473057,0.0004688533954322338,1.0,1.0
2015-12-16,-0.007145784963245848,-0.0002037819940596819,-1.0,-1.0
2015-12-17,-0.02527372957530977,0.00442088209092617,-1.0,1.0
2015-12-18,-0.018109445145313652,0.007001135498285294,-1.0,1.0
2015-12-21,-0.00029973040489134523,0.001414173748344183,-1.0,1.0
2015-12-22,0.012211664455340557,0.008414780721068382,1.0,1.0
2015-12-23,0.042880290924481985,0.011161422356963158,1.0,1.0
2015-12-24,-0.009647690282012717,-0.0010020656045526266,-1.0,-1.0
2015-12-28,-0.019519594697760066,0.008038165047764778,-1.0,1.0
2015-12-29,0.006743797283371379,0.02166198194026947,1.0,1.0
2015-12-30,-0.015312482136267867,0.012090243399143219,-1.0,1.0
2015-12-31,0.0047366019775865065,0.008371460251510143,1.0,1.0
2016-01-04,-0.001773628082552729,0.008596225641667843,-1.0,1.0
2016-01-05,0.004133451306170323,0.006270574405789375,1.0,1.0
2016-01-06,-0.03844315590411983,0.0066606136970222,-1.0,1.0
2016-01-07,-0.02448594810800386,0.018089139834046364,-1.0,1.0
2016-01-08,-0.012948288641877515,0.017240634188055992,-1.0,1.0
2016-01-11,-0.021526873739554146,0.006190836429595947,-1.0,1.0
2016-01-12,0.003566152453902924,0.004904543049633503,1.0,1.0
2016-01-13,-0.021590582301219824,0.013375834561884403,-1.0,1.0
2016-01-14,0.04304170590493856,0.00667025800794363,1.0,1.0
2016-01-15,-0.029574535260519452,0.007669137790799141,-1.0,1.0
2016-01-19,-0.02343733812174386,0.005129333585500717,-1.0,1.0
2016-01-20,-0.030176964585781313,0.006719115190207958,-1.0,1.0
2016-01-21,0.031178463000185865,0.010128372348845005,1.0,1.0
2016-01-22,0.04278194716838632,0.012026936747133732,1.0,1.0
2016-01-25,-0.048470527774637846,0.014109007082879543,-1.0,1.0
2016-01-26,0.03915624185615907,0.022632215172052383,1.0,1.0
2016-01-29,0.051567480191168996,0.016564317047595978,1.0,1.0
2016-02-01,-0.01980873370023243,-0.0011570609640330076,-1.0,-1.0
