Date,0056_ETF_1d_actual_lnrts,0056_ETF_1d_forecast_lnrts,0056_ETF_1d_true_label,0056_ETF_1d_forecast_label
2015-12-24,-0.0013639465628950723,-0.007441811729222536,-1.0,-1.0
2015-12-25,0.0009095043828406127,-0.004812328610569239,1.0,-1.0
2015-12-28,0.0004544421800544764,-0.007672291249036789,1.0,-1.0
2015-12-29,-0.002729756017190097,-0.0043300907127559185,-1.0,-1.0
2015-12-30,-0.005023988644476014,0.000546497292816639,-1.0,1.0
2015-12-31,0.000457770664894863,-0.00159657490439713,1.0,-1.0
2016-01-04,-0.01707865190093521,-0.00030372804030776024,-1.0,-1.0
2016-01-05,-0.002330460155178272,0.000815234612673521,-1.0,1.0
2016-01-06,-0.015518769003464718,-0.0023473151959478855,-1.0,-1.0
2016-01-07,0.008964438423367109,-0.0016758909914642572,1.0,-1.0
2016-01-08,-0.012287489190779603,-0.0011634794063866138,-1.0,-1.0
2016-01-11,-0.019688511125794606,-0.008361829444766045,-1.0,-1.0
2016-01-12,0.0038722216825094846,-0.005196664948016405,1.0,-1.0
2016-01-13,0.0014482261763649699,-0.006087665446102619,1.0,-1.0
2016-01-14,-0.006290850652152831,-0.003275159280747175,-1.0,-1.0
2016-01-15,0.0,-0.004523591138422489,0.0,-1.0
2016-01-18,0.008218562092485471,-0.0032864806707948446,1.0,-1.0
2016-01-19,-0.0014454350866397539,-0.0043565682135522366,-1.0,-1.0
2016-01-20,-0.007258681761683159,0.0005593243986368179,-1.0,1.0
2016-01-21,-0.008780544217944598,-0.0028439348097890615,-1.0,-1.0
2016-01-22,0.004399909322608983,-0.004552545957267284,1.0,-1.0
2016-01-25,0.013084751743658455,0.003093280829489231,1.0,1.0
2016-01-26,-0.00048157959033300323,-0.003449485171586275,-1.0,-1.0
2016-01-27,0.002405582107855024,-0.004999401513487101,1.0,-1.0
2016-01-28,0.00956487445136613,-0.005838768556714058,1.0,-1.0
2016-01-29,0.015584731016698111,-0.006578155793249607,1.0,-1.0
2016-01-30,0.009792570676149512,0.0006286855787038803,1.0,1.0
2016-02-01,0.0013911432802317816,-0.005265912506729364,1.0,-1.0
2016-02-02,0.006466535235746134,-0.00441479729488492,1.0,-1.0
2016-02-03,-0.0046146828546724025,-0.0006475429981946945,-1.0,-1.0
2016-02-15,-0.0009254975209429212,-0.00103742815554142,-1.0,-1.0
2016-02-16,0.00738010729762246,-0.005346817895770073,1.0,-1.0
2016-02-17,0.0036697288889624017,-0.010382459498941898,1.0,-1.0
2016-02-18,0.01228684399265059,-0.009030968882143497,1.0,-1.0
2016-02-19,0.0058624745130265625,-0.009984178468585014,1.0,-1.0
2016-02-22,-0.0031524457541613426,-0.009194571524858475,-1.0,-1.0
2016-02-23,0.002252760583263768,-0.012920727953314781,1.0,-1.0
2016-02-24,-0.003155287720339345,-0.013183819130063057,-1.0,-1.0
2016-02-25,0.004054972891237055,-0.012919098138809204,1.0,-1.0
2016-02-26,0.011178296588842673,-0.011479456909000874,1.0,-1.0
2016-03-01,0.0062056936742217825,-0.009307736530900002,1.0,-1.0
2016-03-02,0.002207019214105252,-0.009814957156777382,1.0,-1.0
2016-03-03,0.005277057100843819,-0.009551770985126495,1.0,-1.0
2016-03-04,-0.0013166558847468963,-0.012716259807348251,-1.0,-1.0
2016-03-07,0.0004390779433878538,-0.01310943253338337,1.0,-1.0
2016-03-08,-0.00837562753912425,-0.01341385766863823,-1.0,-1.0
2016-03-09,0.0,-0.012275937013328075,0.0,-1.0
2016-03-10,0.0057382633730385475,-0.012336773797869682,1.0,-1.0
2016-03-11,0.0013195515440088063,-0.012552766129374504,1.0,-1.0
2016-03-14,0.00307219903697028,-0.00848672166466713,1.0,-1.0
2016-03-15,-0.015901395123632447,-0.008348948322236538,-1.0,-1.0
2016-03-16,0.003999116638390138,-0.009751850739121437,1.0,-1.0
2016-03-17,0.0026572203411911453,-0.009798349812626839,1.0,-1.0
2016-03-18,0.004413069827588641,-0.009177260100841522,1.0,-1.0
2016-03-21,0.003516487140125765,-0.011931130662560463,1.0,-1.0
2016-03-22,-0.004397544465842464,-0.011788396164774895,-1.0,-1.0
2016-03-23,-0.00618923284306303,-0.013000359758734703,-1.0,-1.0
2016-03-24,-0.00533571741657045,-0.01187337189912796,-1.0,-1.0
2016-03-25,-0.0013383896711228504,-0.01250872015953064,-1.0,-1.0
2016-03-28,0.0004463289518416263,-0.015368781983852386,1.0,-1.0
2016-03-29,-0.009865550868333052,-0.010143047198653221,-1.0,-1.0
2016-03-30,0.009419221916491558,-0.010103375650942326,1.0,-1.0
2016-03-31,0.0013383896711228322,-0.013081889599561691,1.0,-1.0
2016-04-01,-0.006709933473033576,-0.013574490323662758,-1.0,-1.0
2016-04-06,-0.009017193650188857,-0.014350967481732368,-1.0,-1.0
2016-04-07,-0.0022670605946426767,-0.013133196160197258,-1.0,-1.0
2016-04-08,-0.0036380212930715093,-0.011215072125196457,-1.0,-1.0
2016-04-11,0.0009107468753383939,-0.011666602455079556,1.0,-1.0
2016-04-12,0.00227324489801511,-0.012130241841077805,1.0,-1.0
2016-04-13,0.004983022768424294,-0.010275335982441902,1.0,-1.0
2016-04-14,0.00360848384337776,-0.00986526906490326,1.0,-1.0
2016-04-15,0.0022487079410627403,-0.0076618739403784275,1.0,-1.0
2016-04-18,-0.0013486178712936404,-0.004578340798616409,-1.0,-1.0
2016-04-19,0.0,-0.008947083726525307,0.0,-1.0
2016-04-20,-0.0135871655463084,-0.005829040892422199,-1.0,-1.0
2016-04-21,-0.0031970796814043113,-0.005619501229375601,-1.0,-1.0
2016-04-22,-0.0032073337918639756,-0.007000975776463747,-1.0,-1.0
2016-04-25,0.005948313123286302,-0.007107224781066179,1.0,-1.0
2016-04-26,0.0036429912785010087,-0.005579210817813873,1.0,-1.0
2016-04-27,-0.0018198367169859828,-0.005292704328894615,-1.0,-1.0
2016-04-28,-0.007312646846286602,-0.006391527131199837,-1.0,-1.0
2016-04-29,-0.009216655104923952,-0.005986922886222601,-1.0,-1.0
2016-05-03,-0.011641575015485755,-0.007427678443491459,-1.0,-1.0
2016-05-04,-0.016529301951210582,-0.008088767528533936,-1.0,-1.0
2016-05-05,-0.0033389012655145986,-0.007995004765689373,-1.0,-1.0
2016-05-06,-0.008637289781201101,-0.008423633873462677,-1.0,-1.0
2016-05-09,0.004807701568103299,-0.0042566703632473946,1.0,-1.0
2016-05-10,0.0023952107259546285,-0.0030205310322344303,1.0,-1.0
2016-05-11,0.0,-0.003146272851154208,0.0,-1.0
2016-05-12,-0.004796172263492944,-0.006237726658582687,-1.0,-1.0
2016-05-13,-0.005302494949820608,-0.0050584846176207066,-1.0,-1.0
2016-05-16,0.007223725127714347,-0.005721135064959526,1.0,-1.0
2016-05-17,0.0033532965553759657,-0.007549986243247986,1.0,-1.0
2016-05-18,0.0009560230173661747,-0.007578870747238398,1.0,-1.0
2016-05-19,-0.005749896052365335,-0.007222325541079044,-1.0,-1.0
2016-05-20,0.0033581226088950063,-0.006581018678843975,1.0,-1.0
2016-05-23,0.020384683096087697,-0.007420449052006006,1.0,-1.0
2016-05-24,-0.00046937339514628774,-0.004216191358864307,-1.0,-1.0
2016-05-25,0.0051510298862119195,-0.004263419192284346,1.0,-1.0
2016-05-26,0.003729608052827626,-0.004103734623640776,1.0,-1.0
2016-05-27,0.008802465917026343,-0.004549664910882711,1.0,-1.0
2016-05-30,0.011009285508369396,-0.004945776425302029,1.0,-1.0
2016-05-31,0.0013676774413655215,-0.0057278042659163475,1.0,-1.0
