Date,042_IWV_1d_actual_lnrts,042_IWV_1d_forecast_lnrts,042_IWV_1d_true_label,042_IWV_1d_forecast_label
2016-01-05,0.0024467075406489013,-0.0002141381846740842,1.0,-1.0
2016-01-06,-0.013574455008278443,-0.0008924620924517512,-1.0,-1.0
2016-01-07,-0.024208028172773947,-0.0003071532119065523,-1.0,-1.0
2016-01-08,-0.01153022813617562,-8.60995496623218e-05,-1.0,-1.0
2016-01-11,-0.0007970213852980959,-0.00014628632925450802,-1.0,-1.0
2016-01-12,0.007238744224428199,-0.0020393691956996918,1.0,-1.0
2016-01-13,-0.02656131367330867,-0.0016428629169240594,-1.0,-1.0
2016-01-14,0.015772280246854512,0.001577242510393262,1.0,1.0
2016-01-15,-0.021297573115770373,0.0019007949158549309,-1.0,1.0
2016-01-19,-0.0011813119400834893,-0.0007755659753456712,-1.0,-1.0
2016-01-20,-0.010236848279662727,0.0001454174635000527,-1.0,1.0
2016-01-21,0.004217134625987796,0.0014714181888848543,1.0,1.0
2016-01-22,0.021270719517619673,0.0013823199551552534,1.0,1.0
2016-01-25,-0.016615988789698284,0.001502188853919506,-1.0,1.0
2016-01-26,0.015092209093790348,-0.00022909516701474786,1.0,-1.0
2016-01-27,-0.011910254333443818,-0.0008849602891132236,-1.0,-1.0
2016-01-28,0.004347512368678674,0.000403130950871855,1.0,1.0
2016-01-29,0.0248138672599741,0.0007927825208753347,1.0,1.0
2016-02-01,8.80684118889546e-05,-0.0014741405611857772,1.0,-1.0
2016-02-02,-0.019224542394635873,-0.00017415330512449145,-1.0,-1.0
2016-02-03,0.005287993144704696,0.000472936371807009,1.0,1.0
2016-02-04,0.002143053262335279,0.0008002611575648189,1.0,1.0
2016-02-05,-0.019727664456350005,-0.00042124238098040223,-1.0,-1.0
2016-02-08,-0.015956434187354398,0.00041867580148391426,-1.0,1.0
2016-02-09,-0.0015725508989807722,0.0013567075366154313,-1.0,1.0
2016-02-10,0.0,-0.0010069113923236728,0.0,-1.0
2016-02-11,-0.012484016806494335,-0.0012281874660402536,-1.0,-1.0
2016-02-12,0.019679507369290274,0.00037663429975509644,1.0,1.0
2016-02-16,0.01785607187205868,-9.94029687717557e-06,1.0,-1.0
2016-02-17,0.017187731957288475,-0.0003061440074816346,1.0,-1.0
2016-02-18,-0.004090978023220043,-0.0016080409986898303,-1.0,-1.0
2016-02-19,-8.924450029826361e-05,0.0005229224916547537,-1.0,1.0
2016-02-22,0.014598737556158195,-0.0007317136041820049,1.0,-1.0
2016-02-23,-0.012372999689067604,-0.0006596945459023118,-1.0,-1.0
2016-02-24,0.005056076145923494,0.0005357683403417468,1.0,1.0
