Date,007_EWH_1d_actual_lnrts,007_EWH_1d_forecast_lnrts,007_EWH_1d_true_label,007_EWH_1d_forecast_label
2016-01-06,-0.018149195346074266,0.0019504557130858302,-1.0,1.0
2016-01-07,-0.01955152369175975,0.001851928303949535,-1.0,1.0
2016-01-08,-0.01668042804584247,0.009378688409924507,-1.0,1.0
2016-01-11,-0.005440778518417284,0.006517551839351654,-1.0,1.0
2016-01-12,0.0005454061619581517,0.007634697016328573,1.0,1.0
2016-01-13,-0.00601583372921656,0.006600406486541033,-1.0,1.0
2016-01-14,0.006560942585437863,0.001230873866006732,1.0,1.0
2016-01-15,-0.033244131978062356,0.0012862824369221926,-1.0,1.0
2016-01-19,0.005057681330246387,0.006587103940546513,1.0,1.0
2016-01-20,-0.03363093648395136,0.007779411971569061,-1.0,1.0
2016-01-21,-0.0011601562631185238,0.0027444157749414444,-1.0,1.0
2016-01-22,0.020109885334169166,0.007603277452290058,1.0,1.0
2016-01-25,-0.013169474763667343,-0.0018164482899010181,-1.0,-1.0
2016-01-26,0.01260054316198658,-0.004319054074585438,1.0,-1.0
2016-01-27,-0.010297716045244659,0.0006583957001566887,-1.0,1.0
2016-01-28,0.007447833544710506,0.001967173535376787,1.0,1.0
2016-01-29,0.025360669241014627,0.0031709065660834312,1.0,1.0
2016-02-01,-0.008382296434630373,0.0010815782006829977,-1.0,1.0
2016-02-02,-0.019836400355144237,0.008553827181458473,-1.0,1.0
2016-02-03,0.000572247351871296,0.00888206996023655,1.0,1.0
2016-02-04,-0.007464880464563759,0.0027924661990255117,-1.0,1.0
2016-02-05,-0.003464032522770657,0.0012604431249201298,-1.0,1.0
2016-02-08,-0.01573914765279463,0.004189023282378912,-1.0,1.0
2016-02-09,-0.00885236897349481,0.005870165769010782,-1.0,1.0
2016-02-10,0.006499236666054012,0.0177466981112957,1.0,1.0
2016-02-11,0.0,0.006729446351528168,0.0,1.0
2016-02-12,0.020979897092999463,-0.003620336763560772,1.0,-1.0
2016-02-16,0.01032707605145886,-4.410557448863983e-05,1.0,-1.0
2016-02-17,0.015293507809731531,-0.0029912609606981277,1.0,-1.0
2016-02-18,-0.005071872587355721,-0.00391549663618207,-1.0,-1.0
2016-02-19,0.006195411653536837,0.0013383992481976748,1.0,1.0
2016-02-22,0.02714084740325268,-0.004209788981825113,1.0,-1.0
2016-02-23,-0.01430940304825026,-0.007131937891244888,-1.0,-1.0
2016-02-24,-0.0016644171525256718,-0.003090894315391779,-1.0,-1.0
2016-02-25,-0.0011111136202602188,-0.007280314341187477,-1.0,-1.0
2016-02-26,0.007200210257335137,-0.004997451789677143,1.0,-1.0
2016-02-29,-0.0016569468913410115,-0.0038204570300877094,-1.0,-1.0
2016-03-01,0.01862051183904615,-0.004434138536453247,1.0,-1.0
2016-03-02,0.018812685496830007,-0.006454949267208576,1.0,-1.0
2016-03-03,0.0015961171723747993,-0.006519888527691364,1.0,-1.0
2016-03-04,0.016346189877695837,-0.006176128052175045,1.0,-1.0
2016-03-07,-0.01475256058059092,-0.0056166090071201324,-1.0,-1.0
2016-03-08,-0.012820716436356867,-0.004131287802010775,-1.0,-1.0
2016-03-09,0.005362010970652518,0.003439884399995208,1.0,1.0
2016-03-10,-0.0016055135684161638,-0.0014380346983671188,-1.0,-1.0
2016-03-11,0.021198340692776905,0.0009212889708578587,1.0,1.0
2016-03-14,-0.0010493753906684528,-0.002816685475409031,-1.0,-1.0
2016-03-15,0.002097595820209571,-0.0012992508709430695,1.0,-1.0
2016-03-16,0.011458483734080172,-0.0004691951908171177,1.0,-1.0
2016-03-17,0.0020694900912466186,-0.007706085219979286,1.0,-1.0
2016-03-18,0.0066956768108481215,-0.007105707190930843,1.0,-1.0
2016-03-21,0.0046094933428882405,-0.003713390789926052,1.0,-1.0
2016-03-22,-0.0010224972239327786,-0.005417617969214916,-1.0,-1.0
2016-03-23,-0.011317018238613965,-0.006530526094138622,-1.0,-1.0
2016-03-24,-0.006747920021095336,-0.005277026444673538,-1.0,-1.0
2016-03-28,0.004157910215535552,-0.005374522879719734,1.0,-1.0
2016-03-29,0.01237137293482953,-0.004725748673081398,1.0,-1.0
2016-03-30,0.0177714606559711,-0.005416727624833584,1.0,-1.0
2016-03-31,-0.00504537728757721,-0.008837872184813023,-1.0,-1.0
2016-04-01,-0.006597401687196916,-0.005298764444887638,-1.0,-1.0
2016-04-04,-0.00869344879992955,-0.004363133572041988,-1.0,-1.0
2016-04-05,-0.014485486155643771,-0.006747913546860218,-1.0,-1.0
2016-04-06,0.014998912264764915,-0.010282166302204132,1.0,-1.0
2016-04-07,-0.010838731011281483,-0.006043282337486744,-1.0,-1.0
2016-04-08,0.010838731011281511,-8.970126509666443e-05,1.0,-1.0
2016-04-11,0.00512045726339607,-0.0019795550033450127,1.0,-1.0
2016-04-12,0.008644819130862812,-0.0026500006206333637,1.0,-1.0
2016-04-13,0.020050787165076342,-0.005057930946350098,1.0,-1.0
