Date,015_EWD_1d_actual_lnrts,015_EWD_1d_forecast_lnrts,015_EWD_1d_true_label,015_EWD_1d_forecast_label
2016-01-06,-0.01507025177119108,0.003947147633880377,-1.0,1.0
2016-01-07,-0.013466990474117257,0.00447651045396924,-1.0,1.0
2016-01-08,-0.006617592259956153,0.0069388155825436115,-1.0,1.0
2016-01-11,0.006983998645345638,0.008409732952713966,1.0,1.0
2016-01-12,0.0047506022049021305,-0.0016510440036654472,1.0,-1.0
2016-01-13,-0.014320091415406733,-0.00044484343379735947,-1.0,-1.0
2016-01-14,0.009569489210504661,0.0027542728930711746,1.0,1.0
2016-01-15,-0.04303758785389932,0.001423644833266735,-1.0,1.0
2016-01-19,0.0193151234618926,0.0029180077835917473,1.0,1.0
2016-01-20,-0.020845931199503048,0.001563267782330513,-1.0,1.0
2016-01-21,0.009529366869079752,0.009550287388265133,1.0,1.0
2016-01-22,0.035039028722429824,0.0076246545650064945,1.0,1.0
2016-01-25,-0.00956948921050469,0.0014612497761845589,-1.0,1.0
2016-01-26,0.025918587005746407,0.004353749565780163,1.0,1.0
2016-01-27,-0.013057894725658777,0.0018977215513586998,-1.0,1.0
2016-01-28,-0.012121360058987613,0.007193931844085455,-1.0,1.0
2016-01-29,0.01139101639594312,0.007314973510801792,1.0,1.0
2016-02-01,-0.006966113243453948,0.004994575399905443,-1.0,1.0
2016-02-02,-0.030254524501904835,0.004969542846083641,-1.0,1.0
2016-02-03,0.017666311032292815,0.004478534683585167,1.0,1.0
2016-02-04,0.018091648225796855,0.0038342983461916447,1.0,1.0
2016-02-05,-0.009189434116974966,-0.0019045770168304443,-1.0,-1.0
2016-02-08,-0.03379980534124787,-0.0005191164091229439,-1.0,-1.0
2016-02-09,-0.0045941479887709,0.001221909187734127,-1.0,1.0
2016-02-10,0.009167326690735741,-0.0031387628987431526,1.0,-1.0
2016-02-11,-0.01687152472820682,-0.004827552475035191,-1.0,-1.0
2016-02-12,0.021802394611018006,0.0011482695117592812,1.0,1.0
2016-02-16,0.024664925520775777,-0.0017503062263131142,1.0,-1.0
2016-02-17,0.02623097188766394,-0.003445015288889408,1.0,-1.0
2016-02-18,-0.00035968577837802474,-0.004930625669658184,-1.0,-1.0
2016-02-19,-0.003964529934652867,0.0009380290284752846,-1.0,1.0
2016-02-22,0.014342188202243688,0.004136854782700539,1.0,1.0
2016-02-23,-0.01325946628926328,0.0002989228814840317,-1.0,1.0
2016-02-24,-0.010516791449309571,0.0014890525490045547,-1.0,1.0
2016-02-25,0.013038937298625122,-0.0010723965242505074,1.0,-1.0
2016-02-26,-0.008673822925311122,-0.0018040742725133896,-1.0,-1.0
2016-02-29,-0.004000655252088958,0.003680165857076645,-1.0,1.0
2016-03-01,0.02055974688131117,-0.0016536246985197067,1.0,-1.0
2016-03-02,-0.00968617401589551,-0.007462396286427975,-1.0,-1.0
2016-03-03,0.01715556855977031,0.004581361077725887,1.0,1.0
2016-03-04,0.009171139431244991,0.00013270974159240723,1.0,1.0
2016-03-07,-0.001405481503728763,-0.001376424916088581,-1.0,-1.0
2016-03-08,-0.008120079311569961,6.220303475856781e-05,-1.0,1.0
2016-03-09,0.009876585438493221,0.007631555199623108,1.0,1.0
2016-03-10,0.0,-0.0011628298088908195,0.0,-1.0
2016-03-11,0.03246137641892145,-0.010118172504007816,1.0,-1.0
2016-03-14,0.0,-0.009734277613461018,0.0,-1.0
2016-03-15,-0.009559612977142341,-0.003805740736424923,-1.0,-1.0
2016-03-16,0.008199603510401787,-0.008394627831876278,1.0,-1.0
2016-03-17,0.001020198531671701,-0.01079364214092493,1.0,-1.0
2016-03-18,0.0,-0.0035439766943454742,0.0,-1.0
2016-03-21,-0.00476995328778359,-0.006661410443484783,-1.0,-1.0
2016-03-22,0.0030689833865408444,-0.0033845873549580574,1.0,-1.0
2016-03-23,-0.01509455217376168,-0.0043992651626467705,-1.0,-1.0
2016-03-24,-0.012522012992626647,-0.0030593285337090492,-1.0,-1.0
2016-03-28,0.0003499934581704094,0.0013496866449713707,1.0,1.0
