Date,009_EWP_1d_actual_lnrts,009_EWP_1d_forecast_lnrts,009_EWP_1d_true_label,009_EWP_1d_forecast_label
2016-01-06,-0.01898559750762569,-0.0008414146723225713,-1.0,-1.0
2016-01-07,-0.014479463129817571,0.001453183707781136,-1.0,1.0
2016-01-08,-0.009393324698630003,0.0003374329535290599,-1.0,1.0
2016-01-11,0.003391716318664351,0.0018861122662201524,1.0,1.0
2016-01-12,0.007122856707995331,0.0034493161365389824,1.0,1.0
2016-01-13,-0.020378100227898745,0.008330244570970535,-1.0,1.0
2016-01-14,0.011372354937355904,0.007159261964261532,1.0,1.0
2016-01-15,-0.03803026443519248,0.006488502025604248,-1.0,1.0
2016-01-19,-0.0007833521092481414,0.002627837471663952,-1.0,1.0
2016-01-20,-0.021787477146989233,0.0038495357148349285,-1.0,1.0
2016-01-21,0.009962202800069174,0.0024705547839403152,1.0,1.0
2016-01-22,0.030843887465437914,0.005325377453118563,1.0,1.0
2016-01-25,-0.026096992471823045,-0.00019124714890494943,-1.0,-1.0
2016-01-26,0.025712409712244325,0.0026311506517231464,1.0,1.0
2016-01-27,-0.007722100922116212,-0.0006778207025490701,-1.0,-1.0
2016-01-28,0.0015492307405222492,0.0031886212527751923,1.0,1.0
2016-01-29,0.01992406622052496,0.001329032122157514,1.0,1.0
2016-02-01,-0.001138697997048154,-0.00031764860614202917,-1.0,-1.0
2016-02-02,-0.03871957763433568,0.0029266634956002235,-1.0,1.0
2016-02-03,0.007081122228814732,0.008381564170122147,1.0,1.0
2016-02-04,0.021714611550567905,0.006751454435288906,1.0,1.0
2016-02-05,-0.0023040714273509398,-0.0046946522779762745,-1.0,-1.0
2016-02-08,-0.03760731888875973,0.005031447857618332,-1.0,1.0
2016-02-09,-0.016908646334377133,0.003319382667541504,-1.0,1.0
2016-02-10,0.0129087184481067,0.006138550583273172,1.0,1.0
2016-02-11,-0.026809082863059986,-0.0017233416438102722,-1.0,-1.0
2016-02-12,0.008608303179998032,0.005554585717618465,1.0,1.0
2016-02-16,0.02299879365594602,0.0041053700260818005,1.0,1.0
2016-02-17,0.022871700436072773,-0.001991433557122946,1.0,-1.0
2016-02-18,-0.020879267398145485,0.00012686895206570625,-1.0,1.0
2016-02-19,-0.007191414405087033,0.00887373648583889,-1.0,1.0
2016-02-22,0.01670017782076859,0.010713193565607071,1.0,1.0
2016-02-23,-0.015898573111356798,0.005899961572140455,-1.0,1.0
2016-02-24,-0.014121576159099218,0.008877341635525227,-1.0,1.0
2016-02-25,0.016122781187371982,-0.0030839950777590275,1.0,-1.0
2016-02-26,0.0,-0.003487716894596815,0.0,-1.0
2016-02-29,0.00119876131246857,0.005911827087402344,1.0,1.0
2016-03-01,0.02951240962683378,-0.0015538432635366917,1.0,-1.0
2016-03-02,0.014626800487161995,-0.008992664515972137,1.0,-1.0
2016-03-03,0.01479263475093049,-0.0013190493918955326,1.0,-1.0
2016-03-04,0.0,0.0072073182091116905,0.0,1.0
