Date,044_IYZ_1d_actual_lnrts,044_IYZ_1d_forecast_lnrts,044_IYZ_1d_true_label,044_IYZ_1d_forecast_label
2016-01-05,0.008492514021849926,0.0012999556493014097,1.0,1.0
2016-01-06,-0.008492514021849886,0.0006853161612525582,-1.0,1.0
2016-01-07,-0.025554896143044188,0.002059085527434945,-1.0,1.0
2016-01-08,-0.008787974955050445,-0.00010406877845525742,-1.0,-1.0
2016-01-11,0.001102734335538339,0.002992392983287573,1.0,1.0
2016-01-12,-0.006265031413510744,0.0005192600656300783,-1.0,1.0
2016-01-13,-0.027737907888681614,-0.0058318451046943665,-1.0,-1.0
2016-01-14,0.01845285131971218,-0.0020736593287438154,1.0,-1.0
2016-01-15,-0.02876812921249459,0.004059428349137306,-1.0,1.0
2016-01-19,-0.0011526937679970097,-0.0030553031247109175,-1.0,-1.0
2016-01-20,-0.021765278750625623,-0.0007679935079067945,-1.0,-1.0
2016-01-21,0.003138422048926966,0.0019464915385469794,1.0,1.0
2016-01-22,0.044060108051558626,0.0029913820326328278,1.0,1.0
2016-01-25,-0.0048845447499447385,0.0046885209158062935,-1.0,1.0
2016-01-26,0.027123993786343743,0.0013011244591325521,1.0,1.0
2016-01-27,-0.005145146280096611,-0.0023653351236134768,-1.0,-1.0
2016-01-28,-0.0007372139041588247,0.0011289437534287572,-1.0,1.0
2016-01-29,0.024404812757874483,0.002989628817886114,1.0,1.0
2016-02-01,0.004308824292605442,-0.0006885607726871967,1.0,-1.0
2016-02-02,-0.023197848451100202,-0.0031361158471554518,-1.0,-1.0
2016-02-03,0.012028604525475118,0.001063044648617506,1.0,1.0
2016-02-04,0.009017208165534264,0.002548554912209511,1.0,1.0
2016-02-05,-0.019580067113149295,0.0015664556995034218,-1.0,1.0
2016-02-08,-0.033131727568681865,0.006436319090425968,-1.0,1.0
2016-02-09,-0.011037243505052696,0.00793085154145956,-1.0,1.0
2016-02-10,0.002675452635816162,0.008179619908332825,1.0,1.0
2016-02-11,0.011385356299369074,0.0038220523856580257,1.0,1.0
2016-02-12,0.016467438018982837,0.0006879481952637434,1.0,1.0
2016-02-16,0.013640724119566445,0.0035018830094486475,1.0,1.0
2016-02-17,0.018861617216592526,0.001182420295663178,1.0,1.0
2016-02-18,0.0025121159771654225,-0.002672378672286868,1.0,-1.0
2016-02-19,-0.00972462443104207,0.0029499242082238197,-1.0,1.0
2016-02-22,0.014730039948561414,0.0007257441757246852,1.0,1.0
2016-02-23,0.004980449403127288,-0.0014281964395195246,1.0,-1.0
2016-02-24,0.018284629656279472,0.002302543492987752,1.0,1.0
2016-02-25,0.007290297645229314,-0.001783034997060895,1.0,-1.0
2016-02-26,0.008610436833759156,-0.003765661967918277,1.0,-1.0
2016-02-29,0.014638619532108658,-1.0537449270486832e-05,1.0,-1.0
2016-03-01,0.010421915736397419,-0.0043336171656847,1.0,-1.0
2016-03-02,0.014608494821988683,-0.007931218482553959,1.0,-1.0
2016-03-03,-0.0019795036540041543,-0.002060909057036042,-1.0,-1.0
